"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"aaspire_respondent","Integer","","Recommended","AASPIRE Participant Type / Version Administered","1::3","1= Direct Report (DR); 2= Direct Report - Supported (DR-S); 3= Caregiver Report (CR)",""
"gso_skip","Integer","","Recommended","(Caregiver Report) The next set of questions are about how the autistic person thinks about their gender. Do you have enough information from the autistic person to answer the questions?","0;1","0= No; 1= Yes",""
"gso_gender","Integer","","Recommended","Which of the following (Direct Report: is most true for you / Caregiver Report: do you think is most true for them) when thinking about (your/their) gender?","1::5","1= (Direct Report: I think of myself / Caregiver Report: They think of themselves) as a woman. This could include being a woman, young woman, trans woman or girl (but it does not need to be all those things); 2= (I think of myself/They think of themselves) as a man. This could include being a man, young man, guy, trans man, or boy (but it does not need to be all those things); 3= Neither are true, both are true, it is complicated, or I cannot pick one",""
"gso_woman_gender","Integer","","Recommended","How often, if ever, do (Direct Report: you think of yourself / Caregiver Report: you think they think of themselves) as a woman?","1::5","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Always",""
"gso_man_gender","Integer","","Recommended","How often, if ever, do (Direct Report: you think of yourself / Caregiver Report: you think they think of themselves) as a man?","1::5","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Always",""
"gso_gender_concept___1","Integer","","Recommended","Which of the following are true for (Direct Report: you / Caregiver Report: them)? (Check all that apply): (My/Their) gender changes often.","0;1","0= No; 1= Yes",""
"gso_gender_concept___2","Integer","","Recommended","Which of the following are true for (Direct Report: you / Caregiver Report: them)? (Check all that apply): (I think of myself/I think they think of themselves) as both a woman and a man at the same time.","0;1","0= No; 1= Yes",""
"gso_gender_concept___3","Integer","","Recommended","Which of the following are true for (Direct Report: you / Caregiver Report: them)? (Check all that apply): (I think of myself/I think they think of themselves) as neither a woman nor a man.","0;1","0= No; 1= Yes",""
"gso_gender_concept___4","Integer","","Recommended","Which of the following are true for (Direct Report: you / Caregiver Report: them)? (Check all that apply): (I think of myself/I think they think of themselves) as completely different from a woman or man.","0;1","0= No; 1= Yes",""
"gso_gender_concept___5","Integer","","Recommended","Which of the following are true for (Direct Report: you / Caregiver Report: them)? (Check all that apply): (I do not think of myself/I do not think they think of themselves) as having a gender.","0;1","0= No; 1= Yes",""
"gso_gender_concept___6","Integer","","Recommended","Which of the following are true for (Direct Report: you / Caregiver Report: them)? (Check all that apply): Other","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___1","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): Women","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___2","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): Men","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___3","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): People who are not female or male (gender non-binary)","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___4","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): The person's gender is not important to (me/them)","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___5","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): (I/they) can only have sexual feelings towards people once (I/they) get to know them","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___6","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): (I/they) have no sexual feelings towards people","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___7","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): Other","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___8","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): I am not sure","0;1","0= No; 1= Yes",""
"gso_sexual_attraction___9","Integer","","Recommended","In general, who are (Direct Report: you / Caregiver Report: they) sexually attracted (there is something about the person that makes you/them feel sexually excited or sexually drawn to them) to? In other words, what types of people (do you have/do you think they have) sexual feeling towards? Check as many as are true for (you/them): I am not comfortable talking about (Caregiver Report: their) sexual attraction or prefer not to say","0;1","0= No; 1= Yes",""
"aaspire_gothelp","Integer","","Recommended","(Direct Report) Did you get any help while answering the questions in this section of the survey?","0;1","0= No; 1= Yes","gso_gothelp"
"aaspire_knd_hlp__1","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): I did not get any help","0;1","0= No/Unchecked; 1= Yes/Checked",""
"aaspire_knd_hlp__2","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me use a computer, smartphone, or other device (for example, they clicked on the answers I chose).","0;1","0= No/Unchecked; 1= Yes/Checked","gso_knd_hlp___2"
"aaspire_knd_hlp__3","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone read the survey to me.","0;1","0= No/Unchecked; 1= Yes/Checked","gso_knd_hlp___3"
"aaspire_knd_hlp__4","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me understand what the questions or answers options meant.","0;1","0= No/Unchecked; 1= Yes/Checked","gso_knd_hlp___4"
"aaspire_knd_hlp__5","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me decide how to answer the questions on the survey.","0;1","0= No/Unchecked; 1= Yes/Checked","gso_knd_hlp___5"
