"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"restdata_02698","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Sup_L of the AAL3v1 atlas.","","","olfactory_r_to_temporal_sup_l"
"restdata_02699","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Sup_R of the AAL3v1 atlas.","","","olfactory_r_to_temporal_sup_r"
"restdata_02700","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Pole_Sup_L of the AAL3v1 atlas.","","","olfactory_r_to_temporal_pole_sup_l"
"restdata_02701","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Pole_Sup_R of the AAL3v1 atlas.","","","olfactory_r_to_temporal_pole_sup_r"
"restdata_02702","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Mid_L of the AAL3v1 atlas.","","","olfactory_r_to_temporal_mid_l"
"restdata_02703","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Mid_R of the AAL3v1 atlas.","","","olfactory_r_to_temporal_mid_r"
"restdata_02704","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Pole_Mid_L of the AAL3v1 atlas.","","","olfactory_r_to_temporal_pole_mid_l"
"restdata_02705","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Pole_Mid_R of the AAL3v1 atlas.","","","olfactory_r_to_temporal_pole_mid_r"
"restdata_02706","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Inf_L of the AAL3v1 atlas.","","","olfactory_r_to_temporal_inf_l"
"restdata_02707","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Temporal_Inf_R of the AAL3v1 atlas.","","","olfactory_r_to_temporal_inf_r"
"restdata_02708","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_Crus1_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_crus1_l"
"restdata_02709","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_Crus1_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_crus1_r"
"restdata_02710","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_Crus2_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_crus2_l"
"restdata_02711","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_Crus2_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_crus2_r"
"restdata_02712","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_3_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_3_l"
"restdata_02713","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_3_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_3_r"
"restdata_02714","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_4_5_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_4_5_l"
"restdata_02715","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_4_5_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_4_5_r"
"restdata_02716","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_6_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_6_l"
"restdata_02717","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_6_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_6_r"
"restdata_02718","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_7b_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_7b_l"
"restdata_02719","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_7b_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_7b_r"
"restdata_02720","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_8_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_8_l"
"restdata_02721","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_8_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_8_r"
"restdata_02722","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_9_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_9_l"
"restdata_02723","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_9_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_9_r"
"restdata_02724","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_10_L of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_10_l"
"restdata_02725","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Cerebellum_10_R of the AAL3v1 atlas.","","","olfactory_r_to_cerebellum_10_r"
"restdata_02726","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_1_2 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_1_2"
"restdata_02727","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_3 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_3"
"restdata_02728","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_4_5 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_4_5"
"restdata_02729","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_6 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_6"
"restdata_02730","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_7 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_7"
"restdata_02731","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_8 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_8"
"restdata_02732","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_9 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_9"
"restdata_02733","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Vermis_10 of the AAL3v1 atlas.","","","olfactory_r_to_vermis_10"
"restdata_02734","Float","","Recommended","Pearson correlation coefficient of mean activation between Olfactory_R and Thal_AV_L of the AAL3v1 atlas.","","","olfactory_r_to_thal_av_l"
