"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"stim_seq","Integer","","Recommended","Stimulus sequence","0;1","0 = Tongue protrusion followed by mouth opening ; 1 = Mouth opening followed by tongue protrusion; 2 = Put in followed by take out; 3 = Take out followed by put in",""
"social_condition","Integer","","Recommended","Condition of respondent","0;1","0 = Objects mimicking human model (nonsocial stimulus); 1 = Human model (social stimulus)",""
"resp1","Integer","","Recommended","Infant's response to stimulus phase 1","0;1","0 = Incorrect ; 1 = Correct",""
"resp2","Integer","","Recommended","Infant's response to stimulus phase 2","0;1","0 = Incorrect ; 1 = Correct",""
"resp3","Integer","","Recommended","Infant's response to stimulus phase 3","0;1","0 = Incorrect ; 1 = Correct",""
"resp4","Integer","","Recommended","Infant's response to stimulus phase 4","0;1","0 = Incorrect ; 1 = Correct",""
"alimi","Integer","","Recommended","Raw Score of accuracy, sum of Adapted Legerstee Imitation Task","","999=missing data",""
"rpm1","Float","","Recommended","Mean rate per minute of mouth opening","","",""
"rpm2","Float","","Recommended","Mean rate per minute of tongue protrusion","","",""
"rpm3","Float","","Recommended","Mean rate per minute of both mouth opening and tongue protrusion","","",""
"rpm4","Float","","Recommended","Mean rate per minute of put in followed by take out","","",""
"rpm5","Float","","Recommended","Mean rate per minute of take out followed by put in","","",""
"rpm6","Float","","Recommended","Mean rate per minute of both put in and take out","","",""
