"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ami01","Integer","","Recommended","I feel sad or upset when I hear bad news.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami02","Integer","","Recommended","I start conversations with random people","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami03","Integer","","Recommended","I enjoy doing things with people I have just met.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami04","Integer","","Recommended","I suggest activities for me and my friends to do.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami05","Integer","","Recommended","I make decisions firmly and without hesitation.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami06","Integer","","Recommended","After making a decision, I will wonder if I have made the wrong choice.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami07","Integer","","Recommended","Based on the last two weeks, I would say I care deeply about how my loved ones think of me","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami08","Integer","","Recommended","I go out with friends on a weekly basis.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami09","Integer","","Recommended","When I decide to do something, I am able to make an effort easily.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami10","Integer","","Recommended","I don't like to laze around.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami11","Integer","","Recommended","I get things done when they need to be done, without requiring reminders from others.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami12","Integer","","Recommended","When I decide to do something, I am motivated to see it through to the end.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami13","Integer","","Recommended","I feel awful if I say something insensitive.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami14","Integer","","Recommended","I start conversations without being prompted.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami15","Integer","","Recommended","When I have something I need to do, I do it straightaway so it is out of the way.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami16","Integer","","Recommended","I feel bad when I hear an acquaintance has an accident or illness.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami17","Integer","","Recommended","I enjoy choosing what to do from a range of activities.","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami18","Integer","","Recommended","If I realise I have been unpleasant to someone, I will feel terribly guilty afterwards","0::4;-9","0= Completely True; 1= Quite True; 2= Neither True nor Untrue; 3= Mostly Untrue; 4= Completely Untrue; -9= Refused or Skipped",""
"ami_beh","Integer","","Recommended","AMI Behavioral Mean Score","","",""
"ami_soc","Integer","","Recommended","AMI Social Mean Score","","",""
"ami_emo","Integer","","Recommended","AMI Emotional Mean Score","","",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
