"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"site","String","101","Recommended","Site","","Study Site","siteid"
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","timepoint"
"radiol","Integer","","Recommended","Radiology Evaluation Performed in Emergency Department","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)",""
"radiol_ctscan","Integer","","Recommended","Computed Tomography Scan Performed [1 = Yes]","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_ctscan"
"radiol_cthead","Integer","","Recommended","Computed Tomography:  Head","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_cthead"
"radiol_ctheadfinding","Integer","","Recommended","Computed Tomography:  Head - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_ctheadfinding"
"radiol_ctheadresult","String","2000","Recommended","Computed Tomography:  Head - Result","","","ra_ctheadresult"
"radiol_ctheadabnread","String","2000","Recommended","Computed Tomography:  Head - Abnormal Read","","","ra_ctheadabnread"
"radiol_ctchest","Integer","","Recommended","Computed Tomography:  Chest","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_ctchest"
"radiol_ctchestfinding","Integer","","Recommended","Computed Tomography:  Chest - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_ctchestfinding"
"radiol_ctchestresult","String","2000","Recommended","Computed Tomography:  Chest - Result","","","ra_ctchestresult"
"radiol_ctchestabnread","String","2000","Recommended","Computed Tomography:  Chest - Abnormal Read","","","ra_ctchestabnread"
"radiol_ctpelvis","Integer","","Recommended","Computed Tomography:  Abdomen/ Pelvis","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_ctpelvis"
"radiol_ctpelvisfinding","Integer","","Recommended","Computed Tomography:  Abdomen/ Pelvis - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_ctpelvisfinding"
"radiol_ctpelvisresult","String","2000","Recommended","Computed Tomography:  Abdomen/ Pelvis - Result","","","ra_ctpelvisresult"
"radiol_ctpelvisabnread","String","2000","Recommended","Computed Tomography:  Abdomen/ Pelvis - Abnormal Read","","","ra_ctpelvisabnread"
"radiol_ctother","Integer","","Recommended","Computed Tomography:  Other","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_ctother"
"radiol_ctotherfinding","Integer","","Recommended","Computed Tomography:  Other - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question Presented)","ra_ctotherfinding"
"radiol_ctotherkind","String","2000","Recommended","Computed Tomography:  Other [Specify]","","","ra_ctotherkind"
"radiol_ctotherresult","String","2000","Recommended","Computed Tomography:  Other - Result","","","ra_ctotherresult"
"radiol_ctotherabnread","String","2000","Recommended","Computed Tomography:  Chest - Abnormal Read","","","ra_ctotherabnread"
"radiol_xray","Integer","","Recommended","X-Ray Performed [1 = Yes]","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray"
"radiol_xray_cspine","Integer","","Recommended","X-Ray: C-spine","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray_cspine"
"radiol_xray_cspinefinding","Integer","","Recommended","X-Ray: C-spine - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray_cspinefinding"
"radiol_xray_cspineresult","String","2000","Recommended","X-Ray: C-spine - Result","","","ra_xray_cspineresult"
"radiol_xray_cspineabnread","String","2000","Recommended","X-Ray: C-spine - Abnormal Read","","","ra_xray_cspineabnread"
"radiol_xray_tspine","Integer","","Recommended","X-Ray: T-spine","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray_tspine"
"radiol_xray_tspinefinding","Integer","","Recommended","X-Ray: T-spine - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray_tspinefinding"
"radiol_xray_tspineresult","String","2000","Recommended","X-Ray: T-spine - Result","","","ra_xray_tspineresult"
"radiol_xray_tspineabnread","String","2000","Recommended","X-Ray: T-spine - Abnormal Read","","","ra_xray_tspineabnread"
"radiol_xray_lsspine","Integer","","Recommended","X-Ray: LS-spine","0; 1; -5; -7; -8","0=No; 1=Yes; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray_lsspine"
"radiol_xray_lsspinefinding","Integer","","Recommended","X-Ray: LS-spine - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray_lsspinefinding"
"radiol_xray_lsspineresult","String","2000","Recommended","X-Ray: LS-spine - Result","","","ra_xray_lsspineresult"
"radiol_xray_lsspineabnread","String","2000","Recommended","X-Ray: LS-spine - Abnormal Read","","","ra_xray_lsspineabnread"
"v1_lab_chestxray","Integer","","Recommended","Chest X-Ray completion","0;1","0= no; 1= yes","ra_xray_chest,radiol_xray_chest"
"radiol_xray_chestfinding","Integer","","Recommended","X-Ray: Chest - Finding [1 = Normal, 2 = Abnormal]","1; 2; -5; -7; -8","1=Normal; 2=Abnormal; -8=DON'T KNOW; -7=REFUSED; -5=Missing (Question presented)","ra_xray_chestfinding"
"radiol_xray_chestresult","String","2000","Recommended","X-Ray: Chest - Result","","","ra_xray_chestresult"
"radiol_xray_chestabnread","String","2000","Recommended","X-Ray: Chest - Abnormal Read","","","ra_xray_chestabnread"
