"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bur1","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Had financial problems?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur2","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Missed days at work (or school)?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur3","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Found it difficult to concentrate on your own activities?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur4","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Had to change your personal plans like taking a new job, or going on vacation?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur5","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Cut down on leisure time?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur6","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Found the household routine was upset?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur7","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Had less time to spend with friends?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur8","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Neglected other family members' needs?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur9","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Experienced family frictions and arguments?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur10","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Experienced frictions with neighbors, friends, or relatives outside the home?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur11","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Became embarrassed because of (name's) behavior?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur12","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Felt guilty because you were not doing enough to help?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur13","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Felt guilty because you felt responsible for causing (name's) problem?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur14","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Resented (name) because s/he made too many depends on you?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur15","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Felt trapped by your caregiving role?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur16","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Were upset about how much (name) had changed from his or her former self?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur17","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Worried about how your behavior with (name) might make the illness worse?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur18","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Worried about what the future holds for (name)?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
"bur19","Integer","","Recommended","Would you tell me to what extent you have had any of the following experiences in the past six months. Because of (name's) illness, to what extent have you: Found the stigma of the illness upsetting?","1::4;9","1 = Not at all; 2 = A little; 3 = Some; 4 = A lot; 9 = NA",""
