"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id,patid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"bcq_sleep_1","Integer","","Recommended","Babies can have a good night's sleep regardless of scheduling.","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
"bcq_sleep_2","Integer","","Recommended","Strict sleeping routines prevent parent(s) from enjoying their child.","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
"bcq_sleep_3","Integer","","Recommended","Sleeping schedules make babies unhappy.","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
"bcq_sleep_4","Integer","","Recommended","It is important to introduce a sleeping schedule as early as possible.","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
"bcq_sleep_5","Integer","","Recommended","Babies benefit from a quiet room to sleep","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
"bcq_sleep_6","Integer","","Recommended","Babies benefit from a fixed napping/sleeping schedule","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
"bcq_sleep_7","Integer","","Recommended","Some days, babies need more or less sleep than other days","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
"bcq_sleep_8","Integer","","Recommended","Babies benefit from physical contact with parent(s) when they wake during the night.","1 :: 4; -99; 77; 88","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree; -99= N/A; 77=Refused; 88=Missing",""
