"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","ssidno00"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","ssbaydat03,ssbaydat06,ssbaydat09"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","ageinmnthw03,ageinmnthw06,ageinmnthw09"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,ssgndr"
"ethnic_group","String","255","Recommended","Ethnic group","","","ssfheth00"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","ssbaynot03,ssbaynot06,ssbaynot09"
"info_refreason","String","255","Recommended","Reason for Referral","","",""
"age_adj_premature","Integer","","Recommended","Age adjusted for prematurity","0; 1","0 = No; 1 = Yes",""
"bsid_cog_sumscaled","Integer","","Recommended","Cognitive - Sum of Scaled Scores","","",""
"bsid_cog_composite","Integer","","Recommended","Cognitive - Composite Score","45 :: 155","","ssbayccs03,ssbayccs06,ssbayccs09"
"bsid_cog_percentile","Integer","","Recommended","Cognitive - Percentile Rank","","","ssbaycps03,ssbaycps06,ssbaycps09"
"bsid_cog_confidence","String","10","Recommended","Cognitive - 95% Confidence Interval","","",""
"bsid_cog_qualdesc","Integer","","Recommended","Cognitive - Qualitative Description","0 :: 5","0 = Extremely low; 1 = Below average; 2 = Borderline; 3 = Average; 4 = Above average; 5 = Extremely high",""
"bsid_lang_sumscaled","Integer","","Recommended","Language - Sum of Scaled Scores","","","ssbayres03,ssbayres06,ssbayres09"
"bsid_lang_composite","Integer","","Recommended","Language - Composite Score","","","ssbayrec03,ssbayrec06,ssbayrec09"
"bsid_lang_percentile","Integer","","Recommended","Language - Percentile Rank","","","ssbayrep03,ssbayrep06,ssbayrep09"
"bsid_lang_confidence","String","10","Recommended","Language - 95% Confidence Interval","","",""
"bsid_lang_qualdesc","Integer","","Recommended","Language - Qualitative Description","0 :: 5","0 = Extremely low; 1 = Below average; 2 = Borderline; 3 = Average; 4 = Above average; 5 = Extremely high",""
"bsid_mot_sumscaled","Integer","","Recommended","Motor - Sum of Scaled Scores","","","ssbayfgs03,ssbayfgs06,ssbayfgs09"
"bsid_mot_composite","Integer","","Recommended","Motor Composite Score","","","ssbayfgc03,ssbayfgc06,ssbayfgc09"
"bsid_mot_percentile","Integer","","Recommended","Motor - Percentile Rank","","","ssbayfgp03,ssbayfgp06,ssbayfgp09"
"bsid_mot_confidence","String","10","Recommended","Motor - 95% Confidence Interval","","",""
