"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"compaeq_1","Integer","","Recommended","When I drink alcohol, I am more relaxed and more at ease socially.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_2","Integer","","Recommended","When I drink alcohol, I am not so shy anymore.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_3","Integer","","Recommended","When I drink alcohol, it's easier for me to approach other people.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_4","Integer","","Recommended","When I drink alcohol, somehow I think everything is funnier - at any rate, I laugh more.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_5","Integer","","Recommended","When I drink alcohol, I am more likely to come out of my shell.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_6","Integer","","Recommended","When I drink alcohol, my self-confidence increases.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_7","Integer","","Recommended","When I drink alcohol, I am more daring.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_8","Integer","","Recommended","When I drink alcohol, I am more talkative.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_9","Integer","","Recommended","When I drink alcohol, I am less self-conscious.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
"compaeq_10","Integer","","Recommended","When I drink alcohol, I can get to know people more easily.","1::5","1 = Extremely unlikely; 2 = Unlikely; 3 = Neutral; 4 = Likely; 5 = Extremely likely",""
