"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","adate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"copeint_well","Integer","","Recommended","How well do you think you did on the speech compared to other kids your age?","1::5","1=The Worst; 2=Not Very Well; 3=About Average; 4=Pretty Well; 5=The Best",""
"copeint_stressprep","Integer","","Recommended","How stressful was it to prepare the speech, knowing that you then had to give it in front of an audience?","1::5","1=Not at all stressful; 2=A Little Stressful; 3=Somewhat Stressful; 4=Moderately Stressful; 5=Very Stressful",""
"copeint_stressspeech","Integer","","Recommended","How about during the speech, how stressful was it to be giving the speech in front of the video camera and panel of experts?","1::5","1=Not at all stressful; 2=A Little Stressful; 3=Somewhat Stressful; 4=Moderately Stressful; 5=Very Stressful",""
"copeint_stressmath","Integer","","Recommended","How about during the math part, how stressful was it to be doing subtraction in front of the video camera and panel of experts?","1::5","1=Not at all stressful; 2=A Little Stressful; 3=Somewhat Stressful; 4=Moderately Stressful; 5=Very Stressful",""
"copeint_cope","String","2000","Recommended","How did you cope with or handle the stress of preparing the speech and talking in front of the audience?","","",""
"copeint_calmfocus","String","2000","Recommended","What did you do to stay calm and focused?","","",""
"copeint_copecalmwork","Integer","","Recommended","Pick a number from the third box, showing how well it worked (things they did to cope or stay calm and focused)","1::5","1=Did Not Work at All; 2=Worked a Little; 3=Worked Ok; 4=Worked Pretty Well; 5=Worked Great",""
"copeint_deepbreath","Integer","","Recommended","Did you do things with your body like deep breathing to be calm?","0;1","0=No; 1=Yes",""
"copeint_deepbreath_text","String","2000","Recommended","Did you do things with your body like deep breathing to be calm? If yes, what did you do?","","",""
"copeint_deepbreathwork","Integer","","Recommended","Pick a number from the third box, showing how well it worked (things with your body like deep breathing)","1::5","1=Did Not Work at All; 2=Worked a Little; 3=Worked Ok; 4=Worked Pretty Well; 5=Worked Great",""
"copeint_encourthought","Integer","","Recommended","Did you tell yourself calming or encouraging thoughts to stay calm?","0;1","0=No; 1=Yes",""
"copeint_encourthoughtwork","Integer","","Recommended","Pick a number from the third box, showing how well it worked (calming or encouraging thoughts)","1::5","1=Did Not Work at All; 2=Worked a Little; 3=Worked Ok; 4=Worked Pretty Well; 5=Worked Great",""
"copeint_coperoomdo","String","2000","Recommended","What did you do in there? (Ask about materials in the room if silent)","","",""
"copeint_coperoomthink","String","2000","Recommended","What were you thinking about (If silent, probe if thinking about how well they did, what they could have said, etc.)","","",""
"copeint_coperoomfeel","String","2000","Recommended","How were you feeling? (probe for sad, mad, embarassed, scared if silent)","","",""
"copeint_coperoombetter","String","2000","Recommended","Did you do anything in particular to make yourself feel better? Tell me everything you tried, whether it worked or not.","","",""
"copeint_coperoombetterwork","Integer","","Recommended","Pick a number from the third box, showing how well it worked (things they did to make self feel better).","1::5","1=Did Not Work at All; 2=Worked a Little; 3=Worked Ok; 4=Worked Pretty Well; 5=Worked Great",""
