"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","demo_study_id,id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","visit_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","agecptc"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex,sexmf"
"days_baseline","Integer","","Recommended","Days since baseline","","","daycptc"
"assbdic","String","5","Recommended","Assessment Point","D;14;E;24;LB;36;72;96;120; 9; B; 3; 7; 144; 168;192; C","D=MTA baseline assessment; 14=MTA 14 month assessment; E=MTA early termination assessment; B = MTA Pre-Baseline Screening Assessment (579/579); 09 = MTA 9 Month Assessment (530/530); 24=MTA 24 month assessment; LB=LNCG baseline assessment; 36=MTA and LNCG 3 year assessment; 72=MTA and LNCG 6 year assessment; 96=MTA and LNCG 8 year assessment; 03 = MTA 3 Month Assessment (438/687);120=MTA and LNCG 10 year assessment; 7= 7th Grade Assessment (221/276); 144 = MTA & LNCG 12 Month Assessment (578/578); 168 = MTA & LNCG 14 Month Assessment (585/585); 192 = MTA & LNCG 16 Month Assessment (505/505); C = MTA Pre-Baseline Screening Assessment (78/78)","asscptc"
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator","relcptc"
"actbdic","Integer","","Recommended","Active status","0::5","0=Inactive-Data collected after the 14 month treatment phase/after early termination from treatment phase/prior to treatment phase; 1=Active-Data collected during the 14 month treatment phase while subject received originally assigned treatment regardless of degree of compliance; 2=Active-This is the last active assessment for subjects who were about to violate treatment arm by receiving alternate treatment; 3=Active-This is the last active assessment for subjects who were about to leave the study by moving away;4=Yes, Active; 5=No, Not Active","actcptc"
"site","String","101","Recommended","Site","","Study Site","sitenum"
"sjtyp","Integer","","Recommended","Subject type","1;2","1=MTA randomized trial subject; 2=Local normative comparison group (LNCG) subject",""
"medcptc","String","1","Recommended","Medication status on day of testing","Y;N","Y=Yes; N=No",""
"rtmn","Float","","Recommended","Whole test - mean hit reaction time","","","conn_hit_rt_value,cpt_hit_rt_n,hitreactiontimerawvalue"
"rtsd","Float","","Recommended","Whole test - standard deviation of mean hit reaction time","","","hrtsd_nolog"
"eomm","Float","","Recommended","Whole test - errors of omission","","","conn_ommis_value,cpt_omissions_n,omissionsrawvalue"
"ecomm","Float","","Recommended","Whole test - errors of commission","","","cpt_commissions_n"
"dp","Float","","Recommended","Whole test - d prime","","",""
"beta","Float","","Recommended","Whole test - beta","","",""
"rtmnb1","Float","","Recommended","Mean hit reaction time block 1  trials 1-60","","",""
"rtmnb2","Float","","Recommended","Mean hit reaction time block 2  trials 61-120","","",""
"rtmnb3","Float","","Recommended","Mean hit reaction time block 3  trials 121-180","","",""
"rtmnb4","Float","","Recommended","Mean hit reaction time block 4  trials 181-240","","",""
"rtmnb5","Float","","Recommended","Mean hit reaction time block 5  trials 241-300","","",""
"rtmnb6","Float","","Recommended","Mean hit reaction time block 6  trials 301-360","","",""
"rtsdb1","Float","","Recommended","Mean hit reaction time sd block 1  trials 1-60","","",""
"rtsdb2","Float","","Recommended","Mean hit reaction time sd block 2  trials 61-120","","",""
"rtsdb3","Float","","Recommended","Mean hit reaction time sd block 3  trials 121-180","","",""
"rtsdb4","Float","","Recommended","Mean hit reaction time sd block 4  trials 181-240","","",""
"rtsdb5","Float","","Recommended","Mean hit reaction time sd block 5  trials 241-300","","",""
"rtsdb6","Float","","Recommended","Mean hit reaction time sd block 6  trials 301-360","","",""
"eommb1","Float","","Recommended","Errors of omission block 1  trials 1-60","","",""
"eommb2","Float","","Recommended","Errors of omission block 2  trials 61-120","","",""
"eommb3","Float","","Recommended","Errors of omission block 3  trials 121-180","","",""
"eommb4","Float","","Recommended","Errors of omission block 4  trials 181-240","","",""
"eommb5","Float","","Recommended","Errors of omission block 5  trials 241-300","","",""
"eommb6","Float","","Recommended","Errors of omission block 6  trials 301-360","","",""
"ecommb1","Float","","Recommended","Errors of commission block 1  trials 1-60","","",""
"ecommb2","Float","","Recommended","Errors of commission block 2  trials 61-120","","",""
"ecommb3","Float","","Recommended","Errors of commission block 3  trials 121-180","","",""
"ecommb4","Float","","Recommended","Errors of commission block 4  trials 181-240","","",""
"ecommb5","Float","","Recommended","Errors of commission block 5  trials 241-300","","",""
"ecommb6","Float","","Recommended","Errors of commission block 6  trials 301-360","","",""
"dpb1","Float","","Recommended","D prime block 1  trials 1-60","","",""
"dpb2","Float","","Recommended","D prime block 2  trials 61-120","","",""
"dpb3","Float","","Recommended","D prime block 3  trials 121-180","","",""
"dpb4","Float","","Recommended","D prime block 4  trials 181-240","","",""
"dpb5","Float","","Recommended","D prime block 5  trials 241-300","","",""
"dpb6","Float","","Recommended","D prime block 6  trials 301-360","","",""
"betab1","Float","","Recommended","Beta block 1  trials 1-60","","",""
"betab2","Float","","Recommended","Beta block 2  trials 61-120","","",""
"betab3","Float","","Recommended","Beta block 3  trials 121-180","","",""
"betab4","Float","","Recommended","Beta block 4  trials 181-240","","",""
"betab5","Float","","Recommended","Beta block 5  trials 241-300","","",""
"betab6","Float","","Recommended","Beta block 6  trials 301-360","","",""
"rtmni1","Float","","Recommended","Mean hit reaction time  1 second isi trial blocks","","",""
"rtmni2","Float","","Recommended","Mean hit reaction time  2 second isi trial blocks","","",""
"rtmni4","Float","","Recommended","Mean hit reaction time  4 second isi trial blocks","","",""
"rtsdi1","Float","","Recommended","Mean hit reaction time sd  1 second isi trial blocks","","",""
"rtsdi2","Float","","Recommended","Mean hit reaction time sd  2 second isi trial blocks","","",""
"rtsdi4","Float","","Recommended","Mean hit reaction time sd  4 second isi trial blocks","","",""
"eommi1","Float","","Recommended","Errors of omission - 1 second isi trial blocks","","",""
"eommi2","Float","","Recommended","Errors of omission - 2 second isi trial blocks","","",""
"eommi4","Float","","Recommended","Errors of omission - 4 second isi trial blocks","","",""
"ecommi1","Float","","Recommended","Errors of commission - 1 second isi trial blocks","","",""
"ecommi2","Float","","Recommended","Errors of commission - 2 second isi trial blocks","","",""
"ecommi4","Float","","Recommended","Errors of commission - 4 second isi trial blocks","","",""
"dpi1","Float","","Recommended","D prime  1 second isi trial blocks","","",""
"dpi2","Float","","Recommended","D prime  2 second isi trial blocks","","",""
"dpi4","Float","","Recommended","D prime  4 second isi trial blocks","","",""
"betai1","Float","","Recommended","Beta - 1 second isi trial blocks","","",""
"betai2","Float","","Recommended","Beta - 2 second isi trial blocks","","",""
"betai4","Float","","Recommended","Beta - 4 second isi trial blocks","","",""
"omissionstscore","Float","","Recommended","Omissions T Score","","","conn_ommis_tscore,cpt_omissions_t,omi_t,p7902srspreschooltscoresa"
"commissionsrawvalue","Float","","Recommended","Commissions Raw Value","","","com_r,conn_commis_value,cpt_commissions_n,p7902srspreschooltscorescog"
"commissionstscore","Float","","Recommended","Commissions T Score","","","com_t,conn_commis_tscore,cpt_commissions_t,p7902srspreschooltscorescomm,pcom_t"
"hitreactiontimetscore","Float","","Recommended","Hit Reaction Time T Score","","","conn_hit_rt_tscore,cpt_hit_rt_t,hrt_t,p7902srspreschooltscoresmot"
"hitreactiontimeserawvalue","Float","","Recommended","Hit Reaction Time SE Raw Value","","","cpt_hit_rt_std_error_n,p7902srspreschooltscorerb"
"hitreactiontimesetscore","Float","","Recommended","Hit Reaction Time SE T Score","","","cpt_hit_rt_std_error_t,p7902srspreschooltscoretotal"
"variabilityrawvalue","Float","","Recommended","Variability Raw Value","","","cpt_variability_n"
"variabilitytscore","Float","","Recommended","Variability T Score","","","cpt_variability_t"
"detectabilityrawvalue","Float","","Recommended","Detectability Raw Value","","","conn_detect_value,cpt_detectability_n,dpr_r"
"detectabilitytscore","Float","","Recommended","Detectability T Score","","","conn_detect_tscore,cpt_detectability_t,dpr_t"
"responserawvalue","Float","","Recommended","Response Raw Value","","","c_r,conn_resp_style_value,cpt_response_style_n"
"responsetscore","Float","","Recommended","Response T Score","","","c_t,conn_resp_style_tscore,cpt_response_style_t"
"perseverationsrawvalue","Float","","Recommended","Perseverations Raw Value","","","cpt_perseverations_n,pcom_r"
"perseverationstscore","Float","","Recommended","Perseverations T Score","","","cpt_perseverations_t"
"version_form","String","121","Recommended","Form used/assessment name","","","whichtestwasadministered"
"hrtblockchangerawval","Float","","Recommended","HRT Block Change Raw
Values","","",""
"hrtblockchangetscores","Float","","Recommended","HRT Block Change
TScores","","",""
"hrtisichangerawval","Float","","Recommended","HRT ISI Change Raw
Values","","","cpt_hit_rt_isi_change_n"
"hrtisichangetscores","Float","","Recommended","HRT ISI Change
TScores","","","cpt_hit_rt_isi_change_t"
"hitreactiontimesdrawvalue","Float","","Recommended","Hit Reaction Time SD
Raw Value","","","conn_hit_rt_sd_value,hrtsd_r"
"hitreactiontimesdtscore","Float","","Recommended","Hit Reaction Time SD T
Score","","","conn_hit_rt_sd_tscore,hrtsd_t"
"comments_ovlasst","String","1020","Recommended","Overall assessment","","","assessmenttime,cpt_notes"
"form_completed","Integer","","Recommended","Was the form completed?","1::4","1=Yes; 2=No; 3=Unverified; 4 = N/A-Not in age range","conn_complete"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","conn_add_notes"
"cpt_type","Integer","","Recommended","What type of CPT was run?","1;2","1 = CPT-II ; 2 = K-CPT",""
"conn_ommis_per","Float","","Recommended","Connors Ommissions Percentile","","","cpt_omissions_pctile,omi_p"
"conn_omiss_guide","Integer","","Recommended","Connors Omissions Guideline","1::5","1 = Very Good Performance ; 2 = Good Performance ; 3 = Within Average Range ; 4 = Mildly Atypical ; 5 = Markedly Atypical",""
"conn_commis_per","Float","","Recommended","Connors Comissions Percentile","","","com_p,cpt_commissions_pctile"
"conn_comiss_guide","Integer","","Recommended","Connors Comission Guidelines","1::5","1 = Very Good Performance ; 2 = Good Performance ; 3 = Within Average Range ; 4 = Mildly Atypical ; 5 = Markedly Atypical",""
"conn_hit_rt_per","Float","","Recommended","Connors Hit Reaction Time Percentile","","","cpt_hit_rt_pctile,hrt_p"
"conn_hit_rt_guide","Integer","","Recommended","Connors Hit Reaction Time Guidelines","1::5","1 = Atypically Fast ; 2 = A Little Fast ; 3 = Within Average Range ; 4 = Below Normal ; 5 = A Little Slow",""
"conn_hit_rt_sd_per","Float","","Recommended","Connors Hit Reaction Time Standard Deviation Percentile","","","hrtsd_p"
"conn_hit_rt_sd_guide","Integer","","Recommended","Connors Hit Reaction Time Stand Dev Guideline","1::5","1 = Very Good Performance ; 2 = Good Performance ; 3 = Within Average Range ; 4 = Mildly Atypical ; 5 = Markedly Atypical",""
"conn_detect_per","Float","","Recommended","Connors Detectibility Percentile","","","cpt_detectability_pctile,dpr_p"
"conn_detect_guide","Integer","","Recommended","Connors Detectability Guideline","1::5","1 = Very Good Performance ; 2 = Good Performance ; 3 = Within Average Range ; 4 = Mildly Atypical ; 5 = Markedly Atypical",""
"conn_resp_style_per","Float","","Recommended","Connors Response Style Percentile","","","cpt_response_style_pctile"
"conn_resp_style_guide","Integer","","Recommended","Connors Response Style Guidelines","1::5","1 = Very Good Performance ; 2 = Good Performance ; 3 = Within Average Range ; 4 = Mildly Atypical ; 5 = Markedly Atypical",""
"cpt_omissions_guideline","String","25","Recommended","Omissions: Omissions score descriptor ","markedly atypical; moderately atypical; mildly atypical;within the average range; good performance; very good performance","Omissions score descriptor (as compared to the normative group)",""
"cpt_commissions_guideline","String","25","Recommended","Commissions: Commissions score descriptor","markedly atypical; moderately atypical; mildly atypical;within the average range; good performance; very good performance","Commission errors are made when responses are given to non-targets (i.e., Xs).",""
"cpt_perseverations_pctile","Float","","Recommended","Perseverations: Perseverations percentile","","Any reaction time that is less than 100 ms constitutes a perseverative response.","pcom_p"
"cpt_perseverations_guideline","String","25","Recommended","Perseverations: Perseverations score descriptor","markedly atypical; moderately atypical; mildly atypical;within the average range; good performance; very good performance","Any reaction time that is less than 100 ms constitutes a perseverative response.",""
"cpt_perseverations_pct","Float","","Recommended","Perseverations: Perseverations percent","","Any reaction time that is less than 100 ms constitutes a perseverative response.",""
"cpt_hit_rt_guideline","String","25","Recommended","Hit Reaction Time: Hit Reaction Time score descriptor","atypically fast; a little fast; within average range; a little slow; atypically slow","Overall Hit Reaction Time is the average speed of correct responses for the entire test.",""
