"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","mcs_date_std"
"cycle","Integer","","Recommended","Timepoint information","","-1 = Screener; 0 = Baseline; 97 = Taper; 98 = Withdrawal; 99 = Interim contact; Otherwise: weeks since baseline",""
"patid","String","20","Recommended","A Participant ID","","",""
"network","String","20","Recommended","Network","","CPEA or STAART Network",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","",""
"mcg_vc10_house","Integer","","Recommended","MacArthur Words and Gestures: Vocabulary Checklist: House","","0 = Does not understand; 1 = Understands; 2 = Understands and says",""
"mcg_vc2_do","Integer","","Recommended","MacArthur Words and Gestures: Vocabulary Checklist: Dog","","",""
"mcs_cx_ageeq","Integer","","Recommended","MacArthur Words and Sentences: Total Complexity Score: Age Equivalent","","",""
"mcs_cx_total","Integer","","Recommended","MacArthur Words and Sentences: Total Complexity Score","0::37","",""
"mcs_date","Integer","","Recommended","MCI Date","","",""
"mcs_ex1_len","Integer","","Recommended","MacArthur Words and Sentences: Example - list 3 longest sentences","","",""
"mcs_ex2_len","Integer","","Recommended","MacArthur Words and Sentences: Example - list 3 longest sentences","","",""
"mcs_ex3_len","Integer","","Recommended","MacArthur Words and Sentences: Example - list 3 longest sentences","","",""
"mcs_uw_absent","Integer","","Recommended","MacArthur Words and Sentences: How Children Use Words: Does your child talk about objects that are not present such as asking about a missing or absent toy, referring to a pet out of view, or asking a","0::2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_uw_belong","Integer","","Recommended","MacArthur Words and Sentences: How Children Use Words: Does your child ever pick up or point to an object and name an absent person to whom the object belongs? For example, a child might point to momm","0::2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_uw_future","Integer","","Recommended","MacArthur Words and Sentences: How Children Use Words: Does your child ever talk about something thats going to happen in the future, for example, saying ""choo choo"" or ""airplane"" before you leave the","0::2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_uw_notin","Integer","","Recommended","MacArthur Words and Sentences: How Children Use Words: Does you child understand if you ask for something that is not in the room, for example, by going to the bedroom to get a teddy bear when you say","0::2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_uw_past","Integer","","Recommended","MacArthur Words and Sentences: How Children Use Words: Does your child ever talk about past events or people who are not present? For example a child who saw a parade last week might later say parade,","0::2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_vc_ageeq","Integer","","Recommended","MacArthur Words and Sentences: Vocabulary Checklist Age Equivalent","","",""
"mcs_we_ing","Integer","","Recommended","MacArthur Words and Sentences: Word endings-Part 3","0;1;2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_vc_total","Integer","","Recommended","Total Score Parts 1- 22. Words Produced counts","0 :: 680; 999","999 = Missing value",""
"mcs_vc1_total","Integer","","Recommended","Total Score Part 1","0  12","",""
"mcs_vc10_total","Integer","","Recommended","Total Score Part 10","0  31","",""
"mcs_vc11_total","Integer","","Recommended","Total Score Part 11","0  22","",""
"mcs_vc12_total","Integer","","Recommended","Total Score Part 12","0  29","",""
"mcs_vc13_total","Integer","","Recommended","Total Score Part 13","0  25","",""
"mcs_vc14_total","Integer","","Recommended","Total Score Part 14","0  103","",""
"mcs_vc15_total","Integer","","Recommended","Total Score Part 15","0  63","",""
"mcs_vc16_total","Integer","","Recommended","Total Score Part 16","0  12","",""
"mcs_vc17_total","Integer","","Recommended","Total Score Part 17","0  25","",""
"mcs_vc18_total","Integer","","Recommended","Total Score Part 18","0  18","",""
"mcs_vc19_total","Integer","","Recommended","Total Score Part 19","0  19","",""
"mcs_vc2_total","Integer","","Recommended","Total Score Part 2","0  43","",""
"mcs_vc20_total","Integer","","Recommended","Total Score Part 20","0  20","",""
"mcs_vc21_total","Integer","","Recommended","Total Score Part 21","0  21","",""
"mcs_vc22_total","Integer","","Recommended","Total Score Part 22","0  6","",""
"mcs_vc3_total","Integer","","Recommended","Total Score Part 3","0  14","",""
"mcs_vc4_total","Integer","","Recommended","Total Score Part 4","0  18","",""
"mcs_vc5_total","Integer","","Recommended","Total Score Part 5","0  68","",""
"mcs_vc6_total","Integer","","Recommended","Total Score Part 6","0  28","",""
"mcs_vc7_total","Integer","","Recommended","Total Score Part 7","0  27","",""
"mcs_vc8_total","Integer","","Recommended","Total Score Part 8","0  50","",""
"mcs_vc9_total","Integer","","Recommended","Total Score Part 9","0  33","",""
"mcs_version","String","35","Recommended","MCI Version","","",""
"mcs_we_owner","Integer","","Recommended","MacArthur Words and Sentences: Word endings-Part 2","0;1;2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_we_past","Integer","","Recommended","MacArthur Words and Sentences: Word endings-Part 4","0;1;2","0 = Not yet; 1 = Sometimes; 2 = Often",""
"mcs_we_pural","Integer","","Recommended","MacArthur Words and Sentences: Word endings-Part 1","","",""
"mcs_wen_total","Integer","","Recommended","MacArthur Words and Sentences: Total Word ending Mistakes","","",""
"mcs_wf_ageeq","Integer","","Recommended","MacArthur Words and Sentences: Word Forms Total Irregular Word Usage  : Age Equivalent","","",""
"mcs_wf_total","Integer","","Recommended","MacArthur Words and Sentences: Word Forms Total Irregular Word Usage","0::25","",""
"sb_age","Integer","","Recommended","Stanford Binet Age","","",""
"mcs_ex1_r2","String","1000","Recommended","MacArthur Words and Sentences: Example - list 3 longest sentences (sentence)","","","MCS_EX1"
"mcs_ex2_r2","String","500","Recommended","MacArthur Words and Sentences: Example - list 3 longest sentences (sentence)","","","MCS_EX2"
"mcs_ex3_r2","String","500","Recommended","MacArthur Words and Sentences: Example - list 3 longest sentences (sentence)","","","MCS_EX3"
