"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","sb_date_std"
"cycle","Integer","","Recommended","Timepoint information","","-1 = Screener; 0 = Baseline; 97 = Taper; 98 = Withdrawal; 99 = Interim contact; Otherwise: weeks since baseline",""
"patid","String","20","Recommended","A Participant ID","","",""
"network","String","20","Recommended","Network","","CPEA or STAART Network",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","",""
"sb_age","Integer","","Recommended","Stanford Binet Age","","",""
"sb_date","Integer","","Recommended","Stanford Binet Date","","","q33_date"
"sb_n3qr_2block2","Integer","","Recommended","Stanford Binet: Nonverbal Level: Quantitative Reasoning 2 blocks","","",""
"sb_fr_lci","Integer","","Recommended","Fluid reasoning Lower confidence interval","","","q33_con1a"
"sb_fr_percent","Float","","Recommended","Percentile rank","","","q33_per1"
"sb_fr_stdscore","Integer","","Recommended","Standard score","","","q33_std1"
"sb_fr_sumss","Integer","","Recommended","Fluid Reasoning Sum of scaled scores","","","q33_sum1"
"sb_fr_uci","Integer","","Recommended","Fluid Reasoning Upper confidence interval","","","q33_con1b"
"sb_fsiq_lci","Integer","","Recommended","Full Scale IQ Lower confidence interval","","","q33_con8a"
"sb_fsiq_percent","Float","","Recommended","Percentile rank","","","q33_per8"
"sb_fsiq_stdscore","Integer","","Recommended","Standard score","","","q33_std8"
"sb_fsiq_sumss","Integer","","Recommended","Full Scale IQ Sum of scaled scores","","","q33_sum8"
"sb_fsiq_uci","Integer","","Recommended","Full Scale IQ Upper confidence interval","","","q33_con8b"
"sb_kn_lci","Integer","","Recommended","Knowledge Lower confidence interval","","","q33_con2a"
"sb_kn_percent","Float","","Recommended","Percentile rank","","","q33_per2"
"sb_kn_stdscore","Integer","","Recommended","Standard score","","","q33_std2"
"sb_kn_sumss","Integer","","Recommended","Knowledge Sum of scaled scores","","","q33_sum2"
"sb_kn_uci","Integer","","Recommended","Knowledge Upper confidence interval","","","q33_con2b"
"sb_n1kn_raw","Integer","","Recommended","Nonverbal Knowledge Level 1 Raw score","","",""
"sb_n1qr_raw","Integer","","Recommended","Nonverbal Quantitative Reasoning Level 1 Raw score","","",""
"sb_n1vs_c","Integer","","Recommended","Circle placed correctly","0;1","0 = Fail; 1 = Correct","q33_nvs1_1"
"sb_n1vs_cs","Integer","","Recommended","Circle and square placed correctly","0;1","0 = Fail; 1 = Correct","q33_nvs1_2"
"sb_n1vs_cst","Integer","","Recommended","Circle, square, and triangle placed correctly","0;1","0 = Fail; 1 = Correct","q33_nvs1_3"
"sb_n1vs_raw","Integer","","Recommended","Nonverbal Visual-Spatial Processing Level 1 Raw score","","",""
"sb_n1vs_rcts","Integer","","Recommended","Board rotated 180° - circle, large triangle, and square placed correctly","0;1","0 = Fail; 1 = Correct","q33_nvs1_4"
"sb_n1wm_carl","Integer","","Recommended","Cups have been reversed  car under cup on your left","0;1","0 = Fail; 1 = Correct","q33_nwm1_2"
"sb_n1wm_carm","Integer","","Recommended","Car under middle cup","0;1","0 = Fail; 1 = Correct","q33_nwm1_3"
"sb_n1wm_carr","Integer","","Recommended","Car under cup on your right","0;1","0 = Fail; 1 = Correct","q33_nwm1_4"
