"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"location","Integer","","Required","Location. Where the AADOS was administered","1::3","1 = Clinic; 2 = Participant's home; 3 = Other testing space",""
"location_spec","String","255","Recommended","Specify other location","","",""
"observation_1a","String","100","Recommended","Interactive Constraction task","","",""
"observation_1b","String","25","Recommended","Fives Routine #1","","",""
"asr_f1","String","10","Recommended","Anticipation of Social Routine  Fives#1 (check all that apply)","","1 = Participant initiated fives in response to examiner's positive comment (or spontaneously); 2 = Participant anticipated next steps after the examiner initiated (e.g. initiated up high down low); 3 = Participant anticipated final step (e.g. pulling his/her hand away before examiner does); 4 = Participant responds (e.g. gives fives); 5 = No response",""
"observation_2a","String","100","Recommended","Interactive Picnic/Pizza Party","","",""
"observation_2b","String","25","Recommended","Fives Routine #2","","",""
"asr_f2","String","10","Recommended","Anticipation of Social Routine  Fives#2 (check all that apply)","","1 = Participant initiated fives in response to examiner's positive comment (or spontaneously); 2 = Participant anticipated next steps after the examiner initiated (e.g. initiated up high down low); 3 = Participant anticipated final step (e.g. pulling his/her hand away before examiner does); 4 = Participant responds (e.g. gives fives); 5 = No response",""
"observation_3","String","100","Recommended","Masks","","",""
"asr_m","String","10","Recommended","Anticipation of Social Routine  Masks (This activity is scored in item B16a; check all that apply)","","1 = Participant initiated (e.g. by putting a new mask up to his/her face); 2 = Participant maintained routine after the examiner initiated (e.g. imitated the examiner by holding up a mask after the examiner initiated the routine); 3 = Participant showed anticipation (e.g. pulling his/her mask down before examiner does); 4 = Participant showed unclear anticipation",""
"observation_4","String","100","Recommended","Functional & Symbolic Imitation","","",""
"observation_5","String","100","Recommended","Routine with Objects","","",""
"observation_5a","String","100","Recommended","Interactive Routine with Objects","","",""
"observation_5b","String","25","Recommended","Fives Routine - #3","","",""
"asr_f3","String","10","Recommended","Anticipation of Social Routine  Fives#3 (check all that apply)","","1 = Participant initiated fives in response to examiner's positive comment (or spontaneously); 2 = Participant anticipated next steps after the examiner initiated (e.g. initiated up high down low); 3 = Participant anticipated final step (e.g. pulling his/her hand away before examiner does); 4 = Participant responds (e.g. gives fives); 5 = No response",""
"observation_6","String","100","Recommended","Break","","",""
"observation_6a","String","100","Recommended","Response to Joint Attention","","0 = Uses the orientation of the examiner's eyes and face alone as a cue to look toward the target, without the need for pointing. The participant must follow the examiner's gaze and turn his/her face or eyes in the direction of the target after watching the examiner do so, but s/he does not actually have to catch sight of the target. 1 = Follows the examiner's point by looking at or toward the target. 2 = Examiner was able to get participant's attention to direct it in five attempts, but participant did not follow gaze or point to orient towards the object. 3 = It is not possible to get the participant's attention to the examiner in order to direct it in five attempts. Participant may or may not orient to the object or the examiner once the object is activated.",""
"observation_6b","String","100","Recommended","Response to Name","","0 = Looks toward the examiner and makes eye contact immediately on at least one of the first two clear presses made by the examiner (i.e., name only is called) OR responds vocally to one of the first two presses AND makes eye contact on one of the next two presses after the vocal response. 1 = Looks toward the examiner and makes eye contact immediately after the third or fourth press of name only OR responds vocally to the first two presses but does not make eye contact on any of the following four presses in which his/her name is called. 2 = Does not make eye contact with the examiner on any press, but looks towards the examiner without making eye contact OR responds vocally without eye contact to the 3rd, 4th, or 5th press OR only makes eye contact with the examiner after the examiner says something interesting. 3 = Does not look toward or respond vocally to the examiner after any vocal attempt to get attention.",""
"observation_6c","String","100","Recommended","Interactive Break","","",""
"observation_7","String","100","Recommended","Bubble Guns","","",""
"observation_7a","String","100","Recommended","Interactive Bubble Guns Routine","","",""
"observation_7b","String","25","Recommended","Fives Routine - #4","","",""
"asr_f4","String","10","Recommended","Anticipation of Social Routine  Fives#4 (check all that apply)","","1 = Participant initiated fives in response to examiner's positive comment (or spontaneously); 2 = Participant anticipated next steps after the examiner initiated (e.g. initiated up high down low); 3 = Participant anticipated final step (e.g. pulling his/her hand away before examiner does); 4 = Participant responds (e.g. gives fives); 5 = No response",""
"observation_8","String","100","Recommended","Snack","","",""
"observation_8a","String","25","Recommended","Fives Routine - #5","","",""
"asr_f5","String","10","Recommended","Anticipation of Social Routine  Fives#5 (check all that apply)","","1 = Participant initiated fives in response to examiner's positive comment (or spontaneously); 2 = Participant anticipated next steps after the examiner initiated (e.g. initiated up high down low); 3 = Participant anticipated final step (e.g. pulling his/her hand away before examiner does); 4 = Participant responds (e.g. gives fives); 5 = No response",""
"codinga_olang_a","Integer","","Recommended","Overall Level of Non-echoed Language","0::5;7;8;9;999","ADOS-1 (2001): 0 = Regular use of utterances with two or more words. 1 = Occasional phrases only; mostly single words. 2 = Recognizable single words only; must use at least five different words during session. 3 = At least one word or word approximation, but fewer than five words used during session. 8 = No words or word approximations.; ADOS-2 (2012): 0 = Non-echoed phrase speech of three or more words per utterance; some grammatical markings, such as plural or tense. 1 = Speech is primarily two- or three-word utterances, with minimal or no grammatical markings. 2 = Occasional phrases only; mostly single words. 3 = Recognizable single words or word approximations only; must use at least five different words during session. 4 = At least one word or word approximation, but fewer than five words used during session. 5 = No spontaneous or echoed use of spoken words or word approximations.  7  = All speech is echoed (immediate or delayed), with or without communicative intent. 8 = No words or word approximations. 9 = N/A.; ADAPTED ADOS: Same as 0 to 7 for ADOS-2 above.",""
"langcom_2a","Integer","","Recommended","Use of Non-Vocal Language or Alternative/Augmentative Communication. Sign Language","0;1;8","0 = Sign Language; 5+ signs with at least 2 used more than once . 1 = Intentional use of at least one sign. 8 = No intentional use of non-vocal language",""
"langcom_2a1","Integer","","Recommended","Number of Signs Used","0::11","0 = No signs (item 2a should be coded 8); 1 to 10 = Number of different signs used in the box; 11 = More than 10 signs used",""
"signs_used","String","50","Recommended","Specify signs used","","",""
"langcom_2a2","Integer","","Recommended","Frequency of Use of Most Frequently Used Sign","0::2;8","0 = The sign was used 5 or more times during the session. 1 = The sign was used 3-4 times during the session. 2 = The sign was used 1-2 times during the session. 8 = No intentional use of signs.",""
"langcom_2b","Integer","","Recommended","Picture System or Other Alternative/Augmentative Communication System","0::3;8","0 = Picture Exchange Communication System (PECS) or other visual system intentionally used to express 3 or more different ideas or requests at least one used more than once. 1 = Picture Exchange Communication System (PECS) or other visual system intentionally used at least once. 2 = Other alternative/augmentative communication system. 3 = Participant uses writing as an alternative/augmentative mode of communication (e.g. writes or types notes). 8 = No intentional use of alternative/augmentative communication systems",""
"aac_used","String","50","Recommended","Specify AAC System used","","",""
