"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"aaspire_respondent","Integer","","Recommended","AASPIRE Participant Type / Version Administered","1::3","1= Direct Report (DR); 2= Direct Report - Supported (DR-S); 3= Caregiver Report (CR)",""
"disch_diagnosed","Integer","","Recommended","Has a medical or educational professional (e.g., a doctor, psychologist, psychiatrist, nurse practitioner, developmental pediatrician, licensed clinical social worker, or licensed therapist) diagnosed (Direct Report: you / Caregiver Report: them) with an autism spectrum condition? Autism spectrum conditions include autism spectrum disorder, autistic disorder, Asperger's disorder, and pervasive developmental disability - not otherwise specified.","0::3","0= No; 1= Yes; 2= No, but (Direct Report: I / Caregiver Report: they) identify as autistic, on the autism spectrum, or as a person with autism; 3= I do not know",""
"disch_diagnosis_age","Integer","","Recommended","How old were (Direct Report: you / Caregiver Report: they) when (you/they) were first diagnosed?","1::10","1= Younger than 5; 2= 5 - 10; 3= 10 - 17; 4= 18 - 24; 5= 25 - 30; 6= 31 - 40; 7= 41 or older; 8= I am not sure, but it was as a child (less than 18 years of age); 9= I am not sure, but it was as an adult (18 years of age or older); 10= I do not know",""
"disch_adhd","Integer","","Recommended","Has a medical or educational professional diagnosed (Direct Report: you / Caregiver Report: them) with attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?","0::3","0= No; 1= Yes; 2= No, but I am pretty sure that (Direct Report: I / Caregiver Report: they) have ADHD or ADD; 3= I do not know",""
"disch_deaf","Integer","","Recommended","Are (Direct Report: you / Caregiver Report: they) deaf or do (you/they) have serious difficulty hearing?","0;1","0= No; 1= Yes",""
"disch_blind","Integer","","Recommended","Are (Direct Report: you / Caregiver Report: they) blind or do (you/they) have serious difficulty seeing, even when wearing glasses?","0;1","0= No; 1= Yes",""
"disch_walking","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) have serious difficulty walking or climbing stairs?","0;1","0= No; 1= Yes",""
"disch_idd","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) have an intellectual disability (ID)?","0;1","0= No; 1= Yes",""
"disch_learndis","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) have a different learning disability, such as dyslexia?","0;1","0= No; 1= Yes",""
"disch_adls","Integer","","Recommended","How often do (Direct Report: you / Caregiver Report: they) need support to do any of (your/their) basic self-care activities such as eating, dressing, bathing, going to the bathroom, or brushing (your/their) teeth?","1::3","1= Always or often; 2= Sometimes; 3= Rarely or never",""
"disch_adl_support","Integer","","Recommended","How often do (Direct Report: you get / Caregiver Report: you think they get) the support (you/they) need to do (your/their) basic self-care activities? (e.g., eating, dressing, bathing, going to the bathroom, or brushing your/their teeth)","1::3","1= Always or often; 2= Sometimes; 3= Rarely or never",""
"disch_errands","Integer","","Recommended","How often do (Direct Report: you / Caregiver Report: they) need support to do activities such as cooking, cleaning, shopping, managing money, getting around in the community, or keeping appointments?","1::3","1= Always or often; 2= Sometimes; 3= Rarely or never",""
"disch_errands_support","Integer","","Recommended","How often do (Direct Report: you get / Caregiver Report: you think they get) the support (you/they) need to do activities such as cooking, shopping, managing money, getting around in the community, or keeping appointments?","1::3","1= Always or often; 2= Sometimes; 3= Rarely or never",""
"disch_ssi","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) currently get ANY type of social security (such as SSI, SSDI, survivor benefits etc.)?","0::2","0= No; 1= Yes; 2= I do not know",""
"disch_dds","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) currently get developmental disability services? These are for people with developmental disabilities including autism, intellectual disability, cerebral palsy, epilepsy, and other related conditions. They usually give (you/them) a case manager, a personal agent (PA), or service coordinator. Examples of things DD services could give (you/them) or pay for might include case management/having a case manager, program planning to develop an Individual Program Plan, evaluations, help getting connected to other services, work programs, transportation, residential services, nursing/home aid services, behavioral intervention, respite)","0::2","0= No; 1= Yes; 2= I do not know",""
"ssu_employ_services","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) currently get vocational rehabilitation or other employment support services?","0::2","0= No; 1= Yes; 2= I do not know",""
"aaspire_gothelp","Integer","","Recommended","(Direct Report) Did you get any help while answering the questions in this section of the survey?","0;1","0= No; 1= Yes","disch_gothelp"
"aaspire_knd_hlp__1","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): I did not get any help","0;1","0= No/Unchecked; 1= Yes/Checked",""
"aaspire_knd_hlp__2","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me use a computer, smartphone, or other device (for example, they clicked on the answers I chose).","0;1","0= No/Unchecked; 1= Yes/Checked","disch_help___2"
"aaspire_knd_hlp__3","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone read the survey to me.","0;1","0= No/Unchecked; 1= Yes/Checked","disch_help___3"
"aaspire_knd_hlp__4","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me understand what the questions or answers options meant.","0;1","0= No/Unchecked; 1= Yes/Checked","disch_help___4"
"aaspire_knd_hlp__5","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me decide how to answer the questions on the survey.","0;1","0= No/Unchecked; 1= Yes/Checked","disch_help___5"
"aaspire_knd_hlp__6","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): I got some other type of help to answer the questions.","0;1","0= No/Unchecked; 1= Yes/Checked","disch_help___6"
"aaspire_knd_hlp__7","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone answered the questions for me, without my input.","0;1","0= No/Unchecked; 1= Yes/Checked","disch_help___7"
"aaspire_know__1","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): They told me (in whatever mode they communicate)","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___1"
"aaspire_know__2","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I have observed the action, behavior, or event","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___2"
"aaspire_know__3","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I can interpret their behaviors and/or vocalizations","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___3"
"aaspire_know__4","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): Someone else told me","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___4"
"aaspire_know__5","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I feel like I can guess because I have known them for a long time","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___5"
"aaspire_know__6","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I feel like I can guess because I spend a lot of time with them","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___6"
"aaspire_know__7","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): Other","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___7"
"aaspire_know__8","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): None of the above","0;1","0= No/Unchecked; 1= Yes/Checked","disch_know___8"
"aaspire_know_other","String","4000","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): Other, specify","","","disch_know_other"
"aaspire_confident","Integer","","Recommended","(Caregiver Report) On a scale of 0 to 10, how confident are you about your responses?","0::10","0= Not at all confident; 10= Totally confident","disch_confident"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","disch_comments"
"disch_dx18","Integer","","Recommended","Dichotomous Childhood/Adulthood Age of Autism Formal Diagnosis Variable","1;2","1= Diagnosed as a child (less than 18 years); 2= Diagnosed as an adult (greater than 17 years); calculated from disch_diagnosis_age.",""
