"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"aaspire_respondent","Integer","","Recommended","AASPIRE Participant Type / Version Administered","1::3","1= Direct Report (DR); 2= Direct Report - Supported (DR-S); 3= Caregiver Report (CR)",""
"ssu_dds_gov","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) currently get developmental disability services? These are for people with developmental disabilities including autism, intellectual disability, cerebral palsy, epilepsy, and other related conditions. They usually give (you/them) a case manager, a personal agent (PA), or service coordinator. Examples of things DD services could give (you/them) or pay for might include case management/having a case manager, program planning to develop an Individual Program Plan, evaluations, help getting connected to other services, work programs, transportation, residential services, nursing/home aid services, behavioral intervention, respite)","0::2","0= No; 1= Yes; 2= I do not know",""
"ssu_dds_coordserv","Integer","","Recommended","Do (Direct Report: you / Caregiver Report: they) get most of (your/their) developmental disability services from the same agency that provides (your/their) service coordination?","0::2","0= No; 1= Yes; 2= I do not know",""
"ssu_dds_agency","String","4000","Recommended","What is the name of the agency or program that (Direct Report: you get most of your / Caregiver Report: they get most of their) developmental disability services from?","","",""
"ssu_dds_private___1","Integer","","Recommended","Where do (Direct Report: you / Caregiver Report: they) get developmental disability services? (Check all that apply): A government agency (e.g., your/their county developmental disability program or a regional center)","0;1","0= No; 1= Yes",""
"ssu_dds_private___2","Integer","","Recommended","Where do (Direct Report: you / Caregiver Report: they) get developmental disability services? (Check all that apply): A private organization, a non-profit, or another non-government agency (e.g., the ARC or a program you/they and your/their family pays for)","0;1","0= No; 1= Yes",""
"ssu_dds_private___3","Integer","","Recommended","Where do (Direct Report: you / Caregiver Report: they) get developmental disability services? (Check all that apply): Somewhere else","0;1","0= No; 1= Yes",""
"ssu_dds_private___4","Integer","","Recommended","Where do (Direct Report: you / Caregiver Report: they) get developmental disability services? (Check all that apply): I do not know","0;1","0= No; 1= Yes",""
"ssu_dds_need","Integer","","Recommended","Do (Direct Report: you need / Caregiver Report: you think they need) developmental disability services?","0::5","0= No; 1= Yes, and (Direct Report: I am / Caregiver Report: they are) on a waitlist to get services; 2= Yes, but (I am/they are) not eligible for services; 3= Yes, but the services (I/they) need are not available; 4= Yes, but (I/they) have not been able to get them for another reason; 5= I do not know",""
"aaspire_gothelp","Integer","","Recommended","(Direct Report) Did you get any help while answering the questions in this section of the survey?","0;1","0= No; 1= Yes","ssu_gothelp"
"aaspire_knd_hlp__1","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): I did not get any help","0;1","0= No/Unchecked; 1= Yes/Checked",""
"aaspire_knd_hlp__2","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me use a computer, smartphone, or other device (for example, they clicked on the answers I chose).","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_knd_help___2"
"aaspire_knd_hlp__3","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone read the survey to me.","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_knd_help___3"
"aaspire_knd_hlp__4","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me understand what the questions or answers options meant.","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_knd_help___4"
"aaspire_knd_hlp__5","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone helped me decide how to answer the questions on the survey.","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_knd_help___5"
"aaspire_knd_hlp__6","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): I got some other type of help to answer the questions.","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_knd_help___6"
"aaspire_knd_hlp__7","Integer","","Recommended","(Direct Report) What kind of help did you get while answering the questions in this section of the survey? (Check all that apply): Someone answered the questions for me, without my input.","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_knd_help___7"
"aaspire_know__1","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): They told me (in whatever mode they communicate)","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___1"
"aaspire_know__2","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I have observed the action, behavior, or event","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___2"
"aaspire_know__3","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I can interpret their behaviors and/or vocalizations","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___3"
"aaspire_know__4","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): Someone else told me","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___4"
"aaspire_know__5","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I feel like I can guess because I have known them for a long time","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___5"
"aaspire_know__6","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): I feel like I can guess because I spend a lot of time with them","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___6"
"aaspire_know__7","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): Other","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___7"
"aaspire_know__8","Integer","","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): None of the above","0;1","0= No/Unchecked; 1= Yes/Checked","ssu_know___8"
"aaspire_know_other","String","4000","Recommended","(Caregiver Report) How do you know this information? (Check all that apply): Other, specify","","","ssu_know_other"
"aaspire_confident","Integer","","Recommended","(Caregiver Report) On a scale of 0 to 10, how confident are you about your responses?","0::10","0= Not at all confident; 10= Totally confident","ssu_confident"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","ssu_comments"
"ssu_getserv","Integer","","Recommended","Calculated Variable for Disability Service Need and Use","1::4","1= Receives disability services; 2= Needs but does not receive disability services; 3= Neither needs nor receives disability services; 4= I do not know or other; Calculated from ssu_dds_gov, ss_dds_need.",""
