"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","e.g., Pre-Task, Post-Intervention",""
"midabwdp976","Float","","Recommended","Mean beta weight for MID anticipation of large reward versus small reward contrast in right hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.front.inf.orbital.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gfrontinforbitalrh"
"midabwdp977","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere triangular part of the inferior frontal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.front.inf.triangul.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gfrontinftriangulrh"
"midabwdp978","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle frontal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.front.middle.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gfrontmiddlerh"
"midabwdp979","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior frontal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.front.sup.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gfrontsuprh"
"midabwdp980","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere long insular gyrus and central sulcus of the insula","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_ginslgandscentinsrh"
"midabwdp981","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere short insular gyri","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.insular.short.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_ginsularshortrh"
"midabwdp982","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle occipital gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.occipital.middle.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_goccipitalmiddlerh"
"midabwdp983","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior occipital gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.occipital.sup.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_goccipitalsuprh"
"midabwdp984","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lateral occipito-temporal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_goctemplatfusiforrh"
"midabwdp985","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lingual gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_goctempmedlingualrh"
"midabwdp986","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere parahippocampal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_goctempmedparahiprh"
"midabwdp987","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere orbital gyri","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.orbital.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gorbitalrh"
"midabwdp988","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere angular gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.pariet.inf.angular.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gparietinfangularrh"
"midabwdp989","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere supramarginal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gparietinfsupramarrh"
"midabwdp990","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior parietal lobule","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.parietal.sup.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gparietalsuprh"
"midabwdp991","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere postcentral gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.postcentral.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gpostcentralrh"
"midabwdp992","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere precentral gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.precentral.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gprecentralrh"
"midabwdp993","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere precuneus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.precuneus.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gprecuneusrh"
"midabwdp994","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere gyrus rectus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.rectus.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_grectusrh"
"midabwdp995","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere subcallosal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.subcallosal.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gsubcallosalrh"
"midabwdp996","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere anterior transverse temporal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.temp.sup.g.t.transv.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gtempsupgttransvrh"
"midabwdp997","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lateral aspect of the superior temporal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.temp.sup.lateral.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gtempsuplateralrh"
"midabwdp998","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere planum polare of the superior temporal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.temp.sup.plan.polar.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gtempsupplanpolarrh"
"midabwdp999","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere planum temporale","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.temp.sup.plan.tempo.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gtempsupplantemporh"
"midabwdp1000","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere inferior temporal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.temporal.inf.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gtemporalinfrh"
"midabwdp1001","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle temporal gyrus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_g.temporal.middle.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_gtemporalmiddlerh"
"midabwdp1002","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere horizontal ramus of the anterior segment of the lateral sulcus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_lat.fis.ant.horizont.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_latfisanthorizontrh"
"midabwdp1003","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere vertical ramus of the anterior segment of the lateral sulcus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_lat.fis.ant.vertical.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_latfisantverticalrh"
"midabwdp1004","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere posterior ramus of the lateral sulcus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_lat.fis.post.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_latfispostrh"
"midabwdp1005","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere occipital pole","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_pole.occipital.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_poleoccipitalrh"
"midabwdp1006","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere temporal pole","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_pole.temporal.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_poletemporalrh"
"midabwdp1007","Float","","Recommended","Beta weight for MID all anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere calcarine sulcus","","","tfmri_mid_all_antic.large.vs.small.reward_beta_cort.destrieux_s.calcarine.rh,tfmri_mid_all_anticlargevssmallreward_beta_cortdestrieux_scalcarinerh"
