"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"restdata_04498","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Caudate_R of the AAL3v1 atlas.","","","ofclat_l_to_caudate_r"
"restdata_04499","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Putamen_L of the AAL3v1 atlas.","","","ofclat_l_to_putamen_l"
"restdata_04500","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Putamen_R of the AAL3v1 atlas.","","","ofclat_l_to_putamen_r"
"restdata_04501","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Pallidum_L of the AAL3v1 atlas.","","","ofclat_l_to_pallidum_l"
"restdata_04502","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Pallidum_R of the AAL3v1 atlas.","","","ofclat_l_to_pallidum_r"
"restdata_04503","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Heschl_L of the AAL3v1 atlas.","","","ofclat_l_to_heschl_l"
"restdata_04504","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Heschl_R of the AAL3v1 atlas.","","","ofclat_l_to_heschl_r"
"restdata_04505","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Sup_L of the AAL3v1 atlas.","","","ofclat_l_to_temporal_sup_l"
"restdata_04506","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Sup_R of the AAL3v1 atlas.","","","ofclat_l_to_temporal_sup_r"
"restdata_04507","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Pole_Sup_L of the AAL3v1 atlas.","","","ofclat_l_to_temporal_pole_sup_l"
"restdata_04508","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Pole_Sup_R of the AAL3v1 atlas.","","","ofclat_l_to_temporal_pole_sup_r"
"restdata_04509","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Mid_L of the AAL3v1 atlas.","","","ofclat_l_to_temporal_mid_l"
"restdata_04510","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Mid_R of the AAL3v1 atlas.","","","ofclat_l_to_temporal_mid_r"
"restdata_04511","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Pole_Mid_L of the AAL3v1 atlas.","","","ofclat_l_to_temporal_pole_mid_l"
"restdata_04512","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Pole_Mid_R of the AAL3v1 atlas.","","","ofclat_l_to_temporal_pole_mid_r"
"restdata_04513","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Inf_L of the AAL3v1 atlas.","","","ofclat_l_to_temporal_inf_l"
"restdata_04514","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Temporal_Inf_R of the AAL3v1 atlas.","","","ofclat_l_to_temporal_inf_r"
"restdata_04515","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_Crus1_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_crus1_l"
"restdata_04516","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_Crus1_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_crus1_r"
"restdata_04517","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_Crus2_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_crus2_l"
"restdata_04518","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_Crus2_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_crus2_r"
"restdata_04519","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_3_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_3_l"
"restdata_04520","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_3_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_3_r"
"restdata_04521","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_4_5_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_4_5_l"
"restdata_04522","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_4_5_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_4_5_r"
"restdata_04523","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_6_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_6_l"
"restdata_04524","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_6_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_6_r"
"restdata_04525","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_7b_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_7b_l"
"restdata_04526","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_7b_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_7b_r"
"restdata_04527","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_8_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_8_l"
"restdata_04528","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_8_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_8_r"
"restdata_04529","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_9_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_9_l"
"restdata_04530","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_9_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_9_r"
"restdata_04531","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_10_L of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_10_l"
"restdata_04532","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Cerebellum_10_R of the AAL3v1 atlas.","","","ofclat_l_to_cerebellum_10_r"
"restdata_04533","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Vermis_1_2 of the AAL3v1 atlas.","","","ofclat_l_to_vermis_1_2"
"restdata_04534","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Vermis_3 of the AAL3v1 atlas.","","","ofclat_l_to_vermis_3"
"restdata_04535","Float","","Recommended","Pearson correlation coefficient of mean activation between OFClat_L and Vermis_4_5 of the AAL3v1 atlas.","","","ofclat_l_to_vermis_4_5"
