"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aas1","Integer","","Recommended","Have you ever been emotionally or physically abused by your partner or someone important to you?","0;1;-999","0= No; 1= Yes; -999= Missing/unknown",""
"aas2","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone?","0;1;-999","0= No; 1= Yes; -999= Missing/unknown",""
"aas2a_01","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Husband","0;1","0= No; 1= Yes",""
"aas2a_02","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Ex-husband","0;1","0= No; 1= Yes",""
"aas2a_03","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Boyfriend","0;1","0= No; 1= Yes",""
"aas2a_04","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Stranger","0;1","0= No; 1= Yes",""
"aas2a_05","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Other","0;1","0= No; 1= Yes",""
"aas2a_06","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Multiple","0;1","0= No; 1= Yes",""
"aas2a_07","Integer","","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Missing/unknown","0;1","0= No; 1= Yes",""
"aas2b","String","20","Recommended","Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, how many number of times?","","Number of times",""
"aas3","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone?","0;1;-999","0= No; 1= Yes; -999= Missing/unknown",""
"aas3a_01","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Husband","0;1","0= No; 1= Yes",""
"aas3a_02","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Ex-husband","0;1","0= No; 1= Yes",""
"aas3a_03","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Boyfriend","0;1","0= No; 1= Yes",""
"aas3a_04","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Stranger","0;1","0= No; 1= Yes",""
"aas3a_05","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Other","0;1","0= No; 1= Yes",""
"aas3a_06","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Multiple","0;1","0= No; 1= Yes",""
"aas3a_07","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, by whom? (Check all that apply): Missing/unknown","0;1","0= No; 1= Yes",""
"aas3b","String","20","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, how many number of times?","","Number of times",""
"aas3c","String","50","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? If yes, indicate the area of injury","","",""
"aas3d","Integer","","Recommended","Since you have been pregnant, have you been hit, slapped, kicked or otherwise physically hurt by someone? Score the most severe incident to the following scale","1::6;-999","1= Threats of abuse, including use of a weapon; 2= Slapping, pushing, no injuries and/or lasting pain; 3= Punching, kicking, bruises, cuts and/or continuing pain; 4= Beaten up, severe contusions, burns, broken bones; 5= Head, internal, and/or permanent injury; 6= Use of weapon, wound from weapon; -999= Missing/unknown",""
"aas4","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities?","0;1;-999","0=  No; 1=  Yes; -999=  Missing/unknown",""
"aas4a_01","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, by whom? (Check all that apply): Husband","0;1","0= No; 1= Yes",""
"aas4a_02","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, by whom? (Check all that apply): Ex-husband","0;1","0= No; 1= Yes",""
"aas4a_03","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, by whom? (Check all that apply): Boyfriend","0;1","0= No; 1= Yes",""
"aas4a_04","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, by whom? (Check all that apply): Stranger","0;1","0= No; 1= Yes",""
"aas4a_05","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, by whom? (Check all that apply): Other","0;1","0= No; 1= Yes",""
"aas4a_06","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, by whom? (Check all that apply): Multiple","0;1","0= No; 1= Yes",""
"aas4a_07","Integer","","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, by whom? (Check all that apply): Missing/unknown","0;1","0= No; 1= Yes",""
"aas4b","String","20","Recommended","Within the past year, has anyone forced you to have sexual activities? If yes, how many number of times?","","Number of times",""
"aas5","Integer","","Recommended","Are you afraid of your partner or anyone you listed above?","0;1;-999","0=  No; 1=  Yes; -999=  Missing/unknown",""
"aas1r_01","Integer","","Recommended","Has anyone through fear, threats of violence, or physical violence ever made you engage in unwanted sexual activities? (Check all that apply): No, this has never happened to me","0;1","0= No; 1= Yes",""
"aas1r_02","Integer","","Recommended","Has anyone through fear, threats of violence, or physical violence ever made you engage in unwanted sexual activities? (Check all that apply): Yes, before my 13th birthday","0;1","0= No; 1= Yes",""
"aas1r_03","Integer","","Recommended","Has anyone through fear, threats of violence, or physical violence ever made you engage in unwanted sexual activities? (Check all that apply): Yes, between the ages of 13-17","0;1","0= No; 1= Yes",""
"aas1r_04","Integer","","Recommended","Has anyone through fear, threats of violence, or physical violence ever made you engage in unwanted sexual activities? (Check all that apply): Yes, in adulthood","0;1","0= No; 1= Yes",""
"aas1r_05","Integer","","Recommended","Has anyone through fear, threats of violence, or physical violence ever made you engage in unwanted sexual activities? (Check all that apply): Missing/unknown","0;1","0= No; 1= Yes",""
