"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"actvsm01","Integer","","Recommended","How often have you engaged in activism-related activities over the past 6 months? (e.g., rallies or walk-outs, petition-signing or letter-writing, organization membership, educating others)","0::3;888;999","0 = Not at all; 1 = Once or twice; 2 = Several times; 3 = Many times; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"actvsm02_01","Integer","","Recommended","What kinds of issues or topics has your activism been related to over the last 6 months? LGBTQ+ rights (e.g., ''don't say gay'' bills, restroom access, healthcare, sports participation)","0;1;888;999","0 = Unchecked; 1 = Checked; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"actvsm02_02","Integer","","Recommended","What kinds of issues or topics has your activism been related to over the last 6 months? Race and ethnicity (e.g., affirmative action, police violence, immigration)","0;1;888;999","0 = Unchecked; 1 = Checked; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"actvsm02_03","Integer","","Recommended","What kinds of issues or topics has your activism been related to over the last 6 months? Reproductive healthcare (e.g., abortion access, birth control)","0;1;888;999","0 = Unchecked; 1 = Checked; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"actvsm02_04","Integer","","Recommended","What kinds of issues or topics has your activism been related to over the last 6 months? Climate or environment (e.g., climate change, pollution, recycling)","0;1;888;999","0 = Unchecked; 1 = Checked; 888 = N/A: condition skipped; 999 = Missing/no answer",""
"actvsm02_77","Integer","","Recommended","What kinds of issues or topics has your activism been related to over the last 6 months? Other","0;1;888;999","0 = Unchecked; 1 = Checked; 888 = N/A: condition skipped; 999 = Missing/no answer",""
