"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"sixmo_advbeh_agenc","Integer","","Recommended","Searched the internet to find agencies and/or services to meet your child's needs?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_par","Integer","","Recommended","Talked with other parents about agencies and/or services to meet your child's needs?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_asp","Integer","","Recommended","Called adult service provider agencies to ask about eligibility and services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_train","Integer","","Recommended","Attended trainings about adult services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_docum","Integer","","Recommended","put into writing) your advocacy/communication with agencies and professionals?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_asked","Integer","","Recommended","Asked questions to professionals about services/eligbility?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_phone","Integer","","Recommended","Talked with other parents (over the phone) about agencies and/or services to meet their child's needs?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_inpers","Integer","","Recommended","Talked with other parents in person about agencies and/or services to meet their child's needs?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_facil","Integer","","Recommended","Facilitated trainings or support groups for other families about adult services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_review","Integer","","Recommended","Reviewed the records of another family to help them determine which services they are eligible for?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_comm","Integer","","Recommended","Helped another family communicate with agencies and professionals?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_visit","Integer","","Recommended","Visited the office or held meetings with legislators about disability services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_letters","Integer","","Recommended","Written letters to legislators about disability services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_media","Integer","","Recommended","Tried to get media attention (e.g., newspaper, television, radio) about disability services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_leader","Integer","","Recommended","Taken on leadership roles in national, state, or local agencies related to disability services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"sixmo_advbeh_present","Integer","","Recommended","Presented at state or national conferences about disability services?","1::5","1=Not at all; 2=A little; 3=Sometimes; 4=Often; 5=Very often",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, Morning, At Bedtime",""
