"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ase_01","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too light","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_02","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too dark","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_03","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too noisy","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_04","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too quiet","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_05","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too warm","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_06","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too cool","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_07","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too humid","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_08","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..has an uncomfortable smell","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_09","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is uncomfortable because of pillows or blankets","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_10","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too firm","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_11","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is too soft","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_12","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..is uncomfortable for another reason","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
"ase_13","Integer","","Recommended","I have difficulty sleeping because the place where I sleep..does not feel safe","0::3","0= Strongly Agree; 1= Agree; 2= Disagree; 3= Strongly Disagree",""
