"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ashs_1","Integer","","Recommended","During the day I take a nap that lasts more than 1 hour","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_2","Integer","","Recommended","During the day I play or exercise for more than 20 minutes","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_3","Integer","","Recommended","After 6:00 in the evening I have drinks with caffeine (for example: cola, root beer, iced tea, coffee).","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_4","Integer","","Recommended","After 6:00 in the evening I take a nap","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_5","Integer","","Recommended","After 6:00 in the evening I do some kind of physical activity (for example: exercise, play sports)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_6","Integer","","Recommended","After 6:00 in the evening I smoke or chew tobacco","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_7","Integer","","Recommended","After 6:00 in the evening I drink beer (or some other drinks with alcohol)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_8","Integer","","Recommended","During the 1 hour before bedtime I do things that make me feel calm or relaxed (for example: taking a hot bath/shower, listening to soft music, reading)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_9","Integer","","Recommended","During the 1 hour before bedtime things happen that make me feel strong emotions (sadness, anger, excitement)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_10","Integer","","Recommended","During the 1 hour before bedtime I am very active (for example: playing outside, running, wrestling)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_11","Integer","","Recommended","During the 1 hour before bedtime I do things that make me feel very awake (for example: playing video games, watching TV, talking on the telephone)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_12","Integer","","Recommended","During the 1 hour before bedtime I drink more than 4 glasses of water (or some other liquid)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_13","Integer","","Recommended","I go to bed and do things in my bed that keep me awake (for example: watching TV, reading)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_14","Integer","","Recommended","I go to bed and think about things I need to do","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_15","Integer","","Recommended","I go to bed feeling upset","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_16","Integer","","Recommended","I go to bed and replay the day's events over and over in my mind","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_17","Integer","","Recommended","I go to bed and worry about things happening at home or at school","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_18","Integer","","Recommended","I go to bed with a stomachache","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_19","Integer","","Recommended","I go to bed feeling hungry","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_20","Integer","","Recommended","I fall asleep while listening to loud music","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_21","Integer","","Recommended","I fall asleep while watching tv","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_22","Integer","","Recommended","I fall asleep in a brightly lit room (for example: the overhead light is on)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_23","Integer","","Recommended","I fall asleep in one place and then move to another place during the night","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_24","Integer","","Recommended","I fall asleep in a room that feels too hot or too cold","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_25","Integer","","Recommended","I sleep in a home where someone smokes cigarettes, cigars, or a pipe","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_26","Integer","","Recommended","I get too little sleep","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_27","Integer","","Recommended","I use a bedtime routine (for example: bathing, brushing teeth, reading)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_28","Integer","","Recommended","I use my bed for things other than sleep (for example: talking on the telephone, watching TV, playing video games, doing homework)","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_29","Integer","","Recommended","I check my clock several times during the night","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_30","Integer","","Recommended","During the school week, I stay up more than 1 hour past my usual bedtime","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_30_1","String","20","Recommended","My usual school night bedtime is:","","",""
"ashs_31","Integer","","Recommended","During the school week, I ''sleep in'' more than 1 hour past my usual wake time","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_31_1","String","20","Recommended","During the school week-My usual wake time is:","","",""
"ashs_32","Integer","","Recommended","On weekends, I stay up more than 1 hour past my usual bedtime","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_32_1","String","20","Recommended","My usual weekend bedtime is:","","",""
"ashs_33","Integer","","Recommended","On weekends, I ''sleep in'' more than 1 hour past my usual wake time","1::6;999","1=Always; 2=Frequently, if not Always; 3=Quite Often; 4= Sometimes; 5=Once in a while; 6=Never; 999=Missing",""
"ashs_33_1","String","20","Recommended","On weekends-My usual wake time is:","","",""
