"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"aggr_beliefs1","Integer","","Recommended","Suppose a boy says something bad to another boy, John. Do you think its OK for John to scream at him?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs2","Integer","","Recommended","Suppose a boy says something bad to another boy, John. Do you think its OK for John to hit him?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs4","Integer","","Recommended","Suppose a boy says something bad to a girl. Do you think its wrong for the girl to scream at him?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs5","Integer","","Recommended","Suppose a boy says something bad to a girl. Do you think its wrong for the girl to hit him?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs7","Integer","","Recommended","Suppose a girl says something bad to another girl, Mary. Do you think its OK for Mary to scream at her?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs8","Integer","","Recommended","Suppose a girl says something bad to another girl, Mary. Do you think its OK for Mary to hit her?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs10","Integer","","Recommended","Suppose a girl says something bad to a boy. Do you think its wrong for the boy to scream at her?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs11","Integer","","Recommended","Suppose a girl says something bad to a boy. Do you think its wrong for the boy to hit her?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs13","Integer","","Recommended","Suppose a boy hits another boy, John? Do you think its wrong for John to hit him back?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs15","Integer","","Recommended","Suppose a boy hits a girl. Do you think its OK for the girl to hit him back?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs17","Integer","","Recommended","Suppose a girl hits another girl, Mary. Do you think its wrong for Mary to hit her back?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs19","Integer","","Recommended","Suppose a girl hits a boy? Do you think its OK for the boy to hit her back?","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs21","Integer","","Recommended","In general, it is wrong to hit other people.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs22","Integer","","Recommended","If you're angry, it is okay to say mean things to other people.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs23","Integer","","Recommended","In general, it is OK to yell at others and say bad things.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs24","Integer","","Recommended","It is usually OK to push or shove other people around if you're mad.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs25","Integer","","Recommended","It is wrong to insult other people.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs26","Integer","","Recommended","It is wrong to take it out on others by saying mean things when you're mad.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs27","Integer","","Recommended","It is generally wrong to get into physical fights with others.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
"aggr_beliefs28","Integer","","Recommended","In general, it is OK to take your anger out on others by using physical force.","0::3;98;99","0=Its really wrong; 1=Its sort of wrong; 2=Its sort of OK; 3=Its perfectly OK; 98=Don't Know; 99=Refused",""
