"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"alc_knowledge01","Integer","","Recommended","How many standard alcoholic drinks would be considered a binge for a MALE if consumed during one occasion (about 2 hours)?","1::5","1= 2 drinks; 2= 3 drinks; 3= 4 drinks; 4= 5 drinks; 5= 6 or more drinks",""
"alc_knowledge02","Integer","","Recommended","How many standard alcoholic drinks would be considered a binge for a FEMALE if consumed during one occasion (about 2 hours)?","1::5","1= 2 drinks; 2= 3 drinks; 3= 4 drinks; 4= 5 drinks; 5= 6 or more drinks",""
"alc_knowledge03","Integer","","Recommended","How many ounces of table wine is considered a standard drink?","1::5","1= 2 ounces; 2= 3 ounces; 3= 4 ounces; 4= 5 ounces; 5= 6 or more ounces",""
"alc_knowledge04","Integer","","Recommended","How many ounces is considered a standard drink of regular beer?","1::5","1= 6 ounces; 2= 8 ounces; 3= 10 ounces; 4= 12 ounces; 5= 14 or more ounces",""
"alc_knowledge05","Integer","","Recommended","Which of these statements are true about alcohol and health? - Alcohol increases Rapid Eye Movement (REM) Sleep, the sleep stage where we dream","1;2","1= True; 2 = False",""
"alc_knowledge06","Integer","","Recommended","Which of these statements are true about alcohol and health? - Alcohol can improve nighttime breathing problems like sleep apnea by helping you to sleep deeper","1;2","1= True; 2 = False",""
"alc_knowledge07","Integer","","Recommended","Which of these statements are true about alcohol and health? - Alcohol is classified as a Group 1 carcinogen and is related to the development of several cancer types","1;2","1= True; 2 = False",""
"alc_knowledge08","Integer","","Recommended","Which of these statements are true about alcohol and health? - Alcohol decreases dehydration","1;2","1= True; 2 = False",""
"know_cancer","Integer","","Recommended","How does having 2 alcoholic drinks a day affect the risk of the following health problems? Cancer","1::4","1= Decreases risk; 2= No effect; 3= Increases risk; 4= Not sure",""
"know_scar","Integer","","Recommended","How does having 2 alcoholic drinks a day affect the risk of the following health problems? Scarring of the liver","1::4","1= Decreases risk; 2= No effect; 3= Increases risk; 4= Not sure",""
"know_hbp","Integer","","Recommended","How does having 2 alcoholic drinks a day affect the risk of the following health problems? High blood pressure","1::4","1= Decreases risk; 2= No effect; 3= Increases risk; 4= Not sure",""
"like_beer","Integer","","Recommended","What is the chance that drinking 2 beers a day will cause you to have health problems one day?","1::5","1= No chance; 2= Very low chance; 3= Low chance; 4= Moderate chance; 5= High chance",""
"like_wine","Integer","","Recommended","What is the chance that drinking 2 glasses of wine a day will cause you to have health problems one day?","1::5","1= No chance; 2= Very low chance; 3= Low chance; 4= Moderate chance; 5= High chance",""
"line_selt","Integer","","Recommended","What is the chance that drinking 2 hard seltzers a day will cause you to have health problems one day?","1::5","1= No chance; 2= Very low chance; 3= Low chance; 4= Moderate chance; 5= High chance",""
"like_liq","Integer","","Recommended","What is the chance that drinking 2 shots of liquor a day will cause you to have health problems one day? A shot of liquor includes spirits like tequila, vodka, and whiskey that could be drunk on its own or in a cocktail.","1::5","1= No chance; 2= Very low chance; 3= Low chance; 4= Moderate chance; 5= High chance",""
"health_beer","Integer","","Recommended","How healthy or unhealthy is beer?","1::5","1= Very unhealthy; 2= Somewhat unhealthy; 3= Neither healthy nor unhealthy; 4= Somewhat healthy; 5= Very healthy",""
"health_wine","Integer","","Recommended","How healthy or unhealthy is wine?","1::5","1= Very unhealthy; 2= Somewhat unhealthy; 3= Neither healthy nor unhealthy; 4= Somewhat healthy; 5= Very healthy",""
"health_liq","Integer","","Recommended","How healthy or unhealthy is liquor?","1::5","1= Very unhealthy; 2= Somewhat unhealthy; 3= Neither healthy nor unhealthy; 4= Somewhat healthy; 5= Very healthy",""
"healht_selt","Integer","","Recommended","How healthy or unhealthy is seltzer?","1::5","1= Very unhealthy; 2= Somewhat unhealthy; 3= Neither healthy nor unhealthy; 4= Somewhat healthy; 5= Very healthy",""
"alc_severity","Integer","","Recommended","How much would getting alcohol-related health problems affect your life?","1::5","1= Not at all; 2= Very little; 3= Somewhat; 4= Quite a bit; 5= A great deal",""
"response_ef","Integer","","Recommended","How much would cutting back on drinking alcohol lower your chances of getting alcohol-related health problems?","1::5","1= Not at all; 2= Very little; 3= Somewhat; 4= Quite a bit; 5= A great deal",""
"concern_life","Integer","","Recommended","How concerned are you about developing alcohol-related health problems in your lifetime?","1::5","1= Not at all concerned; 2= A little concerned; 3= Somewhat concerned; 4= Very concerned; 5= Extremely concerned",""
"concern_easy","Integer","","Recommended","How easy is it for you to imagine yourself developing alcohol-related health problems in your lifetime?","1::5","1= Not at all easy; 2= A little easy; 3= Somewhat easy; 4= Very easy; 5= Extremely easy",""
"concern_vuln","Integer","","Recommended","How vulnerable do you feel to alcohol-related health problems?","1::5","1= Not at all vulnerable; 2= A little vulnerable; 3= Somewhat vulnerable; 4= Very vulnerable; 5= Extremely vulnerable",""
