"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"interview_location","String","10","Recommended","Location context of where alcohol measure was taken","Lab;EMA","",""
"peak_brac","Float","","Recommended","Highest breath alcohol concentration reading for the day","","",""
"peak_tac","Float","","Recommended","Highest raw transdermal alcohol sensor reading for the day","","",""
"brac_t60","Float","","Recommended","Breath alcohol concentration 60 minutes after alcohol administration","","",""
"brac_t75","Float","","Recommended","Breath alcohol concentration 75 minutes after alcohol administration","","",""
"brac_t105","Float","","Recommended","Breath alcohol concentration 105 minutes after alcohol administration","","",""
"brac_t135","Float","","Recommended","Breath alcohol concentration 135 minutes after alcohol administration","","",""
"brac_t180","Float","","Recommended","Breath alcohol concentration 180 minutes after alcohol administration","","",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"brac_arrival","Float","","Recommended","Breath alcohol concentration at arrival to study visit","","",""
"brac_baseline","Float","","Recommended","Breath alcohol concentration prior to alcohol administration","","",""
"brac_t10","Float","","Recommended","Breath alcohol concentration 10 minutes after alcohol administration","","",""
"brac_t20","Float","","Recommended","Breath alcohol concentration 20 minutes after alcohol administration","","",""
"brac_t30","Float","","Recommended","Breath alcohol concentration 30 minutes after alcohol administration","","",""
"brac_t45","Float","","Recommended","Breath alcohol concentration 45 minutes after alcohol administration","","",""
