"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"forgo_stop","Float","","Recommended","In the last 7 days, how often have you stopped yourself from having an alcoholic drink because you wanted to cut back?","0;1.5;3.5;7;10","0=Never; 1.5=1-2 times; 3.5=3-4 times; 7=5-9 times; 10=10 or more times",""
"forgo_unfin","Float","","Recommended","In the last 7 days, how often have you decided not to finish an alcoholic drink because you wanted to cut back?","0;1.5;3.5;7;10","0=Never; 1.5=1-2 times; 3.5=3-4 times; 7=5-9 times; 10=10 or more times",""
"forgo_small","Float","","Recommended","In the last 7 days, how often did you choose a smaller size of an alcoholic drink because you wanted to cut back?","0;1.5;3.5;7;10","0=Never; 1.5=1-2 times; 3.5=3-4 times; 7=5-9 times; 10=10 or more times",""
"forgo_abv","Float","","Recommended","In the last 7 days, how often did you choose an alcoholic drink with less alcohol in it because you wanted to cut back?","0;1.5;3.5;7;10","0=Never; 1.5=1-2 times; 3.5=3-4 times; 7=5-9 times; 10=10 or more times",""
"forgo_na","Float","","Recommended","In the last 7 days, how often did you choose a non-alcoholic drink instead of alcohol because you wanted to cut back?","0;1.5;3.5;7;10","0=Never; 1.5=1-2 times; 3.5=3-4 times; 7=5-9 times; 10=10 or more times",""
"limit_interest_m","Integer","","Recommended","How interested are you in drinking no more than 14 drinks in the next week?","1::5","1=Not at all interested; 2=A little interested; 3=Somewhat interested; 4=Very interested; 5=Extremely interested",""
"limit_interest_f","Integer","","Recommended","How interested are you in drinking no more than 7 drinks in the next week?","1::5","1=Not at all interested; 2=A little interested; 3=Somewhat interested; 4=Very interested; 5=Extremely interested",""
"limit_plan_m","Integer","","Recommended","How much do you plan to have no more than 14 drinks in the next week?","1::5","1=Not at all; 2=Very little; 3=Somewhat; 4=Quite a bit; 5=A great deal",""
"limit_plan_f","Integer","","Recommended","How much do you plan to have no more than 7 drinks in the next week?","1::5","1=Not at all; 2=Very little; 3=Somewhat; 4=Quite a bit; 5=A great deal",""
"limit_likely_m","Integer","","Recommended","How likely are you to have no more than 14 drinks in the next week?","1::5","1=Not at all likely; 2=A little likely; 3=Somewhat likely; 4=Very likely; 5=Extremely likely",""
"limit_likely_f","Integer","","Recommended","How likely are you to have no more than 7 drinks in the next week?","1::5","1=Not at all likely; 2=A little likely; 3=Somewhat likely; 4=Very likely; 5=Extremely likely",""
"sub_cig","Integer","","Recommended","In the last 7 days, on how many days did you do the following things instead of drinking alcohol? Smoked cigarettes","0::7","Number of days",""
"sub_vape","Integer","","Recommended","In the last 7 days, on how many days did you do the following things instead of drinking alcohol? Vaped","0::7","Number of days",""
"sub_tob","Integer","","Recommended","In the last 7 days, on how many days did you do the following things instead of drinking alcohol? Used other nicotine or tobacco products, like Zyn, chewing tobacco, cigars, or cigarillos","0::7","Number of days",""
"sub_cann","Integer","","Recommended","In the last 7 days, on how many days did you do the following things instead of drinking alcohol? Used cannabis or marijuana","0::7","Number of days",""
"sub_cbd","Integer","","Recommended","In the last 7 days, on how many days did you do the following things instead of drinking alcohol? Used CBD","0::7","Number of days",""
"sub_drinkcbd","Integer","","Recommended","In the last 7 days, on how many days did you drink the following things instead of drinking alcohol? Non-alcoholic drinks with CBD or THC in them","0::7","Number of days",""
"sub_na","Integer","","Recommended","In the last 7 days, on how many days did you drink the following things instead of drinking alcohol? Non-alcoholic drinks meant to taste like alcohol, without CBD or THC (For example, non-alcoholic beer, zero alcohol wine, or alcohol-free spirits)","0::7","Number of days",""
"sub_sugar","Integer","","Recommended","In the last 7 days, on how many days did you drink the following things instead of drinking alcohol? Sugary drinks (For example, soda and sports drinks and energy drinks with added sugar)","0::7","Number of days",""
"sub_diet","Integer","","Recommended","In the last 7 days, on how many days did you drink the following things instead of drinking alcohol? Diet drinks (For example, diet Coke, diet Gatorade, or diet energy drinks)","0::7","Number of days",""
"sub_coffee","Integer","","Recommended","In the last 7 days, on how many days did you drink the following things instead of drinking alcohol? Coffee or tea","0::7","Number of days",""
"sub_water","Integer","","Recommended","In the last 7 days, on how many days did you drink the following things instead of drinking alcohol? Water or sparkling water","0::7","Number of days",""
