"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"altotml","Float","","Recommended","Total volume (ml) per drink","","",""
"alt1tod1","Float","","Recommended","Hour 1 - Number of drinks consumed","0::4","Number of drinks",""
"alt1toc1","Float","","Recommended","Hour 1 - Number of ml consumed","","Unit: milliliters",""
"alt1tod0","Float","","Recommended","Hour 1 - Number of drinks not consumed","0::4","Number of drinks",""
"alt1toc0","Float","","Recommended","Hour 1 - Number of ml not consumed","","Unit: milliliters",""
"alt2tod1","Float","","Recommended","Hour 2 - Number of drinks consumed","0::4","Number of drinks",""
"alt2toc1","Float","","Recommended","Hour 2 - Number of ml consumed","","Unit: milliliters",""
"alt2tod0","Float","","Recommended","Hour 2 - Number of drinks not consumed","0::4","Number of drinks",""
"alt2toc0","Float","","Recommended","Hour 2 - Number of ml not consumed","","Unit: milliliters",""
"alt3tod1","Float","","Recommended","Hour 3 - Number of drinks consumed","0::4","Number of drinks",""
"alt3toc1","Float","","Recommended","Hour 3 - Number of ml consumed","","Unit: milliliters",""
"alt3tod0","Float","","Recommended","Hour 3 - Number of drinks not consumed","0::4","Number of drinks",""
"alt3toc0","Float","","Recommended","Hour 3 - Number of ml not consumed","","Unit: milliliters",""
"alt4d1","Float","","Recommended","Number of drinks consumed total for session","0::12","Number of drinks",""
"alt4c1","Float","","Recommended","Number of ml consumed total for session","","Unit: milliliters",""
"alt4d0","Float","","Recommended","Number of drinks not consumed total for session","0::12","Number of drinks",""
"alt4c0","Float","","Recommended","Number of ml not consumed total for session","","Unit: milliliters",""
