"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"immig1","Integer","","Recommended","Were you and your parents born in the United States?","1::4","1 = Yes; 2 = No, I was born in the United States, but at least one of my parents was born in another country; 3 = No, I was born in another country and at least one of my parents was born in another country; 4 = No, I was born in another country and both of my parents were born in the United States",""
"immig2","Integer","","Recommended","I consider my culture of origin to be","1;2","1 = United States culture; 2 = Other",""
"immig3","String","100","Recommended","What do you consider your culture of origin?","","",""
"amas1","Integer","","Recommended","I think of myself as being U.S. American.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas2","Integer","","Recommended","I feel good about being U.S. American.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas3","Integer","","Recommended","Being U.S. American plays an important part in my life.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas4","Integer","","Recommended","I feel that I am part of U.S. American culture.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas5","Integer","","Recommended","I have a strong sense of being U.S. American.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas6","Integer","","Recommended","I am proud of being U.S. American.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas7","Integer","","Recommended","I think of myself as being (a member of my culture of origin).","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas8","Integer","","Recommended","I feel good about being (a member of my culture of origin).","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas9","Integer","","Recommended","Being (a member of my culture of origin) plays an important part in my life.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas10","Integer","","Recommended","I feel that I am part of (culture of origin) culture.","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas11","Integer","","Recommended","I have a strong sense of being (culture of origin).","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas12","Integer","","Recommended","I am proud of being (culture of origin).","1::4","1 = Strongly disagree; 2 = Disagree somewhat; 3 = Agree somewhat; 4 = Strongly agree",""
"amas13","Integer","","Recommended","How well do you speak English at school or work?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas14","Integer","","Recommended","How well do you speak English with American friends?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas15","Integer","","Recommended","How well do you speak English on the phone?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas16","Integer","","Recommended","How well do you speak English with strangers?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas17","Integer","","Recommended","How well do you speak English in general?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas18","Integer","","Recommended","How well do you understand English on television or in movies?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas19","Integer","","Recommended","How well do you understand English in newspapers and magazines?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas20","Integer","","Recommended","How well do you understand English words in songs?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas21","Integer","","Recommended","How well do you understand English in general?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas22","Integer","","Recommended","How well do you speak your native language with family?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas23","Integer","","Recommended","How well do you speak your native language with friends from the same country as you?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas24","Integer","","Recommended","How well do you speak your native language on the phone?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas25","Integer","","Recommended","How well do you speak your native language with strangers?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas26","Integer","","Recommended","How well do you speak your native language on the phone?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas27","Integer","","Recommended","How well do you understand your native language on television or in movies?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas28","Integer","","Recommended","How well do you understand your native language in newspapers and magazines?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas29","Integer","","Recommended","How well do you understand your native language words in songs?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas30","Integer","","Recommended","How well do you understand your native language in general?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas31","Integer","","Recommended","How well do you know American national heroes?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas32","Integer","","Recommended","How well do you know popular American television shows?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas33","Integer","","Recommended","How well do you know popular American newspapers and magazines?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas34","Integer","","Recommended","How well do you know popular American actors and actresses?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas35","Integer","","Recommended","How well do you know American history?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas36","Integer","","Recommended","How well do you know American political leaders?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas37","Integer","","Recommended","How well do you know national heroes from your native culture?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas38","Integer","","Recommended","How well do you know popular television shows in your native language?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas39","Integer","","Recommended","How well do you know popular newspapers and magazines in your native language?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas40","Integer","","Recommended","How well do you know popular actors and actresses from your native culture?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas41","Integer","","Recommended","How well do you know history of your native culture?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
"amas42","Integer","","Recommended","How well do you know political leaders from your native culture?","1::4","1 = Not at all; 2 = A little; 3 = Pretty well; 4 = Extremely well",""
