"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","chrdim_interview_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"chrdim_dim_yesno_q1_1","Integer","","Recommended","Have you ever experienced discrimination because of your skin color in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_yesno_q1_2","Integer","","Recommended","Have you ever experienced discrimination because of your ethnicity in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_sex","Integer","","Recommended","Have you ever experienced discrimination because of your gender in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_yesno_age","Integer","","Recommended","Have you ever experienced discrimination because of your age in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_yesno_q4_1","Integer","","Recommended","Have you ever experienced discrimination because of your appearance in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_yesno_q5","Integer","","Recommended","Have you ever experienced discrimination because of your disability in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_yesno_q3","Integer","","Recommended","Have you ever experienced discrimination because of your sexual orientation in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_yesno_q6","Integer","","Recommended","Have you ever experienced discrimination because of your religion in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"chrdim_dim_yesno_other","Integer","","Recommended","Have you ever experienced discrimination due to anything else in your lifetime?","0;1;-900;-300","0 = No; 1 = Yes; -900 = Missing; -300 = N/A",""
"ampscz_missing","Integer","","Recommended","Please click if this form is missing all of its data","0;1","0 = Not clicked; 1 = Clicked","chrdim_missing"
"ampscz_missing_spec","Integer","","Recommended","Please specify the reason for missing data on this form","0::6","0 = Evaluation not necessary because the screening visit was less than 21 days from baseline visit; 1 = Measure refusal (no reason provided); 2 = No show; 3 = Research assistant forgot; 4 = Uncontrollable circumstance; 5 = Participant dropped out; 6 = Evaluation not necessary because the screening visit was less than 21 days from baseline visit","chrdim_missing_spec"
"ampscz_entry_date","Date","","Recommended","Date of Data Entry","","MM/DD/YYYY","chrdim_entry_date"
"chrdim_perceived_discrim_total","Integer","","Recommended","Total score of Perceived Discrimination","0::9;-900;-300","Sum [chrdim_dim_yesno_q1_1 + chrdim_dim_yesno_q1_2 + chrdim_dim_sex + chrdim_dim_yesno_age + chrdim_dim_yesno_q4_1 + chrdim_dim_yesno_q5 + chrdim_dim_yesno_q3 + chrdim_dim_yesno_q6 + chrdim_dim_yesno_other]","chrdim_perceived_discrimination_total"
"visit","String","60","Recommended","Visit name","","",""
"chrdim_dim_yesno_q1","Integer","","Recommended","Have you ever experienced discrimination because of your race or ethnicity in your lifetime?","0;1;-900;-300","0=No; 1=Yes; -900=Missing; -300=N/A",""
"chrdim_dim_yesno_q2","Integer","","Recommended","Have you ever experienced discrimination because of your social class in your lifetime?","0;1;-900;-300","0=No; 1=Yes; -900=Missing; -300=N/A",""
"chrdim_dim_other","String","250","Recommended","Have you ever experienced discrimination due to anything else in your lifetime? Please specify","","",""
"past_discrim1","Integer","","Recommended","Due to past experiences of discrimination, I often feel nervous, anxious, or on edge, especially around certain people.","1::4","1=Never; 2=Rarely; 3=Sometimes; 4=Often",""
"past_discrim2","Integer","","Recommended","Due to past experiences of discrimination, I often become easily annoyed or irritable.","1::4","1=Never; 2=Rarely; 3=Sometimes; 4=Often",""
"past_discrim3","Integer","","Recommended","Due to past experiences of discrimination, I feel isolated and set apart from others.","1::4","1=Never; 2=Rarely; 3=Sometimes; 4=Often",""
"past_discrim4","Integer","","Recommended","Due to past experiences of discrimination, I have a lot of problems in my daily functioning.","1::4","1=Never; 2=Rarely; 3=Sometimes; 4=Often",""
