"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","chrrecruit_interview_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"chrrecruit","Integer","","Recommended","How was the participant recruited?","1::15;-900;-300","1 = Private practice physicians; 2 = Private practice non-physician; 3 = Child and Youth Services; 4 = Community Agencies; 5 = Psychiatric Hospital or Department of Psychiatry within a hospital; 6 = Post secondary school/college; 7 = School (elementary, middle, and high school); 8 = Adult Community Mental Health Services; 9 = Judicial/Police and criminal justice system; 10 = Consumer organizations; 11 = Self-referred; 12 = Referred from another study; 13 = Faith-based organization; 14 = Identified by screening of general population; 15 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_physician","Integer","","Recommended","Please specify","1::5;-900;-300","1 = General practitioner (GP); 2 = Psychiatrist; 3 = Pediatrician; 4 = Specialist physician (dermatologist, etc.); 5 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_physician_other","String","100","Recommended","Please specify","","",""
"chrrecruit_nonphysician","Integer","","Recommended","Please specify","1::3;-900;-300","1 = Psychologist; 2 = Social workers; 3 = Other practitioners; -900 = Missing; -300 = N/A",""
"chrrecruit_nonphysician_other","String","100","Recommended","Please specify","","",""
"chrrecruit_child","Integer","","Recommended","Please specify","1::4;-900;-300","1 = Child and Youth Mental Health Services; 2 = Child, youth and family non-mental health services; 3 = Youth shelter, i.e. homeless; 4 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_child_other","String","100","Recommended","Please specify","","",""
"chrrecruit_community","Integer","","Recommended","Please specify","1::3;-900;-300","1 = Community Mental Health Agency; 2 = Community Health Center - not specifically for mental health; 3 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_community_other","String","100","Recommended","Please specify","","",""
"chrrecruit_psychiatry","Integer","","Recommended","Please specify","1::6;-900;-300","1 = General practitioner (GP) referal; 2 = Psychiatrist referral; 3 = Inpatients; 4 = Other referral sources within the hospital; 5 = Emergency/urgent care; 6 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_psychiatry_other","String","100","Recommended","Please specify","","",""
"chrrecruit_college","Integer","","Recommended","Please specify","1::4;-900;-300","1 = Post secondary/college mental health services; 2 = Post-secondary/college - general counseling; 3 = Post-secondary/college Health services - non-mental health; 4 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_college_other","String","100","Recommended","Please specify","","",""
"chrrecruit_school","Integer","","Recommended","Please specify","1::5;-900;-300","1 = Guidance counseling; 2 = Psychology department; 3 = Social work department; 4 = Teacher or other school personnel; 5 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_school_other","String","100","Recommended","Please specify","","",""
"chrrecruit_adult","Integer","","Recommended","Please specify","1::4;-900;-300","1 = First episode program; 2 = Addiction services; 3 = Specialized call line for FEP (first-episode psychosis) or CHR (clinical high risk); 4 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_adult_other","String","100","Recommended","Please specify","","",""
"chrrecruit_judicial","Integer","","Recommended","Please specify","1::5;-900;-300","1 = Legal professional; 2 = Jail diversion program; 3 = Forensic consultation programs; 4 = Police (crisis intervention teams); 5 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_judicial_other","String","100","Recommended","Please specify","","",""
"chrrecruit_consumer","Integer","","Recommended","Please specify","1::3;-900;-300","1 = Famiy advocacy groups (NAMI - National Alliance on Mental Illness); 2 = Youth mental health focused organizations; 3 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_consumer_other","String","100","Recommended","Please specify","","",""
"chrrecruit_self","Integer","","Recommended","Please specify","1::4;-900;-300","1 = Self; 2 = Relative/caregiver; 3 = Friend/colleague/other participant/social or team leader; 4 = Other; -900 = Missing; -300 = N/A",""
"chrrecruit_self_other","String","100","Recommended","Please specify","","",""
"chrrecruit_selfheard","Integer","","Recommended","Please specify","0::4;-900;-300","0 = Program website; 1 = Community flyer/ad; 2 = Community online advertising; 3 = Outreach events; 4 = Newspaper or journal; -900 = Missing; -300 = N/A",""
"chrrecruit_selfscreening","String","100","Recommended","Please specify","","",""
"chrrecruit_other","String","100","Recommended","Please specify","","",""
"ampscz_missing","Integer","","Recommended","Please click if this form is missing all of its data","0;1","0 = Not clicked; 1 = Clicked","chrrecruit_missing"
"ampscz_missing_spec","Integer","","Recommended","Please specify the reason for missing data on this form","0::6","0 = Evaluation not necessary because the screening visit was less than 21 days from baseline visit; 1 = Measure refusal (no reason provided); 2 = No show; 3 = Research assistant forgot; 4 = Uncontrollable circumstance; 5 = Participant dropped out; 6 = Evaluation not necessary because the screening visit was less than 21 days from baseline visit","chrrecruit_missing_spec"
"ampscz_entry_date","Date","","Recommended","Date of Data Entry","","MM/DD/YYYY","chrrecruit_entry_date"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2",""
