"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"arsq_ams1","Integer","","Recommended","I thought about my feelings.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams2","Integer","","Recommended","I felt restless.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams3","Integer","","Recommended","I felt tired.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams4","Integer","","Recommended","I felt sleepy.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams5","Integer","","Recommended","I felt comfortable.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams6","Integer","","Recommended","I felt relaxed.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams7","Integer","","Recommended","I felt happy.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams8","Integer","","Recommended","I felt ill.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams9","Integer","","Recommended","I enjoyed the session.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams10","Integer","","Recommended","I did not have negative feelings.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams11","Integer","","Recommended","I felt bored.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams12","Integer","","Recommended","I felt nothing.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams13","Integer","","Recommended","I felt the same throughout the session.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams14","Integer","","Recommended","I thought about my health.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams15","Integer","","Recommended","I thought about my work/study.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams16","Integer","","Recommended","I thought about my behavior.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams17","Integer","","Recommended","I had thoughts that I would not readily share with others.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams18","Integer","","Recommended","I had busy thoughts.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams19","Integer","","Recommended","I had similar thoughts throughout the session.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams20","Integer","","Recommended","I thought about others.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams21","Integer","","Recommended","I thought about myself.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams22","Integer","","Recommended","I thought about pleasant things.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams23","Integer","","Recommended","I had my thoughts under control.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams24","Integer","","Recommended","I thought about solving problems.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams25","Integer","","Recommended","I thought about the aim of the experiment.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams26","Integer","","Recommended","I had difficulty staying awake.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams27","Integer","","Recommended","I had rapid switching thoughts.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams28","Integer","","Recommended","I had superficial thoughts.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams29","Integer","","Recommended","I thought about the past.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams30","Integer","","Recommended","I thought about the present.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams31","Integer","","Recommended","I thought about the future.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams32","Integer","","Recommended","I had deep thoughts.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams33","Integer","","Recommended","I thought about nothing.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams34","Integer","","Recommended","I had difficulty holding on to my thoughts.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams35","Integer","","Recommended","I thought about people I like.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams36","Integer","","Recommended","I thought in images.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams37","Integer","","Recommended","I thought in words.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams38","Integer","","Recommended","I thought about things I need to do.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams39","Integer","","Recommended","I was conscious of my body.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams40","Integer","","Recommended","I thought about the sounds around me.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams41","Integer","","Recommended","I thought about the odors around me.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams42","Integer","","Recommended","I thought about my heartbeat.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams43","Integer","","Recommended","I thought about my breathing.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams44","Integer","","Recommended","I felt no pain.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams45","Integer","","Recommended","I placed myself in other peoples' shoes.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams46","Integer","","Recommended","I felt motivated to participate.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams47","Integer","","Recommended","I have difficulty remembering my thoughts.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams48","Integer","","Recommended","I have difficulty remembering my feelings.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams49","Integer","","Recommended","I had my eyes closed.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_ams50","Integer","","Recommended","I was able to rate the statements.","1::5;99","1=Completely Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Completely Agree; 99=Unknown or not reported",""
"arsq_dom","Float","","Recommended","Discontinuity of Mind (DoM)","","[arsq_ams2]+[arsq_ams18]+(6-[arsq_ams23])+[arsq_ams27]+[arsq_ams34]",""
"arsq_weighted_dom","Float","","Recommended","Weighted Discontinuity of Mind (wDoM)","","[arsq_ams2]*0.77+[arsq_ams18]*0.84+(6-[arsq_ams23])*0.51+[arsq_ams27]*0.77+[arsq_ams34]*0.55",""
"arsq_tom","Float","","Recommended","Theory of Mind (ToM)","","[arsq_ams20] + [arsq_ams35] + [arsq_ams45]",""
