"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"anhedonia1","Integer","","Recommended","I had no motivation to get started on things","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia2","Integer","","Recommended","Nothing made me feel excited","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia3","Integer","","Recommended","I should have been enjoying things, but I couldn't","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia4","Integer","","Recommended","I felt detached from other people","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia5","Integer","","Recommended","I did not look forward to anything","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia6","Integer","","Recommended","Nothing felt fun or enjoyable","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia7","Integer","","Recommended","I couldn't see myself enjoying things in the future","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia8","Integer","","Recommended","I felt enthusiastic","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia9","Integer","","Recommended","I did not want to do anything","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia10","Integer","","Recommended","I pretended things excited me, but actually I found them boring","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia11","Integer","","Recommended","I felt connected to the world around me","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia12","Integer","","Recommended","I did not feel any emotion","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia13","Integer","","Recommended","Everything felt like a lot of effort to do","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"anhedonia14","Integer","","Recommended","I felt like my life had meaning and purpose","0::3","0= Never; 1= Sometimes; 2= Often; 3= Always",""
"asa_notpos","Integer","","Recommended","Over the past two weeks, how often did you not feel positive?","0::3","0= None; 1= Several days; 2= More than half the days; 3= Almost every day",""
"asa_total","Integer","","Recommended","Anhedonia Scale for Adolescents (ASA) - Total score","0::42","Sum of items anhedonia1-14; a higher score indicates greater levels of anhedonia",""
"asa_subscale1","Integer","","Recommended","Anhedonia Scale for Adolescents (ASA) - Enjoyment, Excitement, and Emotional Flattening Subscale","0::21","Sum of items anhedonia2-4, 6, 7, 10, 12",""
"asa_subscale2","Integer","","Recommended","Anhedonia Scale for Adolescents (ASA) - Enthusiasm, Connection, and Purpose Subscale","0::9","Sum of items anhedonia8, 11, 14",""
"asa_subscale3","Integer","","Recommended","Anhedonia Scale for Adolescents (ASA) - Effort, Motivation, and Drive Subscale","0::12","Sum of items anhedonia1, 5, 9, 13",""
