"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"anti01","Integer","","Recommended","How often during the past 12 months did you do each of the following behaviors?: Steal money or take something that did not belong to you","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti02","Integer","","Recommended","How often during the past 12 months did you do each of the following behaviors?: Act very mean to others","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti03","Integer","","Recommended","How often during the past 12 months did you do each of the following behaviors?: Purposely damage or destroy property that did not belong to you","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti04","Integer","","Recommended","How often during the past 12 months did you do each of the following behaviors?: Threaten to hurt someone","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti05","Integer","","Recommended","How often during the past 12 months did you do each of the following behaviors?: Get into a physical fight","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti06","Integer","","Recommended","How often during the past 12 months did you do each of the following behaviors?: Physically attack someone","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti07","Integer","","Recommended","How often during the past 6 months did you do each of the following behaviors?: Steal money or take something that did not belong to you","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti08","Integer","","Recommended","How often during the past 6 months did you do each of the following behaviors?: Act very mean to others","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti09","Integer","","Recommended","How often during the past 6 months did you do each of the following behaviors?: Purposely damage or destroy property that did not belong to you","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti10","Integer","","Recommended","How often during the past 6 months did you do each of the following behaviors?: Threaten to hurt someone","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti11","Integer","","Recommended","How often during the past 6 months did you do each of the following behaviors?: Get into a physical fight","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
"anti12","Integer","","Recommended","How often during the past 6 months did you do each of the following behaviors?: Physically attack someone","0::4","0 = Never; 1 = Once; 2 = Twice; 3 = Three to five times; 4 = Six or more times",""
