"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"apev_01","Integer","","Recommended","Hobbies or activities (watching TV, reading, playing an instrument, etc.).  Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_01","Integer","","Recommended","Hobbies or activities (watching TV, reading, playing an instrument, etc.). At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_02","Integer","","Recommended","Doing things/spending time with family members. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_02","Integer","","Recommended","Doing things/spending time with family members. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_03","Integer","","Recommended","Spending time/talking with boyfriend/girlfriend. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_03","Integer","","Recommended","Spending time/talking with boyfriend/girlfriend. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_04","Integer","","Recommended","Dating or doing things with people of the opposite sex. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_04","Integer","","Recommended","Dating or doing things with people of the opposite sex. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_05","Integer","","Recommended","Feeling pressured by friends. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_05","Integer","","Recommended","Feeling pressured by friends. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_06","Integer","","Recommended","Family members, relatives, stepparents move in or out of house. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_06","Integer","","Recommended","Family members, relatives, stepparents move in or out of house. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_07","Integer","","Recommended","Fight with or problem with friend. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_07","Integer","","Recommended","Fight with or problem with friend. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_08","Integer","","Recommended","Helping other people. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_08","Integer","","Recommended","Helping other people. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_09","Integer","","Recommended","Restrictions at home (having to be in at a certain time, etc.). Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_09","Integer","","Recommended","Restrictions at home (having to be in at a certain time, etc.). At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_10","Integer","","Recommended","Death of a family member. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_10","Integer","","Recommended","Death of a family member. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_11","Integer","","Recommended","Family member becoming pregnant or having a baby. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_11","Integer","","Recommended","Family member becoming pregnant or having a baby. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_12","Integer","","Recommended","Attending school. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_12","Integer","","Recommended","Attending school. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_13","Integer","","Recommended","Falling in love or beginning a relationship with girl/boyfriend. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_13","Integer","","Recommended","Falling in love or beginning a relationship with girl/boyfriend. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_14","Integer","","Recommended","Poor relationship between family members and friends. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_14","Integer","","Recommended","Poor relationship between family members and friends. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_15","Integer","","Recommended","Doing poorly on an exam or paper. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_15","Integer","","Recommended","Doing poorly on an exam or paper. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_16","Integer","","Recommended","Talking or sharing feelings with friends. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_16","Integer","","Recommended","Talking or sharing feelings with friends. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_17","Integer","","Recommended","Being around people who are inconsiderate/offensive. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_17","Integer","","Recommended","Being around people who are inconsiderate/offensive. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_18","Integer","","Recommended","Arrest of a family member. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_18","Integer","","Recommended","Arrest of a family member. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_19","Integer","","Recommended","Getting in trouble or being suspended from school. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
"apra_19","Integer","","Recommended","Getting in trouble or being suspended from school. At the time this happened how good or bad was it?","-1::1;9999","-1=bad;0=not good or bad;1=good;9999=Missing Data;",""
"apev_20","Integer","","Recommended","Hassles, arguments or fights with other students or peers. Has this happened to you in the PAST YEAR?","0;1;9999","0=No;1=Yes;9999=Missing Data;",""
