"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"api_1","Integer","","Recommended","They are always telling you what to do.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_2","Integer","","Recommended","They make rules without asking what you think.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_3","Integer","","Recommended","They make you feel better when you are upset.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_4","Integer","","Recommended","They are too busy to talk to you.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_5","Integer","","Recommended","They listen to what you have to say.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_6","Integer","","Recommended","They like you just the way you are.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_7","Integer","","Recommended","They tell you when you do a good job on things.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_8","Integer","","Recommended","They want to hear about your problems.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_9","Integer","","Recommended","They are pleased with how you behave.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_10","Integer","","Recommended","They have rules that you must follow.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_11","Integer","","Recommended","They tell you times when you must come home.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_12","Integer","","Recommended","They make sure you tell them where you are going.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_13","Integer","","Recommended","They make sure you go to bed on time.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_14","Integer","","Recommended","They ask you what you do with your friends.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_15","Integer","","Recommended","They know where you are after school.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
"api_16","Integer","","Recommended","They check to see if you fulfilled your responsibilities.","1::4","1=Just like; 2=A lot like, 3=Sort of like; 4=Not like",""
