"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"apoms001","Integer","","Recommended","How tense do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms002","Integer","","Recommended","How angry do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms003","Integer","","Recommended","How worn out do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms004","Integer","","Recommended","How unhappy do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms005","Integer","","Recommended","How proud do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms006","Integer","","Recommended","How lively do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms007","Integer","","Recommended","How confused do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms008","Integer","","Recommended","How sad do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms009","Integer","","Recommended","How active do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms010","Integer","","Recommended","How on-edge do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms011","Integer","","Recommended","How grouchy do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms012","Integer","","Recommended","How ashamed do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms013","Integer","","Recommended","How energetic do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms014","Integer","","Recommended","How hopeless do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms015","Integer","","Recommended","How uneasy do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms016","Integer","","Recommended","How restless do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms017","Integer","","Recommended","How unable to concentrate do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms018","Integer","","Recommended","How fatigued do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms019","Integer","","Recommended","How competent do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms020","Integer","","Recommended","How annoyed do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms021","Integer","","Recommended","How discouraged do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms022","Integer","","Recommended","How resentful do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms023","Integer","","Recommended","How nervous do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms024","Integer","","Recommended","How miserable do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms025","Integer","","Recommended","How confident do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms026","Integer","","Recommended","How bitter do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms027","Integer","","Recommended","How exhausted do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms028","Integer","","Recommended","How anxious do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms029","Integer","","Recommended","How helpless do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms030","Integer","","Recommended","How weary do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms031","Integer","","Recommended","How satisfied do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms032","Integer","","Recommended","How bewildered do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms033","Integer","","Recommended","How furious do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms034","Integer","","Recommended","How full of pep do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms035","Integer","","Recommended","How worthless do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms036","Integer","","Recommended","How forgetful do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms037","Integer","","Recommended","How vigorous do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms038","Integer","","Recommended","How uncertain about things do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms039","Integer","","Recommended","How bushed do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"apoms040","Integer","","Recommended","How embarrassed do you feel right now?","0::4","0 = Not At All; 1 = A Little; 2 = Moderately; 3 = Quite a lot; 4 = Extremely",""
"poms40_004","Integer","","Recommended","Past 24 Hours: Unhappy","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_005","Integer","","Recommended","Past 24 Hours: Proud","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_006","Integer","","Recommended","Past 24 Hours: Lively","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_007","Integer","","Recommended","Past 24 Hours: Confused","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_008","Integer","","Recommended","Past 24 Hours: Sad","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_009","Integer","","Recommended","Past 24 Hours: Active","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_010","Integer","","Recommended","Past 24 Hours: On-edge","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_011","Integer","","Recommended","Past 24 Hours: Grouchy","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_012","Integer","","Recommended","Past 24 Hours: Ashamed","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_013","Integer","","Recommended","Past 24 Hours: Energetic","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_014","Integer","","Recommended","Past 24 Hours: Hopeless","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_015","Integer","","Recommended","Past 24 Hours: Uneasy","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_016","Integer","","Recommended","Past 24 Hours: Restless","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_017","Integer","","Recommended","Past 24 Hours: Can't concentrate","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_018","Integer","","Recommended","Past 24 Hours: Fatigued","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_019","Integer","","Recommended","Past 24 Hours: Competent","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_020","Integer","","Recommended","Past 24 Hours: Annoyed","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_021","Integer","","Recommended","Past 24 Hours: Discouraged","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_022","Integer","","Recommended","Past 24 Hours: Resentful","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_023","Integer","","Recommended","Past 24 Hours: Nervous","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"trait_yn","Integer","","Recommended","Dichotomous variable indicating that this is a trait measure (administered once at the baseline enrollment)","0;1","0= Other Measurement Schedule; 1= Single Timepoint Baseline Enrollment Measure",""
"poms40_024","Integer","","Recommended","Past 24 Hours: Miserable","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_025","Integer","","Recommended","Past 24 Hours: Confident","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_026","Integer","","Recommended","Past 24 Hours: Bitter","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_027","Integer","","Recommended","Past 24 Hours: Exhausted","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_028","Integer","","Recommended","Past 24 Hours: Anxious","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
"poms40_029","Integer","","Recommended","Past 24 Hours: Helpless","0::4","0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely",""
