"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"appq00_1","Integer","","Recommended","1.  Talking to people","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_1,appq2_1"
"appq00_2","Integer","","Recommended","2.  Going through a car wash","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_2,appq2_2"
"appq00_3","Integer","","Recommended","3.  Playing a vigorous sport on a hot day","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_3,appq2_3"
"appq00_4","Integer","","Recommended","4.  Blowing up an airbed quickly","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_4,appq2_4"
"appq00_5","Integer","","Recommended","5.  Eating in front of other","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_5,appq2_5"
"appq00_6","Integer","","Recommended","6.  Hiking on a hot day","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_6,appq2_6"
"appq00_7","Integer","","Recommended","7.  Getting gas at dentist","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_7,appq2_7"
"appq00_8","Integer","","Recommended","8.  Interrupting a meeting","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_8,appq2_8"
"appq00_9","Integer","","Recommended","9.  Giving a speech","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_9,appq2_9"
"appq00_10","Integer","","Recommended","10.  Exercising vigorously alone","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_10,appq2_10"
"appq00_11","Integer","","Recommended","11.   Going long distances from home alone","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_11,appq2_11"
"appq00_12","Integer","","Recommended","12. Introducing yourself to groups","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_12,appq2_12"
"appq00_13","Integer","","Recommended","13. Walking alone in an isolated area","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_13,appq2_13"
"appq00_14","Integer","","Recommended","14. Driving on highways","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_14,appq2_14"
"appq00_15","Integer","","Recommended","15. Wearing striking clothes","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_15,appq2_15"
"appq00_16","Integer","","Recommended","16. Possibility of getting lost","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_16,appq2_16"
"appq00_17","Integer","","Recommended","17. Drinking a strong cup of coffee","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_17,appq2_17"
"appq00_18","Integer","","Recommended","18. Sitting in the center of a cinema","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_18,appq2_18"
"appq00_19","Integer","","Recommended","19. Running up stairs","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_19,appq2_19"
"appq00_20","Integer","","Recommended","20. Riding on a subway","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_20,appq2_20"
"appq00_21","Integer","","Recommended","21. Speaking on the telephone","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_21,appq2_21"
"appq00_22","Integer","","Recommended","22. Meeting strangers","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_22,appq2_22"
"appq00_23","Integer","","Recommended","23. Writing in front of others","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_23,appq2_23"
"appq00_24","Integer","","Recommended","24. Entering a room full of people","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_24,appq2_24"
"appq00_25","Integer","","Recommended","25. Staying overnight away from home","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_25,appq2_25"
"appq00_26","Integer","","Recommended","26. Feeling the effects of alcohol","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_26,appq2_26"
"appq00_27","Integer","","Recommended","27. going over a long, low bridge","0::8","0= No Fear; 2= Slight fear; 4= Moderate fear; 6= Marked Fear; 8= Extreme fear","appq1_27,appq2_27"
"appq_agor","Integer","","Recommended","Agoraphobia score","","",""
"appq_sp","Integer","","Recommended","Social Phobia score","","",""
"appq_int","Integer","","Recommended","Interoceptive score","","",""
"appq_1","Integer","","Recommended","Having a sauna alone","0::8","0=No fear; 1=No to slight fear; 2=Slight fear; 3=Slight to moderate fear; 4=Moderate fear; 5=Moderate to marked fear; 6=Marked fear; 7=Marked to extreme fear; 8=Extreme fear",""
"appq_4","Integer","","Recommended","Snorkeling with a mask and airtube","0::8","0=No fear; 1=No to slight fear; 2=Slight fear; 3=Slight to moderate fear; 4=Moderate fear; 5=Moderate to marked fear; 6=Marked fear; 7=Marked to extreme fear; 8=Extreme fear",""
"appq_5","Integer","","Recommended","Being far from medical help","0::8","0=No fear; 1=No to slight fear; 2=Slight fear; 3=Slight to moderate fear; 4=Moderate fear; 5=Moderate to marked fear; 6=Marked fear; 7=Marked to extreme fear; 8=Extreme fear",""
"appq_panic_disorder_total","Float","","Recommended","Panic Disorder Subscale Sum","","",""
"appq_complete","Integer","","Recommended","Complete","0::2","0=Incomplete; 1=Unverified; 2=Complete",""
