"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","interviewyear"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"respondent","String","20","Required","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
"respondent_other_specify","String","50","Recommended","Respondent: Other (specify)","","",""
"arsq_001","Integer","","Recommended","You ask your parents or another family member for a loan to help you through a difficult financial time. How concerned or anxious would you be over whether or not your family member would want to help you?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing","rsq-a_1a"
"arsq_001a","Integer","","Recommended","You ask your parents or other family members","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing","rsq-a_1b"
"arsq_002","Integer","","Recommended","You approach a close friend to talk after doing or saying something that seriously upset him/her. How concerned or anxious would you be over whether or not your friend would want to talk to you?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing","rs2a,rsq-a_2a,rsqp_008"
"arsq_002a","Integer","","Recommended","You approach a close friend to talk after doing or saying something that seriously upset him/her. You would expect that he/she would want to talk with you to try to work things out.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing","rs2b,rsq-a_2b,rsqp_008a"
"arsq_003","Integer","","Recommended","You bring up the issue of sexual protection with your significant other and tell him/her how important you think it is. How concerned or anxious would you be over his/her reaction?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing",""
"arsq_003a","Integer","","Recommended","You bring up the issue of sexual protection with your significant other and tell him/her how important you think it is. You would expect that he/she would be willing to discuss your possible options without getting defensive.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing",""
"arsq_004","Integer","","Recommended","You ask your supervisor for help with a problem you have been having at work. How concerned or anxious would you be over whether or not the person would want to help you?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing",""
"arsq_004a","Integer","","Recommended","You ask your supervisor for help with a problem you have been having at work. You would expect that he/she would want to help you out.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing",""
"arsq_005","Integer","","Recommended","After a bitter argument, you call or approach your significant other because you want to make up. How concerned or anxious would you be over whether or not your significant other would want to make up with you?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing","rs4a,rsqp_013"
"arsq_005a","Integer","","Recommended","After a bitter argument, you call or approach your significant other because you want to make up. You would expect that he/she would be at least as eager to make up as you would be.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing","rs4b,rsqp_013a"
"arsq_006","Integer","","Recommended","You ask your partner or other family members to come to an occasion that's important to you. How concerned or anxious would you be over whether or not they would want to come?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing","rsq-a_8a"
"arsq_006a","Integer","","Recommended","You ask your partner or other family members to come to an occasion that's important to you. You would expect that they would want to come.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing","rsq-a_8b"
"arsq_007","Integer","","Recommended","At a party, you notice someone on the other side of the room that you'd like to get to know, and you approach him or her to try to start a conversation. How concerned or anxious would you be over whether or not the person would want to talk with you?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing","rs8a"
"arsq_007a","Integer","","Recommended","At a party, you notice someone on the other side of the room that you'd like to get to know, and you approach him or her to try to start a conversation. You would expect that he/she would want to talk with you.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing","rs8b"
"arsq_008","Integer","","Recommended","Lately you've been noticing some distance between yourself and your significant other, and you ask him/her if there is something wrong. How concerned or anxious would you be over whether or not he/she still loves you and wants to be with you?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing",""
"arsq_008a","Integer","","Recommended","Lately you've been noticing some distance between yourself and your significant other, and you ask him/her if there is something wrong. You would expect that he/she will show sincere love and commitment to your relationship no matter what else may be going on.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing",""
"arsq_009","Integer","","Recommended","You call a friend when there is something on your mind that you feel you really need to talk about. How concerned or anxious would you be over whether or not your friend would want to listen?","1::6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing",""
"arsq_009a","Integer","","Recommended","You call a friend when there is something on your mind that you feel you really need to talk about.  You would expect that he/she would listen and support you.","1::6; 999","1 = Very Unlikely, 2 = 2 , 3 = 3, 4 = 4, 5 = 5, 6 = Very Likely; 999= NA/NK/missing",""
"rs_score","Float","","Required","Rejection sensitivity score","","rejection sensitivity = (rejection) * (7-acceptance expectancy)","rsqp_score,total_rs_score"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"version_form","String","121","Required","Form used/assessment name","","",""
"rsq_a_3a","Integer","","Recommended","You ask someone you don't know well to coffee or lunch. How concerned or anxious would you be over whether or not the person would want to go?","1 :: 6; 999","1 = Very Unconcerned, 2 = 2, 3 = 3, 4 = 4, 5 = 5, 6 = Very Concerned; 999= NA/NK/missing","rsq-a_3a,rsqp_009"
"rsq_a_3b","Integer","","Recommended","You ask someone you don't know well to coffee or lunch. I would expect that the person would want to go with me.","1 :: 6; 999","1 = Very Unlikely; 2 = 2 ; 3 = 3; 4 = 4; 5 = 5; 6 = Very Likely; 999=NA/NK/missing","rsq-a_3b,rsqp_009a"
