"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ageyears","Integer","","Recommended","Age in years","","",""
"demo_race","Integer","","Recommended","What is your race?","1::8; -999","1=White; 2=Black or African American; 3=Asian; 4=American Indian/Alaska Native; 5=Hawaiian or Pacific Islander; 6=Unknown or not reported; 7=Other; 8=More than one race; -999=N/A or Missing",""
"blood_ps","Integer","","Recommended","systolic blood pressure","","-99=Missing",""
"blood_pd","Integer","","Recommended","diastolic blood pressure","","-99=Missing",""
"chole_totals","Float","","Recommended","Total Cholesterol (mg)","","",""
"laba5","Float","","Recommended","HDL Cholesterol (mg/dL)","","-2=Not collected at this timepoint; -5=Item/Instrument not collected; -9=Unknown; -99=Missing",""
"laba6","Integer","","Recommended","LDL Cholesterol (mg/dL)","","-1=Normal; -2=Not collected at this timepoint; -5=Item/Instrument not collected; -9=Unknown; -99=Missing",""
"diabetes_history","Integer","","Recommended","Diabetes - History","-1::1","-1 = No; 0 = Unknown (Unk); 1 = Yes",""
"issmoker","Integer","","Recommended","Are you a smoker?","0::2","0 = Never Smoker; 1 = Current Smoker; 2 = Former Smoker",""
"ht_pu","Integer","","Recommended","On Hypertension Treatment","0;1","0 = No; 1 = Yes",""
"statin_pu","Integer","","Recommended","On a Statin","0;1","0 = No; 1 = Yes",""
"at_pu","Integer","","Recommended","On Aspirin Therapy","0;1","0 = No; 1 = Yes",""
"risk_estimation_pu","Integer","","Recommended","Do you want to refine current risk estimation using data from a previous visit?","0;1","0 = No; 1 = Yes",""
