"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"edu_se1_f5","Integer","","Recommended","I believe that I have the ability to complete college.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se2_f5","Integer","","Recommended","I have goals that I want to achieve by being in college.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se3_f5","Integer","","Recommended","I have high academic expectations of myself.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se4_f5","Integer","","Recommended","I believe it is possible for me to make good grades.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se5_f5","Integer","","Recommended","I turn in assignments only partially completed.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se6_f5","Integer","","Recommended","I doubt that I can make the effort to finish college.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se7_f5","Integer","","Recommended","I am determined to do what it will take in order to succeed with my goals.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se8_f5","Integer","","Recommended","I do not turn in assignments.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se9_f5","Integer","","Recommended","My family cares how I do academically.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se10_f5","Integer","","Recommended","Family members criticize me because I am not a great student.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se11_f5","Integer","","Recommended","I am aware of the assignments that are due in the next week.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se12_f5","Integer","","Recommended","Gaining knowledge is important to me.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se13_f5","Integer","","Recommended","I question why I need a degree for the career I want to pursue.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
"edu_se14_f5","Integer","","Recommended","People in my community value a college education.","1::5;-9","1=Very rarely; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; -9=Not reported",""
