"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"asi_relationship","Integer","","Recommended","Relationship to child","1::12","1=Biological mother; 2=Stepmother; 3=Adoptive mother; 4=Foster mother; 5= Grandmother; 6=Biological father; 7=Stepfather; 8=Adoptive father; 9=Foster father; 10=Grandfather; 11=Other Legal Parent/Guardian; 12=Other (specify relationship)",""
"asi_relationship_other","String","100","Recommended","Specified other relationship to child","","",""
"asi_residence_resp","Integer","","Recommended","Child lives in respondent's home right now.","0;1","0=No; 1=Yes",""
"asi_residence_whom","String","100","Recommended","With whom does the child live, if not the respondent. Only completed if asi_residence_resp=0","","",""
"asi_residence_dayspermonth","Integer","","Recommended","Number of days per month that the residence sees child.","0::31","",""
"asi_vision","Integer","","Recommended","Vision problems [DISCONTINUE INTERVIEW IF THERE ARE SERIOUS PROBLEMS THAT ARE NOT CORRECTED WITH ASSISTIVE VISION TECHNOLOGY]","0;1","0=No; 1=Yes",""
"asi_hearing","Integer","","Recommended","Hearing problems [DISCONTINUE INTERVIEW IF THERE ARE SERIOUS PROBLEMS THAT ARE NOT CORRECTED WITH ASSISTIVE VISION TECHNOLOGY]","0;1","0=No; 1=Yes",""
"asi_no_vision_hearing_issues","Integer","","Recommended","No serious vision or hearing problems","0;1","0=No; 1=Yes",""
"asi_vision_hearing_unknown","Integer","","Recommended","Unknown if child has any serious vision or hearing problems","0;1","0=No; 1=Yes",""
"asi_can_walk","Integer","","Recommended","Child can walk on their own [MAKE SURE THAT RESPONDENT DOES NOT COUNT TEMPORARY DIFFICULTIES, SUCH AS A SPRAINED ANKLE, AS ''NOT WALKING'']. Discontinue interview if ''No''","0;1","0=No; 1=Yes",""
"asi_age_walk","Integer","","Recommended","Age in months when child first started walking without holding on.","0::216","",""
"asi_specialed","Integer","","Recommended","Child currently receives any special educational services, such as speech therapy, a one-to-one aide, or time in a special education or resource classroom","0;1","0=No; 1=Yes",""
"asi_speech_age","Integer","","Recommended","Age in months when child first started using single words besides ''mama'' and ''dada'' to communicate.","0::216; 888","0::216=Age in months; 888=Not currently using single words",""
"asi_speech_peers","Integer","","Recommended","Thinks that child's language is at least as good as other children his/her age.","0;1","0=No; 1=Yes",""
"asi_speech_5words","Integer","","Recommended","Child uses at least 5 words on a daily basis.","0;1","0=No; 1=Yes",""
"asi_speech_phrases","Integer","","Recommended","Child puts words together to make phrases on a daily basis. Skipped if speech_5words=0","0;1","0=No; 1=Yes",""
"asi_speech_sentences","Integer","","Recommended","Child uses complex sentences on a daily basis. Skipped if speech_5words=0 OR speech_phrases=0","0;1","0=No; 1=Yes",""
"asi_speech_example1","String","1000","Recommended","Example 1 of things child says during a typical day.","","",""
"asi_speech_example2","String","1000","Recommended","Example 2 of things child says during a typical day.","","",""
"asi_speech_rating_5words","Integer","","Recommended","Interviewer rating: Child does not use single words yet OR uses 5 different words on a daily basis. [Do not administer later items designated ''VERBAL ONLY'']","0;1","0=No; 1=Yes",""
"asi_speech_rating_phrases","Integer","","Recommended","Interviewer rating: Child uses at least 5 different single words on a daily basis but does not use phrases on a daily basis. [Do not administer later items designated ''VERBAL ONLY'']","0;1","0=No; 1=Yes",""
"asi_speech_rating_sentences","Integer","","Recommended","Interviewer rating: Child uses complex sentences on a daily basis. (Do not administer later items designated ''NONVERBAL ONLY'')","0;1","0=No; 1=Yes",""
"asi_survey_mode","Integer","","Recommended","Modality for administration/recording of the behavior section of the survey.","1;2","1=No reading (Respondent wants to write down choices); 2=Yes reading (respondent wants questions to read)",""
"asi_comm_gaze","Integer","","Recommended","How often does child make eye contact when talking with respondent?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_name","Integer","","Recommended","If you call child's name, how often does he/she respond by looking at you?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_chat","Integer","","Recommended","How often does child use his/her language for social purposes, such as chatting or making comments just to be friendly? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_response","Integer","","Recommended","When you ask child a question, how often does he/she answer you? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_lead","Integer","","Recommended","IF you say something to child without asking a direct question, how often does he/she respond to what you said? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_start","Integer","","Recommended","How often does child start a conversation with you? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_info","Integer","","Recommended","How often does child ask you questions about your interests or experiences? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_preservation","Integer","","Recommended","How often does child talk about a particular topic over and over to an unusual degree? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_oddphrases","Integer","","Recommended","How often does child say things that other people think are unusual or strange? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_intonation","Integer","","Recommended","Some children sound robotic or too flat when they talk. Others sound different because their voices are consistently too high pitched or sing-song like. How often does child sound different than other kids his/her age? [VERBAL ONLY]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_comm_pointing","Integer","","Recommended","How often does child use his/her finger to point out something of interest?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_gestures","Integer","","Recommended","How often does child use simple gestures, such as waving good-bye or giving a ''thumbs up'', without being told to do so?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_nodding","Integer","","Recommended","How often does he/she nod his/her head to mean yes without being told to do so?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_smiling","Integer","","Recommended","If child is not smiling already, and you smile at him/her without touching him/her, how often does he/she smile back at you?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_facial","Integer","","Recommended","How often does child show facial expressions that do not match the situation?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_sharing","Integer","","Recommended","How often does child offer to share food or other things with people, without being asked or told to share?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_distress","Integer","","Recommended","When someone else is hurt or sick, how often does child notice that something is wrong?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_appropriate","Integer","","Recommended","When an adult outside of the family talks to him/her, how often does he/she respond appropriately, such as by smiling, saying ''Hi'', or talking to the person?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_inappropriate","Integer","","Recommended","On the other hand, how often does child respond inappropriately to an adult outside of the family, such as by ignoring the person?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_comm_disinhibition","Integer","","Recommended","In social situations, such as eating at a restaurant or visiting someone's home, how often does child show behaviors that are NOT appropriate to that situation?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_peer_alone","Integer","","Recommended","Does child prefer to spend time by him/herself? How often?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_peer_approach","Integer","","Recommended","When child is around other children his/her age, how often does he/she approach them or try to join in?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_peer_response","Integer","","Recommended","If another child tries to interact with child, how often does he/she respond positively and do something to try to keep the interaction going?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_peer_groupplay","Integer","","Recommended","When groups of children are playing game, such as tag or basketball, how often does child join in on his/her own and play?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_peer_imagineplay","Integer","","Recommended","How often does child play pretend with other children, such as playing house or school? [ONLY CHILDREN UNDER 10]","1::6","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is 10 or older); 6=Unknown (e.g., respondent insists that he/she has not observed interactions with other children)",""
"asi_peer_ritualplay","Integer","","Recommended","How often does child insist on playing in a very particular way? [ONLY CHILDREN UNDER 10]","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is 10 or older)",""
"asi_peer_socializing","Integer","","Recommended","How often does child make plans or verbally express an interest in getting together with other kids outside of school?","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_peer_awkward","Integer","","Recommended","How often does child seem socially awkward?","1::5","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal)",""
"asi_peer_friendship","Integer","","Recommended","How often does child have difficulty maintaining friendships or keeping friends after he/she makes them?","1::6","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently; 5=NOT APPLICABLE (e.g., child is nonverbal); 6=Unknown (e.g., respondent insists that he/she does not know)",""
"asi_behavior_initiate","Integer","","Recommended","During free time, how often does child seem to get stuck on doing the same activity for a long period of time?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_behavior_repeat","Integer","","Recommended","How often does child focus his/her attention on specific parts of toys or objects rather than using them as they were intended?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_behavior_sensory_aversions","Integer","","Recommended","Some children are overly sensitive to loud noises or are upset by certain sounds, sights, tastes, or feels of things. Is child bothered by any of these things? How often?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_behavior_sensory_interests","Integer","","Recommended","How often does child show sensory interests?","1::4","1=Not at all; 2=Occasionally; 3=Often; 4=Very frequently",""
"asi_behavior_preoccupy","Integer","","Recommended","Some children have strong interests in unusual things, such as elevators, spoons, or people's home addresses, or they might be interested in a specific aspect of something, such as the letter ''H'' of the alphabet. Does child have any unusual interests like this?","0;1","0=No; 1=Yes",""
