"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, Morning, At Bedtime",""
"aspiration_index_1a","Integer","","Recommended","Life-goal: To be a very wealthy person. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_1b","Integer","","Recommended","Life-goal: To be a very wealthy person. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_1c","Integer","","Recommended","Life-goal: To be a very wealthy person. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_2a","Integer","","Recommended","Life-goal: To grow and learn new things. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_2b","Integer","","Recommended","Life-goal: To grow and learn new things. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_2c","Integer","","Recommended","Life-goal: To grow and learn new things. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_3a","Integer","","Recommended","Life-goal: To have my name known by many people. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_3b","Integer","","Recommended","Life-goal: To have my name known by many people. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_3c","Integer","","Recommended","Life-goal: To have my name known by many people. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_4a","Integer","","Recommended","Life-goal: To have good friends that I can count on. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_4b","Integer","","Recommended","Life-goal: To have good friends that I can count on. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_4c","Integer","","Recommended","Life-goal: To have good friends that I can count on. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_5a","Integer","","Recommended","Life-goal: To successfully hide the signs of aging. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_5b","Integer","","Recommended","Life-goal: To successfully hide the signs of aging. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_5c","Integer","","Recommended","Life-goal: To successfully hide the signs of aging. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_6a","Integer","","Recommended","Life-goal: To work for the betterment of society. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_6b","Integer","","Recommended","Life-goal: To work for the betterment of society. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_6c","Integer","","Recommended","Life-goal: To work for the betterment of society. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_7a","Integer","","Recommended","Life-goal: To be physically healthy. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_7b","Integer","","Recommended","Life-goal: To be physically healthy. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_7c","Integer","","Recommended","Life-goal: To be physically healthy. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_8a","Integer","","Recommended","Life-goal: To have many expensive possessions. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_8b","Integer","","Recommended","Life-goal: To have many expensive possessions How likely is it that this will happen in your future?.","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_8c","Integer","","Recommended","Life-goal: To have many expensive possessions. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_9a","Integer","","Recommended","Life-goal: At the end of my life, to be able to look back on my life as meaningful and complete. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_9b","Integer","","Recommended","Life-goal: At the end of my life, to be able to look back on my life as meaningful and complete. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_9c","Integer","","Recommended","Life-goal: At the end of my life, to be able to look back on my life as meaningful and complete. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_10a","Integer","","Recommended","Life-goal: To be admired by many people. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_10b","Integer","","Recommended","Life-goal: To be admired by many people. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_10c","Integer","","Recommended","Life-goal: To be admired by many people. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_11a","Integer","","Recommended","Life-goal: To share my life with someone I love. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_11b","Integer","","Recommended","Life-goal: To share my life with someone I love. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_11c","Integer","","Recommended","Life-goal: To share my life with someone I love. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_12a","Integer","","Recommended","Life-goal: To have people comment often about how attractive I look. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_12b","Integer","","Recommended","Life-goal: To have people comment often about how attractive I look. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_12c","Integer","","Recommended","Life-goal: To have people comment often about how attractive I look. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_13a","Integer","","Recommended","Life-goal: To assist people who need it, asking nothing in return. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_13b","Integer","","Recommended","Life-goal: To assist people who need it, asking nothing in return.  How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_13c","Integer","","Recommended","Life-goal: To assist people who need it, asking nothing in return.  How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_14a","Integer","","Recommended","Life-goal: To feel good about my level of physical fitness. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_14b","Integer","","Recommended","Life-goal: To feel good about my level of physical fitness. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_14c","Integer","","Recommended","Life-goal: To feel good about my level of physical fitness. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_15a","Integer","","Recommended","Life-goal: To be financially successful. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_15b","Integer","","Recommended","Life-goal: To be financially successful. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_15c","Integer","","Recommended","Life-goal: To be financially successful. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_16a","Integer","","Recommended","Life-goal: To choose what I do, instead of being pushed along by life. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_16b","Integer","","Recommended","Life-goal: To choose what I do, instead of being pushed along by life. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_16c","Integer","","Recommended","Life-goal: To choose what I do, instead of being pushed along by life. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_17a","Integer","","Recommended","Life-goal: To be famous. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_17b","Integer","","Recommended","Life-goal: To be famous. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_17c","Integer","","Recommended","Life-goal: To be famous. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_18a","Integer","","Recommended","Life-goal: To have committed, intimate relationships. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_18b","Integer","","Recommended","Life-goal: To have committed, intimate relationships. How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_18c","Integer","","Recommended","Life-goal: To have committed, intimate relationships. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_19a","Integer","","Recommended","Life-goal: To keep up with fashions in hair and clothing. How important is this to you?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_19b","Integer","","Recommended","Life-goal: To keep up with fashions in hair and clothing.  How likely is it that this will happen in your future?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
"aspiration_index_19c","Integer","","Recommended","Life-goal: To keep up with fashions in hair and clothing. How much have you already attained this goal?","1::7;-99","1 = Not at all; 4 = Moderately; 7 = Very; -99 = Missing",""
