"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"asqol_1","Integer","","Recommended","Do you have enough support from others to make important decisions?  For example, picking a course to study, finding a job, deciding where to live, planning for getting older.","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_2","Integer","","Recommended","Can you ''be yourself'' around your friends/people you know well?  For example, you don't have to put on an ''act''.","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_3","Integer","","Recommended","How secure do you feel about your financial situation?  That is, that your current sources of income will continue (e.g. benefits, salary, pension etc.)","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_4","Integer","","Recommended","Do you have enough support, if or when you need it, to help you deal with problems?  For example, someone who knows you well and will give advice about social and other problems.","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_5","Integer","","Recommended","Are you satisfied with your current friendships?  (i.e. whether you have several, few, or no friends).","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_6","Integer","","Recommended","Do you feel there are barriers when accessing health services?   For example, staff do not allow you time to answer, or you cannot see the same doctor.","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_7","Integer","","Recommended","Do sensory issues in the environment make it difficult to do things you want to do?  For example, supermarket too noisy, public transport too busy, etc.","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_8","Integer","","Recommended","Do you feel there are barriers to your needs being met in ''official'' situations (e.g. at the benefits office, at work, with your landlord, etc.)?  For example, how other people communicate with you, or share information; feeling unable to disclose your autism diagnosis","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
"asqol_9","Integer","","Recommended","Are you at ease (OK) with ''Autism'' as an aspect of your identity?  Here, ''Autism'' means any of the words that refer to the Autism Spectrum.","1::5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Mostly; 5 = Totally",""
