"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"attitude_sexual_situations1","Integer","","Recommended","If a woman dresses in a sexy dress, she is asking for sex.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations2","Integer","","Recommended","If a woman asks a man out on a date, then she is definitely interested in having sex.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations3","Integer","","Recommended","In the majority of rapes, the victim is promiscuous or has a bad reputation.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations4","Integer","","Recommended","When a woman says ''no'' to sex what she really means is ''maybe''.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations5","Integer","","Recommended","When a woman asks her date back to her place, she expects something sexual to happen.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations6","Integer","","Recommended","In most cases when a woman is raped, she was asking for it.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations7","Integer","","Recommended","If a girl is raped while she is drunk, she is at least somewhat responsible for letting things get out of hand.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations8","Integer","","Recommended","When girls get raped, it's often because they did not say ''no'' clearly.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations9","Integer","","Recommended","When guys rape, it is usually because of their strong desire for sex.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations10","Integer","","Recommended","Guys don't usually intend to force sex on a girl, but sometimes they get carried away.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations11","Integer","","Recommended","Rape happens when a guy's sex drive gets out of control.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations12","Integer","","Recommended","A rape probably didn't happen if a girl doesn't have any bruises or marks.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations13","Integer","","Recommended","If a girl doesn't say ''no'' she can't claim rape.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations14","Integer","","Recommended","Girls who say they were raped often agreed to have sex and later regretted it.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
"attitude_sexual_situations15","Integer","","Recommended","It shouldn't be considered rape if a guy is drunk and didn't realize what he was doing.","1::5","1=Totally disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Totally agree",""
