"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","pseduo_guids,pseudo_guids"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","aid,id,participantid,record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","audit_date,date_of_interview_contact,dateformcompletiondate,interview_dt_t1,interview_dt_t2,interview_dt_t3,interview_dt_t4,lab_interview_date,visit_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age,age_months,age_t1_mos,age_t2_mos,age_t3_mos,age_t4_mos,dema1,lab_interview_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","demo_1,gender,gender_t1,gender_t2,gender_t3,gender_t4,sex"
"site","String","101","Recommended","Site","","Study Site","asite"
"clinicid","Integer","","Recommended","Clinic ID","","","aclinic"
"ran002","Integer","","Recommended","Was the subject randomized?","0::3; -9","0=No; 1=Yes; -9=unknown; 2=No meds; 3=No community care","rand"
"audit1","Integer","","Recommended","How often do you have a drink containing alcohol?","0::6; 555;777;888;999;-5;-999","0= Never; 1= Monthly (or less); 2= 2 to 4 times a month; 3= 2 to 3 times a week; 4= 4 or more times a week; 5= NA; 6= Monthly or less; 999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing; -5= Item seen but not answered; -999= Data not submitted (Incomplete, item not seen)","alcohol_1audit,aud01,audit001,audit01,audit1_t1,audit1_t2,audit1_t3,audit1_t4,audit_02_1,audit_1,audit_1_1month,audit_1_bl,audit_1_fu,audit_oftendrink,audq_1,c3869_audit1,c4965_audit_12mo_1,how_often_do_you_have_a_dr,m1_audit_l_1,oftndrink,q1_audit"
"audit2","Float","","Recommended","How many drinks containing alcohol do you have on a typical day when you are drinking?","0::6; 9999; 555;777;888;999","Decimals: answered between two values - 0= 0 to 2; 1= 3 to 4; 2= 5 to 6; 3= 7 to 9; 4= 10 or more; 5= N/A; 9999= no data; 6= 1 or 2;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","alcohol_2audit,aud02,audit002,audit02,audit2_t1,audit2_t2,audit2_t3,audit2_t4,audit_02_2,audit_2,audit_2_1month,audit_2_bl,audit_2_fu,audit_howmany,c4965_audit_12mo_2,how_many_drinks_containing,m1_audit_l_2,numdrinks"
"audit3","Integer","","Recommended","How often do you have six(for male, 4-female) or more drinks on one occasion?","0::5; 9999;444;555;777;888;999","0= Never; 1= Less than monthly; 2= Monthly; 3= Weekly; 4= Daily or almost daily; 5= N/A; 9999= no data; 444= Do not wish to respond; 999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","alcohol_3audit,aud03,audit003,audit3_t1,audit3_t2,audit3_t3,audit3_t4,audit_02_3,audit_3,audit_3_1month,audit_3_bl,audit_3_fu,audit_4,audit_sixdrinks,audq_3,c4965_audit_12mo_3,fiveormore,how_often_do_you_have_six"
"audit4","Integer","","Recommended","How often during the last year have you been unable to remember what happened the night before because you had been drinking?","0::5; 888; 999; 444;555;777;-5;-999","0 = Never; 1 = Less than monthly; 2 = Monthly; 3 = Weekly; 4 = Daily or almost daily; 5=N/A; 888 = do not know or Skipped; 999 = Refuse or No Answer; 444= Do not wish to answer; 555= Missing; 777= Condition Skipped; -5= Item seen but not answered; -999= Data not submitted (Incomplete, item not seen)","alcohol_8audit,aud08,audit008,audit08,audit12_08a,audit6_t1,audit6_t2,audit6_t3,audit6_t4,audit_02_8,audit_8,audit_8_1month,audit_8_fu,audit_9,audit_alc10,audq_8,c3869_audit8,c4965_audit_12mo_8,c_audit8,memloss,unable_to_remember"
"audit5","Integer","","Recommended","How often during the last year have you found that you were not able to stop drinking once you had started?","0::5; 888; 999; 444;555;777;-5;-999","0 = Never; 1 = Less than monthly; 2 = Monthly; 3 = Weekly; 4 = Daily or almost daily; 5=N/A; 888 = do not know or Skipped; 999 = Refuse or No Answer; 444= Do not wish to answer; 555= Missing; 777= Condition Skipped; -5= Item seen but not answered; -999= Data not submitted (Incomplete, item not seen)","alcohol_4audit,aud04,audit004,audit04,audit12_04a,audit4_t1,audit4_t2,audit4_t3,audit4_t4,audit_02_4,audit_4,audit_4_1month,audit_4_fu,audit_5,audit_alc6,audq_4,c3869_audit4,c4965_audit_12mo_4,c_audit4,cantstop,how_often_during_the_last"
"audit7","Integer","","Recommended","Have you or someone else been injured as a result of your drinking?","0::8;10::14;888;999;444;555;777;-5;-999","0 = No; 1 = Yes, but not in the time range given in version_form; 2 = Yes, but not in last year; 3 = Yes, in the time range given in version_form; 4 = Yes, during last year;5 = Yes, but not in the 4 months before jail ; 6 = Yes, in the 4 months before jail; 7=N/A; 8=Yes, but not in the last month; 10=Yes, during the last month; 11= Yes, but not in the past 2 months; 12= Yes, during the past 2 months; 13 = Yes, in the past 3-12 months; 14 = Yes, in the past 3 months; 888 = do not know or Skipped; 999 = Refuse or No Answer; 444=Do not wish to respond; 555= Missing; 777= Condition Skipped; -5= Item seen but not answered; -999= Data not submitted (Incomplete, item not seen)","alcohol_9audit,aud09,audit009,audit09,audit9_t1,audit9_t2,audit9_t3,audit9_t4,audit_02_9,audit_10,audit_9,audit_9_1month,audit_9_bl,audit_9_fu,audit_alc11,audit_injury,audq_9,c3869_audit9,c4965_audit_12mo_9,c_audit9,have_you_or_someone_else_b,injured"
