"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"family_id","String","20","Recommended","Family User-Defined ID","","",""
"time_point_four","Integer","","Recommended","Timepoint out of four assessments: Time 1 (baseline) - Time 2 (8-month follow-up) - Time 3 (16-month follow-up) - Time 4 (24-month follow-up)","1::4","1=Baseline; 2=8-month follow-up; 3=16-month follow-up; 4=24-month follow-up",""
"a_aurm_q1","Integer","","Recommended","In the past year, how often has your mother/father told you: Drinking alcohol is bad for you","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
"a_aurm_q2","Integer","","Recommended","In the past year, how often has your mother/father told you: People do stupid things when they drink alcohol","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
"a_aurm_q3","Integer","","Recommended","In the past year, how often has your mother/father told you: Drinking alcohol can make you feel sick","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
"a_aurm_q4","Integer","","Recommended","In the past year, how often has your mother/father told you: Drinking alcohol can give you a hangover","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
"a_aurm_q5","Integer","","Recommended","In the past year, how often has your mother/father told you: Alcohol is addictive","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
"a_aurm_q6","Integer","","Recommended","In the past year, how often has your mother/father told you: I don't want you to drink alcohol","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
"a_aurm_q7","Integer","","Recommended","In the past year, how often has your mother/father told you: I would be really upset if you drank alcohol","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
"a_aurm_q8","Integer","","Recommended","In the past year, how often has your mother/father told you: If I find out that you drink, you'll be in trouble","1::4;99","1=Never; 2=Once or Twice; 3=Several Times; 4=Many Times; 99=Prefer not to answer",""
