"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aurora_day","Integer","","Recommended","Study day","0 :: 385","",""
"os_type","Integer","","Recommended","Operating system type","1; 2","1=ANDROID; 2=IOS",""
"aurora_i0_p0","Float","","Recommended","Mean of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p1","Float","","Recommended","Standard deviation of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p2","Float","","Recommended","Mean log of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p3","Float","","Recommended","Standard deviation of the log of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p4","Float","","Recommended","10th percentile of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p5","Float","","Recommended","20th percentile of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p6","Float","","Recommended","50th percentile of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p7","Float","","Recommended","80th percentile of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p8","Float","","Recommended","90th percentile of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p9","Float","","Recommended","Interquartile range (75-25) of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p10","Float","","Recommended","a (intercept of linear regression of sorted time differences) of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p11","Float","","Recommended","b (slope of linear regression of sorted time differences) of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p12","Float","","Recommended","AAC (average amplitude, absolute differences) of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p13","Float","","Recommended","Standard deviation of the difference in differences of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p14","Float","","Recommended","Maximum fractal length of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p15","Float","","Recommended","Mean power of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p16","Float","","Recommended","Total (sum) power of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p17","Float","","Recommended","Median frequency of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p18","Float","","Recommended","Mean frequency of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p19","Float","","Recommended","Peak (mode) frequency of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p20","Float","","Recommended","1st spectral moment of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p21","Float","","Recommended","2nd spectral moment of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i0_p22","Float","","Recommended","3rd spectral moment of Typing fluency/speed (character to space, char-space_key)","","",""
"aurora_i1_p0","Float","","Recommended","Mean of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p1","Float","","Recommended","Standard deviation of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p2","Float","","Recommended","Mean log of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p3","Float","","Recommended","Standard deviation of the log of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p4","Float","","Recommended","10th percentile of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p5","Float","","Recommended","20th percentile of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p6","Float","","Recommended","50th percentile of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p7","Float","","Recommended","80th percentile of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p8","Float","","Recommended","90th percentile of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p9","Float","","Recommended","Interquartile range (75-25) of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p10","Float","","Recommended","a (intercept of linear regression of sorted time differences) of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p11","Float","","Recommended","b (slope of linear regression of sorted time differences) of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p12","Float","","Recommended","AAC (average amplitude, absolute differences) of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p13","Float","","Recommended","Standard deviation of the difference in differences of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p14","Float","","Recommended","Maximum fractal length of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p15","Float","","Recommended","Mean power of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p16","Float","","Recommended","Total (sum) power of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p17","Float","","Recommended","Median frequency of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p18","Float","","Recommended","Mean frequency of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p19","Float","","Recommended","Peak (mode) frequency of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p20","Float","","Recommended","1st spectral moment of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p21","Float","","Recommended","2nd spectral moment of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i1_p22","Float","","Recommended","3rd spectral moment of Typing fluency/speed (space to character, space_key-char)","","",""
"aurora_i2_p0","Float","","Recommended","Mean of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p1","Float","","Recommended","Standard deviation of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p2","Float","","Recommended","Mean log of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p3","Float","","Recommended","Standard deviation of the log of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p4","Float","","Recommended","10th percentile of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p5","Float","","Recommended","20th percentile of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p6","Float","","Recommended","50th percentile of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p7","Float","","Recommended","80th percentile of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p8","Float","","Recommended","90th percentile of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p9","Float","","Recommended","Interquartile range (75-25) of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p10","Float","","Recommended","a (intercept of linear regression of sorted time differences) of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p11","Float","","Recommended","b (slope of linear regression of sorted time differences) of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p12","Float","","Recommended","AAC (average amplitude, absolute differences) of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p13","Float","","Recommended","Standard deviation of the difference in differences of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p14","Float","","Recommended","Maximum fractal length of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p15","Float","","Recommended","Mean power of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p16","Float","","Recommended","Total (sum) power of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p17","Float","","Recommended","Median frequency of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p18","Float","","Recommended","Mean frequency of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p19","Float","","Recommended","Peak (mode) frequency of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p20","Float","","Recommended","1st spectral moment of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p21","Float","","Recommended","2nd spectral moment of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i2_p22","Float","","Recommended","3rd spectral moment of Typing fluency/speed (two characters in a row, char-char)","","",""
"aurora_i3_p0","Float","","Recommended","Mean of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p1","Float","","Recommended","Standard deviation of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p2","Float","","Recommended","Mean log of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p3","Float","","Recommended","Standard deviation of the log of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p4","Float","","Recommended","10th percentile of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p5","Float","","Recommended","20th percentile of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p6","Float","","Recommended","50th percentile of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p7","Float","","Recommended","80th percentile of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p8","Float","","Recommended","90th percentile of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p9","Float","","Recommended","Interquartile range (75-25) of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p10","Float","","Recommended","a (intercept of linear regression of sorted time differences) of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p11","Float","","Recommended","b (slope of linear regression of sorted time differences) of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p12","Float","","Recommended","AAC (average amplitude, absolute differences) of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p13","Float","","Recommended","Standard deviation of the difference in differences of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p14","Float","","Recommended","Maximum fractal length of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p15","Float","","Recommended","Mean power of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p16","Float","","Recommended","Total (sum) power of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p17","Float","","Recommended","Median frequency of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p18","Float","","Recommended","Mean frequency of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p19","Float","","Recommended","Peak (mode) frequency of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p20","Float","","Recommended","1st spectral moment of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p21","Float","","Recommended","2nd spectral moment of Change of operations (type to delete, *-delete)","","",""
"aurora_i3_p22","Float","","Recommended","3rd spectral moment of Change of operations (type to delete, *-delete)","","",""
"aurora_i4_p0","Float","","Recommended","Mean of Deletions (two deletes in a row, delete-delete)","","",""
"aurora_i4_p1","Float","","Recommended","Standard deviation of Deletions (two deletes in a row, delete-delete)","","",""
"aurora_i4_p2","Float","","Recommended","Mean log of Deletions (two deletes in a row, delete-delete)","","",""
"aurora_i4_p3","Float","","Recommended","Standard deviation of the log of Deletions (two deletes in a row, delete-delete)","","",""
"aurora_i4_p4","Float","","Recommended","10th percentile of Deletions (two deletes in a row, delete-delete)","","",""
"aurora_i4_p5","Float","","Recommended","20th percentile of Deletions (two deletes in a row, delete-delete)","","",""
"aurora_i4_p6","Float","","Recommended","50th percentile of Deletions (two deletes in a row, delete-delete)","","",""
