"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","studyday"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"ncaid","Integer","","Recommended","Primary ID of Neurocognitive Test","","",""
"site","String","101","Recommended","Site","","Study Site","siteid"
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","timepoint"
"strn_condition","String","20","Recommended","Condition of Specific Trial","","",""
"strn_red1","String","20","Recommended","Red Word #1","","",""
"strn_red2","String","20","Recommended","Red Word #2","","",""
"strn_red3","String","20","Recommended","Red Word #3","","",""
"strn_green1","String","20","Recommended","Green Word #1","","",""
"strn_green2","String","20","Recommended","Green Word #2","","",""
"strn_green3","String","20","Recommended","Green Word #3","","",""
"strn_probe","String","20","Recommended","Word Shown To Participant","","",""
"strn_color","String","5","Recommended","List Participant Asked to Recall","","",""
"strn_response","String","1","Recommended","Participant Response: (y)es/(n)o/(none))","","",""
"responsecorrect","Float","","Recommended","Response Correct (1=Correct)","0 :: 1","0=Incorrect; 1=Correct","strn_correct"
"rt","Float","","Recommended","Reaction Time","","-1 = NaN","strn_rt"
"crt_state","String","25","Recommended","Responded via Keyb/Touch/Mouse","","keyup=Keyboard; mouseup=Mouse (mouseup); pointerup=Mouse (pointerup); timeout=Timed Out; touchend=Touchscreen","strn_state"
"battery_id","Integer","","Recommended","Identifier of Battery","","","strn_batteryid"
"testid","Integer","","Recommended","Identifier of Current Test","","","strn_testid"
"session_id","String","20","Recommended","session ID/screening ID","","","strn_sittingid"
"cbgroup","Integer","","Recommended","Counterbalancing Group","","","strn_group"
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version","strn_version"
"aurora_device","Integer","","Recommended","Device Used","1 :: 6","1=iPad; 2=iPhone; 3=Tablet; 4=Android Smartphone; 5=Desktop; 6=Laptop","strn_device"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily","strn_timepoint"
"strn_accuracy","Float","","Recommended","Prop Correct Responses Across All Trials","","",""
"strn_meanrtc","Float","","Recommended","Mean Reaction Time For All Correct Trials (ms)","","",""
"strn_medrtc","Float","","Recommended","Median Reaction Time For All Correct Trials (ms)","","",""
"strn_sdrtc","Float","","Recommended","Sd Of Reaction Times Across All Correct Trials (ms)","","",""
"strn_relneutral_accuracy","Float","","Recommended","Prop Correct For All Relevant Neutral Trials","","",""
"strn_relneutral_meanrt","Float","","Recommended","Mean Reaction Time For All Relevant Neutral Trials (ms)","","",""
"strn_relneutral_medrt","Float","","Recommended","Median Reaction Time For All Relevant Neutral Trials (ms)","","",""
"strn_relneutral_sdrt","Float","","Recommended","Sd Of Reaction Times For All Relevant Neutral Trials (ms)","","",""
"strn_relneutral_meanrtc","Float","","Recommended","Mean Reaction Time For All Correct Relevant Neutral Trials (ms)","","",""
"strn_relneutral_medrtc","Float","","Recommended","Median Reaction Time For All Correct Relevant Neutral Trials (ms)","","",""
"strn_relneutral_sdrtc","Float","","Recommended","Sd Of Reaction Times For All Correct Relevant Neutral Trials (ms)","","",""
"strn_irrelthreat_accuracy","Float","","Recommended","Prop Correct For All Irrelevant Threat Trials","","",""
"strn_irrelthreat_meanrt","Float","","Recommended","Mean Reaction Time For All Irrelevant Threat Trials (ms)","","",""
"strn_irrelthreat_medrt","Float","","Recommended","Median Reaction Time For All Irrelevant Threat Trials (ms)","","",""
"strn_irrelthreat_sdrt","Float","","Recommended","Sd Of Reaction Times For All Irrelevant Threat Trials (ms)","","",""
"strn_irrelthreat_meanrtc","Float","","Recommended","Mean Reaction Time For All Correct Irrelevant Threat Trials (ms)","","",""
"strn_irrelthreat_medrtc","Float","","Recommended","Median Reaction Time For All Correct Irrelevant Threat Trials (ms)","","",""
"strn_irrelthreat_sdrtc","Float","","Recommended","Sd Of Reaction Times For All Correct Irrelevant Threat Trials (ms)","","",""
"strn_newneutral_accuracy","Float","","Recommended","Prop Correct For All New Neutral Trials","","",""
"strn_newneutral_meanrt","Float","","Recommended","Mean Reaction Time For All New Neutral Trials (ms)","","",""
"strn_newneutral_medrt","Float","","Recommended","Median Reaction Time For All New Neutral Trials (ms)","","",""
"strn_newneutral_sdrt","Float","","Recommended","Sd Of Reaction Times For All New Neutral Trials (ms)","","",""
"strn_newneutral_meanrtc","Float","","Recommended","Mean Reaction Time For All Correct New Neutral Trials (ms)","","",""
"strn_newneutral_medrtc","Float","","Recommended","Median Reaction Time For All Correct New Neutral Trials (ms)","","",""
"strn_newneutral_sdrtc","Float","","Recommended","Sd Of Reaction Times For All Correct New Neutral Trials (ms)","","",""
"strn_newthreat_accuracy","Float","","Recommended","Prop Correct For All New Threat Trials","","",""
"strn_newthreat_meanrt","Float","","Recommended","Mean Reaction Time For All New Threat Trials (ms)","","",""
"strn_newthreat_medrt","Float","","Recommended","Median Reaction Time For All New Threat Trials (ms)","","",""
"strn_newthreat_sdrt","Float","","Recommended","Sd Of Reaction Times For All New Threat Trials (ms)","","",""
"strn_newthreat_meanrtc","Float","","Recommended","Mean Reaction Time For All Correct New Threat Trials (ms)","","",""
"strn_newthreat_medrtc","Float","","Recommended","Median Reaction Time For All Correct New Threat Trials (ms)","","",""
"strn_newthreat_sdrtc","Float","","Recommended","Sd Of Reaction Times For All Correct New Threat Trials (ms)","","",""
"strn_relthreat_accuracy","Float","","Recommended","Prop Correct For All Relevant Threat Trials","","",""
"strn_relthreat_meanrt","Float","","Recommended","Mean Reaction Time For All Relevant Threat Trials (ms)","","",""
"strn_relthreat_medrt","Float","","Recommended","Median Reaction Time For All Relevant Threat Trials (ms)","","",""
"strn_relthreat_sdrt","Float","","Recommended","Sd Of Reaction Times For All Relevant Threat Trials (ms)","","",""
"strn_relthreat_meanrtc","Float","","Recommended","Mean Reaction Time For All Correct Relevant Threat Trials (ms)","","",""
"strn_relthreat_medrtc","Float","","Recommended","Median Reaction Time For All Correct Relevant Threat Trials (ms)","","",""
"strn_relthreat_sdrtc","Float","","Recommended","Sd Of Reaction Times For All Correct Relevant Threat Trials (ms)","","",""
"strn_irrelneutral_accuracy","Float","","Recommended","Prop Correct For All Irrelevant Neutral Trials","","",""
"strn_irrelneutral_meanrt","Float","","Recommended","Mean Reaction Time For All Irrelevant Neutral Trials (ms)","","",""
"strn_irrelneutral_medrt","Float","","Recommended","Median Reaction Time For All Irrelevant Neutral Trials (ms)","","",""
"strn_irrelneutral_sdrt","Float","","Recommended","Sd Of Reaction Times For All Irrelevant Neutral Trials (ms)","","",""
"strn_irrelneutral_meanrtc","Float","","Recommended","Mean Reaction Time For All Correct Irrelevant Neutral Trials (ms)","","",""
"strn_irrelneutral_medrtc","Float","","Recommended","Median Reaction Time For All Correct Irrelevant Neutral Trials (ms)","","",""
"strn_irrelneutral_sdrtc","Float","","Recommended","Sd Of Reaction Times For All Correct Irrelevant Neutral Trials (ms)","","",""
"deviceserialnumber","String","200","Recommended","device serial number/ID","","","strn_useragent"
"testduration","Float","","Recommended","Seconds Taken To Complete Test","","","strn_duration"
"testrestarts","Integer","","Recommended","Number Of Times Participant Restarted Test","","","strn_reloaded"
"mpdat","Float","","Recommended","days from enrollment","","","studyday"
