"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","studyday"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"ncaid","Integer","","Recommended","Primary ID of Neurocognitive Test","","",""
"site","String","101","Recommended","Site","","Study Site","siteid"
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","timepoint"
"testreason","String","255","Recommended","Reason for Testing","","","verbalassoc_type,vocab_type"
"verbalassoc_probe","String","20","Recommended","Word Shown to Participant","","","vocab_probe"
"verbalassoc_target","String","20","Recommended","Word paired w\Probe In Learn Portion","","","vocab_target"
"verbalassoc_response","String","20","Recommended","Word Participant Responded With","","","vocab_response"
"responsecorrect","Float","","Recommended","Response Correct (1=Correct)","0 :: 1","0=Incorrect; 1=Correct","verbalassoc_correct,vocab_correct"
"rt","Float","","Recommended","Reaction Time","","-1 = NaN","verbalassoc_rt,vocab_rt"
"crt_state","String","25","Recommended","Responded via Keyb/Touch/Mouse","","keyup=Keyboard; mouseup=Mouse (mouseup); pointerup=Mouse (pointerup); timeout=Timed Out; touchend=Touchscreen","verbalassoc_state,vocab_state"
"battery_id","Integer","","Recommended","Identifier of Battery","","","verbalassoc_batteryid,vocab_batteryid"
"testid","Integer","","Recommended","Identifier of Current Test","","","verbalassoc_testid,vocab_testid"
"session_id","String","20","Recommended","session ID/screening ID","","","verbalassoc_sittingid,vocab_sittingid"
"cbgroup","Integer","","Recommended","Counterbalancing Group","","","verbalassoc_group,vocab_group"
"version_form","String","121","Recommended","Form used/assessment name","","","verbalassoc_version,vocab_version"
"aurora_device","Integer","","Recommended","Device Used","1 :: 6","1=iPad; 2=iPhone; 3=Tablet; 4=Android Smartphone; 5=Desktop; 6=Laptop","verbalassoc_device,vocab_device"
"visit","String","60","Recommended","Visit name","","","verbalassoc_timepoint,vocab_timepoint"
"verbalassoc_accuracy","Float","","Recommended","Prop Correct Responses Across All Trials","","","vocab_accuracy"
"deviceserialnumber","String","200","Recommended","device serial number/ID","","","verbalassoc_useragent,vocab_useragent"
"testduration","Float","","Recommended","Seconds Taken To Complete Test","","","verbalassoc_duration,vocab_duration"
"testrestarts","Integer","","Recommended","Number Of Times Participant Restarted Test","","","verbalassoc_reloaded,vocab_reloaded"
"ddt_mn_rt","Float","","Recommended","Mean reaction time for all trials","","","vocab_meanrt"
"ddt_md_rt","Float","","Recommended","Median reaction time for all trials","","","vocab_medianrt"
"vocab_sdrt","Float","","Recommended","Standard Deviation of Rection Time Across All Trials","","",""
"mpdat","Float","","Recommended","days from enrollment","","","studyday"
"rynl_elv_raw","Integer","","Recommended","Total Correct Vocabulary","","",""
