"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"grade","String","50","Recommended","Current Grade","","",""
"tri_q1","Integer","","Recommended","Arm (Braccio) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q2","Integer","","Recommended","Cat (Gatto) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q3","Integer","","Recommended","Ax (Ascia) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q4","Integer","","Recommended","Bed (Letto) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q5","Integer","","Recommended","Plane (Aereo) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q6","Integer","","Recommended","Ear (Orecchio) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q7","Integer","","Recommended","Dog (Cane) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q8","Integer","","Recommended","Hammer (Martello) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q9","Integer","","Recommended","Chair (Sedia)Trial I","0;1","1=correct; 0=incorrect",""
"tri_q10","Integer","","Recommended","Car (Automobile) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q11","Integer","","Recommended","Eye (Occhio) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q12","Integer","","Recommended","Horse (Cavallo) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q13","Integer","","Recommended","Knife (Coltello) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q14","Integer","","Recommended","Clock (Orologio) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q15","Integer","","Recommended","Bicycle (Bicicletta) Trial I","0;1","1=correct; 0=incorrect",""
"tri_q16","Integer","","Recommended","Item 16 Trial I","0;1","1=correct; 0=incorrect",""
"tri_q17","Integer","","Recommended","Item 17 Trial I","0;1","1=correct; 0=incorrect",""
"tri_q18","Integer","","Recommended","Item 18 Trial I","0;1","1=correct; 0=incorrect",""
"tri_cr","Integer","","Recommended","Trial I. Correct responces (Risp. Corrette)","","",""
"tri_rep","Integer","","Recommended","Trial I. Repetitions (Ripetizioni)","","",""
"tri_ne","Integer","","Recommended","Trial I. Number of errors (Errori)","","",""
"trii_q1","Integer","","Recommended","Arm (Braccio) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q2","Integer","","Recommended","Cat (Gatto) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q3","Integer","","Recommended","Ax (Ascia) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q4","Integer","","Recommended","Bed (Letto) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q5","Integer","","Recommended","Plane (Aereo) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q6","Integer","","Recommended","Ear (Orecchio) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q7","Integer","","Recommended","Dog (Cane) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q8","Integer","","Recommended","Hammer (Martello) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q9","Integer","","Recommended","Chair (Sedia)Trial II","0;1","1=correct; 0=incorrect",""
"trii_q10","Integer","","Recommended","Car (Automobile) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q11","Integer","","Recommended","Eye (Occhio) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q12","Integer","","Recommended","Horse (Cavallo) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q13","Integer","","Recommended","Knife (Coltello) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q14","Integer","","Recommended","Clock (Orologio) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q15","Integer","","Recommended","Bicycle (Bicicletta) Trial II","0;1","1=correct; 0=incorrect",""
"trii_q16","Integer","","Recommended","Item 16 Trial II","0;1","1=correct; 0=incorrect",""
"trii_q17","Integer","","Recommended","Item 17 Trial II","0;1","1=correct; 0=incorrect",""
"trii_q18","Integer","","Recommended","Item 18 Trial II","0;1","1=correct; 0=incorrect",""
"trii_cr","Integer","","Recommended","Trial II. Correct responces (Risp. Corrette)","","",""
"trii_rep","Integer","","Recommended","Trial II. Repetitions (Ripetizioni)","","",""
"trii_ne","Integer","","Recommended","Trial II. Number of errors (Errori)","","",""
"triii_q1","Integer","","Recommended","Arm (Braccio) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q2","Integer","","Recommended","Cat (Gatto) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q3","Integer","","Recommended","Ax (Ascia) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q4","Integer","","Recommended","Bed (Letto) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q5","Integer","","Recommended","Plane (Aereo) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q6","Integer","","Recommended","Ear (Orecchio) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q7","Integer","","Recommended","Dog (Cane) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q8","Integer","","Recommended","Hammer (Martello) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q9","Integer","","Recommended","Chair (Sedia)Trial III","0;1","1=correct; 0=incorrect",""
"triii_q10","Integer","","Recommended","Car (Automobile) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q11","Integer","","Recommended","Eye (Occhio) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q12","Integer","","Recommended","Horse (Cavallo) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q13","Integer","","Recommended","Knife (Coltello) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q14","Integer","","Recommended","Clock (Orologio) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q15","Integer","","Recommended","Bicycle (Bicicletta) Trial III","0;1","1=correct; 0=incorrect",""
"triii_q16","Integer","","Recommended","Item 16 Trial III","0;1","1=correct; 0=incorrect",""
"triii_q17","Integer","","Recommended","Item 17 Trial III","0;1","1=correct; 0=incorrect",""
"triii_q18","Integer","","Recommended","Item 18 Trial III","0;1","1=correct; 0=incorrect",""
"triii_cr","Integer","","Recommended","Trial III. Correct responces (Risp. Corrette)","","",""
"triii_rep","Integer","","Recommended","Trial III. Repetitions (Ripetizioni)","","",""
"triii_ne","Integer","","Recommended","Trial III. Number of errors (Errori)","","",""
"triv_q1","Integer","","Recommended","Arm (Braccio) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q2","Integer","","Recommended","Cat (Gatto) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q3","Integer","","Recommended","Ax (Ascia) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q4","Integer","","Recommended","Bed (Letto) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q5","Integer","","Recommended","Plane (Aereo) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q6","Integer","","Recommended","Ear (Orecchio) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q7","Integer","","Recommended","Dog (Cane) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q8","Integer","","Recommended","Hammer (Martello) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q9","Integer","","Recommended","Chair (Sedia)Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q10","Integer","","Recommended","Car (Automobile) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q11","Integer","","Recommended","Eye (Occhio) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q12","Integer","","Recommended","Horse (Cavallo) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q13","Integer","","Recommended","Knife (Coltello) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q14","Integer","","Recommended","Clock (Orologio) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q15","Integer","","Recommended","Bicycle (Bicicletta) Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q16","Integer","","Recommended","Item 16 Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q17","Integer","","Recommended","Item 17 Trial IV","0;1","1=correct; 0=incorrect",""
"triv_q18","Integer","","Recommended","Item 18 Trial IV","0;1","1=correct; 0=incorrect",""
"triv_cr","Integer","","Recommended","Trial IV. Correct responces (Risp. Corrette)","","",""
"triv_rep","Integer","","Recommended","Trial IV. Repetitions (Ripetizioni)","","",""
"triv_ne","Integer","","Recommended","Trial IV. Number of errors (Errori)","","",""
"trv_q1","Integer","","Recommended","Arm (Braccio) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q2","Integer","","Recommended","Cat (Gatto) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q3","Integer","","Recommended","Ax (Ascia) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q4","Integer","","Recommended","Bed (Letto) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q5","Integer","","Recommended","Plane (Aereo) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q6","Integer","","Recommended","Ear (Orecchio) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q7","Integer","","Recommended","Dog (Cane) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q8","Integer","","Recommended","Hammer (Martello) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q9","Integer","","Recommended","Chair (Sedia)Trial V","0;1","1=correct; 0=incorrect",""
"trv_q10","Integer","","Recommended","Car (Automobile) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q11","Integer","","Recommended","Eye (Occhio) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q12","Integer","","Recommended","Horse (Cavallo) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q13","Integer","","Recommended","Knife (Coltello) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q14","Integer","","Recommended","Clock (Orologio) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q15","Integer","","Recommended","Bicycle (Bicicletta) Trial V","0;1","1=correct; 0=incorrect",""
"trv_q16","Integer","","Recommended","Item 16 Trial V","0;1","1=correct; 0=incorrect",""
"trv_q17","Integer","","Recommended","Item 17 Trial V","0;1","1=correct; 0=incorrect",""
"trv_q18","Integer","","Recommended","Item 18 Trial V","0;1","1=correct; 0=incorrect",""
"trv_cr","Integer","","Recommended","Trial V. Correct responces (Risp. Corrette)","","",""
"trv_rep","Integer","","Recommended","Trial V. Repetitions (Ripetizioni)","","",""
"trv_ne","Integer","","Recommended","Trial V. Number of errors (Errori)","","",""
"trtot_cr","Integer","","Recommended","Total. Correct responces (Risp. Corrette)","","",""
"trtot_rep","Integer","","Recommended","Total. Repetitions (Ripetizioni)","","",""
"trtot_ne","Integer","","Recommended","Total. Number of errors (Errori)","","",""
"trvi_q1","Integer","","Recommended","Boot (Stlvale) Trial VI. Interference (Interferenza)","0;1 ","1=correct; 0=incorrect",""
"trvi_q2","Integer","","Recommended","Ape (Scimmia) Trial VI","0;1 ","1=correct; 0=incorrect",""
