"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","ursi"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"overall_acc","Float","","Recommended","accuracy (reported as decimal) of responses for the entire task","","",""
"overall_rt","Float","","Recommended","median reaction time for the entire task","","",""
"overall_cnt_hit","Integer","","Recommended","Count of the correct responses across all tasks","","",""
"overall_cnt_miss","Integer","","Recommended","Count of the number of times no response was detected across all tasks","","",""
"overall_cnt_incorr","Integer","","Recommended","Count of the number of incorrect responses across all tasks","","",""
"cue_a_acc","Float","","Recommended","accuracy of the responses to ""A"" cues (target cues)","","",""
"cue_a_rt","Float","","Recommended","median reaction time for A cues","","",""
"cue_a_cnt_hit","Integer","","Recommended","Number of responses to A cues","","",""
"cue_a_cnt_miss","Integer","","Recommended","Number of missed A cues","","",""
"cue_a_cnt_incorr","Integer","","Recommended","Number of inccorect responses to A cues","","",""
"probe_ax_acc","Float","","Recommended","accuracy of X probes following A cues (IE target cue followed by the target probe)","","",""
"probe_ax_rt","Float","","Recommended","Median reaction time to X probes following A cues","","",""
"probe_ax_cnt_hit","Integer","","Recommended","count of correct responses to AX probes","","","cpt_right_xa"
"probe_ax_cnt_miss","Integer","","Recommended","Count of missed AX probes","","","cpt_missed_xa"
"probe_ax_cnt_incorr","Integer","","Recommended","Count of inccorect responses to AX probes","","","cpt_wrong_xa"
"probe_ay_acc","Float","","Recommended","accuracy of Y probes following A cues (IE target cue followed by a non-target probe)","","",""
"probe_ay_rt","Float","","Recommended","Median reaction time to Y probes following A cues","","",""
"probe_ay_cnt_hit","Integer","","Recommended","count of correct responses to AY probes","","",""
"probe_ay_cnt_miss","Integer","","Recommended","Count of missed AY probes","","",""
"probe_ay_cnt_incorr","Integer","","Recommended","Count of inccorect responses to AY probes","","",""
"cue_b_acc","Float","","Recommended","accuracy of the responses to ""B"" cues (non-target cues)","","",""
"cue_b_rt","Float","","Recommended","median reaction time for B cues","","",""
"cue_b_cnt_hit","Integer","","Recommended","Number of responses to B cues","","",""
"cue_b_cnt_miss","Integer","","Recommended","Number of missed B cues","","",""
"cue_b_cnt_incorr","Integer","","Recommended","Number of inccorect responses to B cues","","",""
"probe_bx_acc","Float","","Recommended","accuracy of X probes following B cues (IE non-target cue followed by target probe)","","",""
"probe_bx_rt","Float","","Recommended","Median reaction time to X probes following B cues","","",""
"probe_bx_cnt_hit","Integer","","Recommended","count of correct responses to BX probes","","",""
"probe_bx_cnt_miss","Integer","","Recommended","Count of missed BX probes","","",""
"probe_bx_cnt_incorr","Integer","","Recommended","Count of inccorect responses to BX probes","","",""
"probe_by_acc","Float","","Recommended","accuracy of Y probes following B cues (IE non-target cue followed by non-target probe)","","",""
