"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ba_hw1","Integer","","Recommended","What type of assignment is it?","1::5","1= Activity: patient asked to engage in behavior a single time; 2= Repeated Activity: Patient asked to engage in the same activity multiple times (i.e., across several sittings) between sessions; 3= PRN assignment: Patient is asked to engage in activity only if another event occurs (e.g., if spouse does something the patient does not like, patient is asked to calmly bring up the issue); 4= Self-monitoring: Patient asked to monitor and record behavior or emotions occurring between sessions; 5= Abstinence/limitation assignment: Patient asked NOT to engage in behavior (e.g., Patient is asked not to drink alcohol) or to engage in a behavior only a limited number of times (e.g., Limit social outings with friends to 2 times/ week)",""
"ba_hw2","Integer","","Recommended","What realm of functioning was the assignment in?","1::7","1= Nonromantic, social; 2= Family/romantic/significant other social; 3= Job/school; 4= Exercise (includes any otherwise unspecified physical activity, e.g., hiking, walk dog); 5= Other health behavior (e.g., nutrition, checking blood sugar, going to medical appointments, also includes relaxation, breathing, and meditation exercises); 6= Household/logistical (e.g., pay bills, clean house, make schedule of family activities, make budget); 7= Other/too general",""
"ba_hw3","Integer","","Recommended","How quantifiable is the assignment?","1::3","1= Completely: Stated clearly in time, distance, amount, or frequency; 2= Partially quantifiable: Clear when assignment is done, but would be difficult to rate percentage completed; 3= Unquantifiable: Unclear what behaviors completion would entail",""
"ba_hw4","Integer","","Recommended","Which best characterizes the patient's completion?","1::4","1= Fully completed the assignment; 2= Partially completed the assignment; 3= Made an attempt or effort to begin assignment; 4=Made no effort to begin assignment",""
"ba_hw5","Float","","Recommended","What percentage of the assignment did the patient complete?","0::100","Percentage",""
