"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","bid,record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visday","Integer","","Recommended","Number of days from study baseline to date of visit","","","bara0b"
"bara1","Integer","","Recommended","In the past month, has the patienIt lived in the community (i.e., not hospitalized, or in day treatment)?","0;1","1=Yes; 0=No; If no, go to Item 5",""
"medication1_name","String","500","Recommended","Name first medication that the participant has taken","","0 = No medication; 999= Legitimately skipped","bara2a,bars_1,bars_med,bars_med1,name_of_antipsychotic_1"
"bara2b","Float","","Recommended","How many pills of did the doctor tell you to take each day?","","-1=Properly skipped; -2=Not collected at this time point; -8=Unsure/Don't know/Unable to assess; -9=Missing","bars_1,bars_2,bars_numpill,how_many_pills_of"
"bara2c","Integer","","Recommended","Over the past month, on how many days did you NOT TAKE (Name of first antipsychotic)?","1::4;-1;-2;-5;-6;-9","1=Few, if any (less than 7); 2=7-13; 3=14-20; 4=Most (greater than 20); -1=Properly Skipped; -2= Not collected at this time point; -5= Item/instrument not collected; -6=Not applicable; -9=Missing","bars_2,bars_3,bars_nottake,over_the_month_since_your"
"bara2d","Integer","","Recommended","Over the past month, how many days did you TAKE LESS THAN the prescribed number ofpills of (Name of first antipsychotic)?","1::4;-1;-2;-9","1=Always/Almost Always (76-100% of the time (poor adherence); 2=Usually (51-75% of the time); 3=Sometimes (26-50% of the time); 4= Never/Almost Never (0-25% of the time) (good adherence); -1= Properly skipped; -2= Not collected at this time point; -9= Missing","bars_3,bars_4,bars_takeless,over_the_month_less_than"
"bara3","Integer","","Recommended","Has the patient been prescribed a 2nd antipsychotic?","0;1","1=Yes; 0=No; If no, go to Item 4","do_you_need_to_add_another,med_2"
"medication2_name","String","500","Recommended","Name second medication that the participant has taken","","0 = No medication; 999= Legitimately skipped","bara3a,bars_med2,name_of_antipsychotic2"
"bara3b","Float","","Recommended","How many pills did the doctor tell you to take each day?","","","bars_1_med2,how_many_pills_of2_324"
"bara3c","Integer","","Recommended","Over the past month, on how many days did you NOT TAKE (Name of second antipsychotic)?","1::4;-1;-2;-5;-6;-9","1=Few, if any (less than 7); 2=7-13; 3=14-20; 4=Most (greater than 20); -1=Properly Skipped; -2= Not collected at this time point; -5= Item/instrument not collected; -6=Not applicable; -9=Missing","bars_2_med2,over_the_month_since_2_359"
