"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"grade","String","50","Recommended","Current Grade","","",""
"basc_prcs_1","Integer","","Recommended","Shares toys or possessions with other children","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_66","Integer","","Recommended","Speaks in short phrases that are hard to understand","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_3","Integer","","Recommended","Gets colds","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t117","Integer","","Recommended","Compliments others","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t15","Integer","","Recommended","Acts without thinking","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t49","Integer","","Recommended","Has a short attention span.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t113","Integer","","Recommended","Eats things that are not food","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t79","Integer","","Recommended","Seems unaware of others.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t126","Integer","","Recommended","Has trouble making new friends.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t42","Integer","","Recommended","Gets sick.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_p114","Integer","","Recommended","Sleeps with parents.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_12","Integer","","Recommended","Breaks other children's things","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_13","Integer","","Recommended","Misses school or daycare because of sickness","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_14","Integer","","Recommended","Pouts","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_34","Integer","","Recommended","Provides own telephone number when asked","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_p30","Integer","","Recommended","""Says, """"Nobody understands me.""""""","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t62","Integer","","Recommended","Acts out of control","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t106","Integer","","Recommended","Seeks revenge on others.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t33","Integer","","Recommended","Congratulates others when good things happen to them","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_37","Integer","","Recommended","Worries about what parents think","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t78","Integer","","Recommended","Argues when denied own way.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_22","Integer","","Recommended","Holds a grudge.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_23","Integer","","Recommended","Worries about parents.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t53","Integer","","Recommended","Complains about being teased.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t28","Integer","","Recommended","Has headaches.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t70","Integer","","Recommended","Avoids other peers","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_20","Integer","","Recommended","Is unable to slow down","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t82","Integer","","Recommended","Is fearful.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t59","Integer","","Recommended","Recovers quickly after a setback.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_30","Integer","","Recommended","Provides full name when asked.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_150","Integer","","Recommended","Vomits","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_32","Integer","","Recommended","Begins conversations appropriately","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t55","Integer","","Recommended","Has poor self-control","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t64","Integer","","Recommended","Listens carefully.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t40","Integer","","Recommended","Says, ""I' afraid I will make a mistake""","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t37","Integer","","Recommended","Babbles to self.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_p74","Integer","","Recommended","Is shy with other peers","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t56","Integer","","Recommended","Complains about health.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_39","Integer","","Recommended","Decides what clothing to wear without help","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t125","Integer","","Recommended","Calls others names.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_41","Integer","","Recommended","Complains of being cold.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_42","Integer","","Recommended","Is easily frustrated","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t114","Integer","","Recommended","Communicates clearly.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t20","Integer","","Recommended","Is sad.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t99","Integer","","Recommended","Interrupts others when they are speaking.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t13","Integer","","Recommended","Annoys others on purpose.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t75","Integer","","Recommended","Offers help to others","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_48","Integer","","Recommended","Gets very upset when things are lost","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t22","Integer","","Recommended","Threatens to hurt others.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_50","Integer","","Recommended","Whines","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t26","Integer","","Recommended","Worries about what other peers think.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t104","Integer","","Recommended","Cries easily","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_53","Integer","","Required","Has ear infections","1::4;999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t83","Integer","","Recommended","Makes friends easily","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_p15","Integer","","Recommended","Cannot wait to take turn","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_13","Integer","","Recommended","Is too serious","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t101","Integer","","Recommended","Adjusts well to new teachers.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_58","Integer","","Recommended","Provides home address when asked","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_59","Integer","","Recommended","Needs help tying shoes.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_60","Integer","","Recommended","Needs too much supervision.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t120","Integer","","Recommended","Pays attention","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t68","Integer","","Recommended","Worries about things that cannot be changed.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_64","Integer","","Recommended","Bangs head.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_89","Integer","","Recommended","Shows fear of strangers","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_66","Integer","","Recommended","Makes frequent visits to the doctor.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_67","Integer","","Recommended","Needs help putting on clothes.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t134","Integer","","Recommended","Hits others.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_69","Integer","","Recommended","Tries new things.","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_p51","Integer","","Recommended","Stares blankly.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prsp_71","Integer","","Recommended","Says all letters of the alphabet when asked","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_p68","Integer","","Recommended","Changes moods quickly","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t9","Integer","","Recommended","Acts strangely.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t97","Integer","","Recommended","Bullies others.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t61","Integer","","Recommended","Encourages others to do their best.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t54","Integer","","Recommended","Worries.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t41","Integer","","Recommended","Loses temper too easily","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t139","Integer","","Recommended","Is chosen last by others for games.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t105","Integer","","Recommended","Has a hearing problem.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t8","Integer","","Recommended","Listens to directions.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_118","Integer","","Required","Has fevers","1::4;999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_prcs_153","Integer","","Recommended","Is shy with adults","1::4","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_t71","Integer","","Recommended","Is overly active.","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
"basc_p25","Integer","","Recommended","Is cruel to animal","1::4; 99999","1=Never; 2=Sometimes; 3=Often; 4=Almost always",""
