"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"bears_sleep01","String","500","Recommended","Briefly describe the child's current sleep problems:","","",""
"bears_sleep02","Integer","","Recommended","Frequency of sleep problems per week","","Amount of problems",""
"bears_sleep03","Integer","","Recommended","Since the child was first placed in your home have their sleep problems:","1::4","1=Remained the same; 2=Gotten worse; 3=Improved; 4=Note sure",""
"bears_sleep04","String","500","Recommended","Weekday Bed time:","","HH:MM",""
"bears_sleep05","String","500","Recommended","Weekday time to fall asleep:","","HH:MM",""
"bears_sleep06","String","500","Recommended","Weekday wake time:","","HH:MM",""
"bears_sleep07","String","500","Recommended","Weekend Bed time:","","HH:MM",""
"bears_sleep08","String","500","Recommended","Weekend time to fall asleep:","","HH:MM",""
"bears_sleep09","String","500","Recommended","Weekend wake time:","","HH:MM",""
"bears_sleep10","Integer","","Recommended","Are bed and wake times usually consistent?","0;1","0=No; 1=Yes",""
"bears_sleep11","String","500","Recommended","Are bed and wake times usually consistent? If no, by what range do they vary?","","",""
"bears_sleep12","Integer","","Recommended","Have you ever sought advice, support or treatment for this child's sleep problems?","0;1","0=No; 1=Yes",""
"bears_sleep13","String","500","Recommended","Have you ever sought advice, support or treatment for this child's sleep problems? If yes, describe","","",""
"bears_sleep14","String","500","Recommended","Previous treatment/interventions tried for this child's sleep problems:","","",""
"bears_sleep15","String","500","Recommended","Any current sleep medications or supplements?","","",""
"bears_sleep16","Integer","","Recommended","Does your child demonstrate any of the following: snoring/gasping while asleep?","0;1","0=No; 1=Yes",""
"bears_sleep17","Integer","","Recommended","Does your child demonstrate any of the following: snoring/gasping while asleep? If yes, can you hear your child from one room away?","0;1","0=No; 1=Yes",""
"bears_sleep18","Integer","","Recommended","Does your child demonstrate any of the following: excessive tiredness during the day?","0;1","0=No; 1=Yes",""
"bears_sleep19","Integer","","Recommended","Does your child demonstrate any of the following: breathing through his/her mouth while he/she is asleep?","0;1","0=No; 1=Yes",""
"bears_sleep20","Integer","","Recommended","Does your child demonstrate any of the following: Dry mouth when he/she wakes up?","0;1","0=No; 1=Yes",""
"bears_sleep21","Integer","","Recommended","Does the child frequently wake up while sleeping or complain of not being able to sleep?","0;1","0=No; 1=Yes",""
"bears_sleep22","Integer","","Recommended","Does the child wake up with shortness of breath?","0;1","0=No; 1=Yes",""
"bears_sleep23","Integer","","Recommended","Does the child experience excessive perspiration during sleep?","0;1","0=No; 1=Yes",""
"bears_sleep24","Integer","","Recommended","Does the child move a lot in their sleep?","0;1","0=No; 1=Yes",""
"bears_sleep25","Integer","","Recommended","Is the child hyperactive or aggressive?","0;1","0=No; 1=Yes",""
"bears_sleep26","Integer","","Recommended","Does the child experience headaches in the morning?","0;1","0=No; 1=Yes",""
"bears_sleep27","Integer","","Recommended","Does the child wet the bed?","0;1","0=No; 1=Yes",""
"bears_sleep28","Integer","","Recommended","Does the child suffer from emphysema, chronic bronchitis, or nocturnal asthma?","0;1","0=No; 1=Yes",""
"bears_sleep29","Integer","","Recommended","Does the child sleep walk?","0;1","0=No; 1=Yes",""
"bears_sleep30","Integer","","Recommended","Does the child sleep walk? How many times a week?","","Amount of times",""
"bears_sleep31","Integer","","Recommended","Does it happen during the first few hours of the night?","0;1","0=No; 1=Yes",""
"bears_sleep32","Integer","","Recommended","Is the child confused when/if awakened?","0;1","0=No; 1=Yes",""
"bears_sleep33","Integer","","Recommended","Does he/she demonstrate nonsensical behaviors while sleepwalking?","0;1","0=No; 1=Yes",""
"bears_sleep34","Integer","","Recommended","Does the child not remember the event in the morning?","0;1","0=No; 1=Yes",""
"bears_sleep35","Integer","","Recommended","Is it difficult to wake the person up?","0;1","0=No; 1=Yes",""
"bears_sleep36","Integer","","Recommended","Does the child have night terrors?","0;1","0=No; 1=Yes",""
"bears_sleep37","Integer","","Recommended","Does the child have night terrors? How many times a week?","","Amount of times",""
"bears_sleep38","Integer","","Recommended","Does the child scream, looks frightened, kick, does not seem to communicate during these episodes?","0;1","0=No; 1=Yes",""
"bears_sleep39","Integer","","Recommended","Does it happen during the first few hours of the night?","0;1","0=No; 1=Yes",""
"bears_sleep40","Integer","","Recommended","Does trying to awake him/her increases the problem?","0;1","0=No; 1=Yes",""
"bears_sleep41","Integer","","Recommended","Does the child not remember anything in the morning?","0;1","0=No; 1=Yes",""
"bears_sleep42","Integer","","Recommended","Does he/she have vivid and scary dreams?","0;1","0=No; 1=Yes",""
"bears_sleep43","Integer","","Recommended","Does he/she have vivid and scary dreams? How many times a week?","","Amount of times",""
"bears_sleep44","Integer","","Recommended","Does he/she wake up from this dream and feel sad, angry, or anxious?","0;1","0=No; 1=Yes",""
"bears_sleep45","Integer","","Recommended","Is the child fully alert upon awakening, with little confusion or disorientation?","0;1","0=No; 1=Yes",""
"bears_sleep46","Integer","","Recommended","Is recall of dream immediate and clear?","0;1","0=No; 1=Yes",""
"bears_sleep47","Integer","","Recommended","Do the nightmares occur in the latter half of the sleep period?","0;1","0=No; 1=Yes",""
"bears_sleep48","Integer","","Recommended","Is it hard for the child to return to sleep after a nightmare?","0;1","0=No; 1=Yes",""
"bears_sleep49","Integer","","Recommended","Does your child wet his/her bed?","0;1","0=No; 1=Yes",""
"bears_sleep50","Integer","","Recommended","Does your child wet his/her bed? How many times a week?","","Amount of times",""
"bears_sleep51","Integer","","Recommended","Does he/she wet also during daytime when awake?","0;1","0=No; 1=Yes",""
"bears_sleep52","Integer","","Recommended","Does he/she wet also during daytime when awake? How many days a week?","","Amount of days",""
"bears_sleep53","Integer","","Recommended","Does your child complain of inability to fall asleep, frequent night wakings, or waking up too early?","0;1","0=No; 1=Yes",""
"bears_sleep54","Integer","","Recommended","Does he/she worry about his/her problems falling or staying asleep?","0;1","0=No; 1=Yes",""
"bears_sleep55","Integer","","Recommended","Is your child tired during the day?","0;1","0=No; 1=Yes",""
"bears_sleep56","Integer","","Recommended","If your child showed signs of insomnia, how many times a week?","","Amount of times",""
"bears_sleep57","Integer","","Recommended","Does he/she refuse or stall going to sleep when asked?","0;1","0=No; 1=Yes",""
"bears_sleep58","Integer","","Recommended","Does he/she have many ''curtain calls?'' (one more kiss, food, drink..)?","0;1","0=No; 1=Yes",""
"bears_sleep59","Integer","","Recommended","Does the child struggle sleeping independently?","0;1","0=No; 1=Yes",""
"bears_sleep60","Integer","","Recommended","Does the child wake during the night and struggle to get back to sleep?","0;1","0=No; 1=Yes",""
"bears_sleep61","Integer","","Recommended","Does the child's school or social life suffer from their sleepiness?","0;1","0=No; 1=Yes",""
"bears_sleep62","Integer","","Recommended","Has the sleep disturbance coincided with an identifiable stressor that is psychological, psychosocial, interpersonal, environmental, or physical in nature?","0;1","0=No; 1=Yes",""
"bears_sleep63","Integer","","Recommended","Is the child's sleep disturbance is better explained by another current sleep disorder, medical or neurological disorder, mental disorder, medication use?","0;1","0=No; 1=Yes",""
"bears_sleep64","Integer","","Recommended","Does he/she have repetitive, stereotypic movements of arm or leg during sleep (over and over)?","0;1","0=No; 1=Yes",""
"bears_sleep65","Integer","","Recommended","Does he/she have repetitive, stereotypic movements of arm or leg during sleep (over and over)? How often?","","Amount of times",""
"bears_sleep66","Integer","","Recommended","Does he/she complain of daytime fatigue or sleep disturbance?","0;1","0=No; 1=Yes",""
"bears_sleep67","Integer","","Recommended","Does the child wake from sleep often?","0;1","0=No; 1=Yes",""
"bears_sleep68","Integer","","Recommended","Is the child tired during the daytime?","0;1","0=No; 1=Yes",""
"bears_sleep69","Integer","","Recommended","Does he/she have funny feelings or pain in legs at night, especially at bed time?","0;1","0=No; 1=Yes",""
"bears_sleep70","Integer","","Recommended","Does he/she have funny feelings or pain in legs at night, especially at bed time? How often?","","Amount of times",""
"bears_sleep71","Integer","","Recommended","Are these worse when the child tries to sit still?","0;1","0=No; 1=Yes",""
"bears_sleep72","Integer","","Recommended","Are these feelings temporarily relieved by rubbing or movement?","0;1","0=No; 1=Yes",""
"bears_sleep73","Integer","","Recommended","Does he/she grind his/her teeth during sleep?","0;1","0=No; 1=Yes",""
"bears_sleep74","Integer","","Recommended","Does he/she grind his/her teeth during sleep? How often?","","Amount of times",""
"bears_sleep75","Integer","","Recommended","Is there abnormal wear of the teeth?","0;1","0=No; 1=Yes",""
"bears_sleep76","Integer","","Recommended","Is there jaw muscle discomfort or pain?","0;1","0=No; 1=Yes",""
"bears_sleep77","Integer","","Recommended","Does he/she complain of headaches?","0;1","0=No; 1=Yes",""
"bears_sleep78","Integer","","Recommended","Does the child suffer from ''sleep attacks'' at inappropriate times?","0;1","0=No; 1=Yes",""
"bears_sleep79","Integer","","Recommended","Is the child excessively sleepy during the day?","0;1","0=No; 1=Yes",""
"bears_sleep80","Integer","","Recommended","Does he/she/they ever wake up and are unable to move or speak?","0;1","0=No; 1=Yes",""
"bears_sleep81","Integer","","Recommended","Does he/she describe scary visual images upon waking up?","0;1","0=No; 1=Yes",""
"bears_sleep82","String","500","Recommended","How do sleep attacks, sleepiness, sleep paralysis and/or visual images occur?","","",""
"bears_sleep83","Integer","","Recommended","Does the child have normal alertness, cognitive functioning, and behavior between sleep attacks?","0;1","0=No; 1=Yes",""
"bears_sleep84","Integer","","Recommended","Does the child ever suffer from a sudden loss of muscle tone (e.g., drooping of muscle on one side of the body)?","0;1","0=No; 1=Yes",""
"bears_sleep85","Integer","","Recommended","Does the child ever suffer from a sudden loss of muscle tone (e.g., drooping of muscle on one side of the body)? If YES, is this triggered by strong emotions?","0;1","0=No; 1=Yes",""
"bears_sleep86","Integer","","Recommended","Does the child take frequent naps?","0;1","0=No; 1=Yes",""
"bears_sleep87","Integer","","Recommended","Has the child ever been diagnosed with epilepsy or suffered from non-epileptic seizures?","0;1","0=No; 1=Yes",""
"bears_sleep88","Integer","","Recommended","Does the child sleep more than most of the same-age peers?","0;1","0=No; 1=Yes",""
"bears_sleep89","Integer","","Recommended","Is he/she unable to fall asleep at a conventional bedtime because they are not sleepy?","0;1","0=No; 1=Yes",""
"bears_sleep90","Integer","","Recommended","Is the child unable to awaken at conventional wake time (e.g., for school)?","0;1","0=No; 1=Yes",""
"bears_sleep91","Integer","","Recommended","When allowed to go to sleep at a later clock time, can he/she/they fall asleep quickly?","0;1","0=No; 1=Yes",""
"bears_sleep92","Integer","","Recommended","Does the child suffer from daytime sleepiness?","0;1","0=No; 1=Yes",""
"bears_sleep93","Integer","","Recommended","Do they fall asleep in school or other settings?","0;1","0=No; 1=Yes",""
"bears_sleep94","Integer","","Recommended","Does the child's sleep disturbance cause impairment with their social life or school?","0;1","0=No; 1=Yes",""
