"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"bedsyq1","Integer","","Recommended","I feel really sad","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
"bedsyq2","Integer","","Recommended","I feel nervous","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
"bedsyq3","Integer","","Recommended","I feel really alone","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
"bedsyq4","Integer","","Recommended","I worry that something bad will happen to me","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
"bedsyq5","Integer","","Recommended","I feel like there is nothing to look forward to","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
"bedsyq6","Integer","","Recommended","I feel afraid","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
"bedsyq7","Integer","","Recommended","I just don't enjoy things anymore","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
"bedsyq8","Integer","","Recommended","All of a sudden, I feel really scared for no reason at all","0::3","0 = Never; 1 = Sometimes; 2 = Often; 3 = Always",""
