"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"befits_mh_provider101","Integer","","Recommended","How much is the [provider type] able to provide this [type of service]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_hm_provider102","Integer","","Recommended","How much is the [provider type] able to help you participate in this [type of service]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider103","Integer","","Recommended","This service [PM+] is currently being provided by [CBO staff]. How much better would it be if a [different provider type] provided this [type of service]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider104","Integer","","Recommended","Overall, how much do you think this provider [PM+ Helper] is the right kind of provider to provide this [type of service]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider201","Integer","","Recommended","How able are you to provide the care that clients need for their distress?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider202","Integer","","Recommended","How helpful to the clients is the care that you provide?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider203","Integer","","Recommended","How likely are clients to recommend you to other people who have distress?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider204","Integer","","Recommended","Overall, how satisfied/content are the clients with CBO staff providing the PM+?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider301","Integer","","Recommended","How well can you understand clients' needs?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider302","Integer","","Recommended","How well can you empathize with the clients?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider303","Integer","","Recommended","How much can you improve clients' knowledge about other services or tools (such as other programs, and pamphlets) to help with their distress?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider304","Integer","","Recommended","How well can you talk to clients in a way that is easy for them to understand?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider305","Integer","","Recommended","How well can you adapt PM+ model or program to fit client's needs?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider306","Integer","","Recommended","Overall, how able are you to provide PM+ that helps to improve clients' distress?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider401","Integer","","Recommended","How important to the clients is PM+ helper's age for PM+ delivery, for example, the PM+ helper being the same age as the client, or being older than the client?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider402","Integer","","Recommended","How important to the clients is it for the PM+ helper and the clients to be the same gender?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider403","Integer","","Recommended","How important to the clients is it for the PM+ helper to be from the same communities as the clients?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider404","Integer","","Recommended","How important to the clients is the PM+ helper's social status/role in the community to provide this PM+?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider405","Integer","","Recommended","How important to the clients is it for the PM+ helper and the clients to have the same religious beliefs?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider406","Integer","","Recommended","How important to the clients is it for the PM+ helper and the clients to have the same cultural/ethnic/caste background?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider407","Integer","","Recommended","Overall, how important to the clients is it that the PM+ helper's characteristics such as age and gender and the other questions we just asked about matter to clients for this PM+ service?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider501","Integer","","Recommended","How easy is it for clients to talk to PM+ helper about their distress?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider502","Integer","","Recommended","How available are PM+ helpers to clients for this PM+?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider503","Integer","","Recommended","How easy is it for clients to contact the [PM+] for help during a crisis?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider504","Integer","","Recommended","How often does the PM+ helper cancel or need to reschedule or postpone sessions?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider505","Integer","","Recommended","How on-time/punctual is the PM+ helper typically for the PM+?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider506","Integer","","Recommended","In general, how much does having the PM+ helper for this PM+ make it easy for clients to get help for their [target problems]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider601","Integer","","Recommended","How much do clients' families support them in receiving care from PM+ helper?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider602","Integer","","Recommended","How much do clients' friends support them in receiving care from PM+ helpers?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider603","Integer","","Recommended","How much do community members support clients in receiving care from PM+ helpers?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider604","Integer","","Recommended","How much do clients' other healthcare providers support them in receiving care from PM+ helpers?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider605","Integer","","Recommended","How much do community/religious leaders support clients in receiving care from PM+ helpers?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider606","Integer","","Recommended","How much do religious leaders support clients in receiving care from [PM+] provider?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider607","Integer","","Recommended","In general, how much do people around clients support them in receiving care from service provider (PM+ helpers)?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider701","Integer","","Recommended","How much has the training provided you with the knowledge needed to provide this service (PM+)?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider702","Integer","","Recommended","How much has the training provided you with the skills needed to provide [PM+]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider703","Integer","","Recommended","How much has the training helped you develop the confidence to provide [PM+]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider704","Integer","","Recommended","How easy was it for you to understand the training materials (e.g., the Counsellor Training Manual, pamphlets, posters)?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider705","Integer","","Recommended","How useful were the training materials (e.g., the Counsellor Training Manual, pamphlets, posters)?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider706","Integer","","Recommended","Overall, how appropriate was the training to you to be able to provide [PM+]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider707","Integer","","Recommended","How easily can you get helpful advice and support from a supervisor when you have a problem with a [client]?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
"befits_mh_provider708","Integer","","Recommended","How available is a supervisor to answer your questions and concerns?","0::3;7::9","0 = Not at all; 1 = A little; 2 = A moderate amount; 3 = A lot; 7 = Refused to Answer; 8 = Don't know; 9 = Not Applicable",""
