"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"task_setting","String","500","Recommended","Setting of task","","e.g., behavioral, in scanner, online/at home, at computer lab, etc.",""
"session_det","String","250","Recommended","session details","","",""
"task__version","Integer","","Recommended","Task version","1::6","1 = Shock; 2 = Reward-gain; 3= Reward-loss; 4 = Version 1; 5 = Version 2; 6= Version 3",""
"task_ordering","String","100","Recommended","Task order","","",""
"magnitude_left","Integer","","Recommended","Magnitude of left urn","","",""
"magnitude_right","Integer","","Recommended","Magnitude of right urn","","",""
"ambiguous_trial_flag","Integer","","Recommended","Whether trial is ambiguous or not","0;1","0= Not ambiguous trial; 1= Ambiguous trial",""
"side_urn_1","String","20","Recommended","Side of pseudo-ambiguous urn assigned in non-ambiguous trial (used for modeling)","left;right;99","For non-ambiguous trials, one side is randomly assigned as ''ambiguous'' for modeling purposes (assignment is counterbalanced); 99=Does not apply (indicates ambiguous trial)",""
"num_x_shown_left","Integer","","Recommended","Number of ''x'' tokens shown in left urn","","The number of ''x'' and ''o'' will sum to less than 50 if urn is ambiguous",""
"num_o_shown_left","Integer","","Recommended","Number of ''o'' tokens shown in left urn","","The number of ''x'' and ''o'' will sum to less than 50 if urn is ambiguous",""
"num_x_shown_right","Integer","","Recommended","Number of ''x'' tokens shown in right urn","","The number of ''x'' and ''o'' will sum to less than 50 if urn is ambiguous",""
"num_o_shown_right","Integer","","Recommended","Number of ''o'' tokens shown in right urn","","The number of ''x'' and ''o'' will sum to less than 50 if urn is ambiguous",""
"choice_side_ambig","String","5","Recommended","Ambiguity Task - Side of urn chosen","left;right","left= Chose left urn; right= Chose right urn",""
"outcome_trial_ambig","Integer","","Recommended","Ambiguity Task - Outcome stored for trial","0;1","0= ''o'' was drawn, null outcome stored (in-lab version) or given immediately (online version) for this trial; 1= ''x'' was drawn, choice magnitude was stored (in-lab version) or given immediately (online version) for this trial",""
"outcome_block_ambig","Integer","","Recommended","Ambiguity Task - Magnitude drawn every 6 trials from previous 6 stored outcomes","","In-Lab version of task only",""
"rt_ambig","Integer","","Recommended","Ambiguity Task - Response time (ms)","","9999= Timeout, i.e., greater than 8000ms",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"trial","Integer","","Recommended","Trial number","0::9999; -777; -999","1 = first; 2= second; 3=third; 4=fourth; 5=fifth; 6=sixth; etc; -777=NA, -999=missing",""
