"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bavs_5pt_1","Integer","","Recommended","5 point scale: I am a spiritual person","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_2","Integer","","Recommended","5 point scale: I believe I have a spirit or soul that can survive my death","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_3","Integer","","Recommended","5 point scale: I believe in a personal God","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_4","Integer","","Recommended","5 point scale: I believe meditation has value","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_5","Integer","","Recommended","5 point scale: I believe God is an all pervading presence","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_6","Integer","","Recommended","5 point scale: I believe what happens after I die is determined by how I have lived my life","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_7","Integer","","Recommended","5 point scale: I believe there are forces for evil in the Universe","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_8","Integer","","Recommended","5 point scale: Although I cannot always understand, I believe everything happens for a reason","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_9","Integer","","Recommended","5 point scale: I believe human physical contact can be a spiritual experience","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_10","Integer","","Recommended","5 point scale: I feel most at one with the world when surrounded by nature","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_11","Integer","","Recommended","5 point scale: I believe in life after death","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_12","Integer","","Recommended","5 point scale: I am a religious person","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_13","Integer","","Recommended","5 point scale: Religious ceremonies are important to me","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_14","Integer","","Recommended","5 point scale: I believe life is planned out for me","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_15","Integer","","Recommended","5 point scale: I believe God is a life force","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_16","Integer","","Recommended","5 point scale: At least once in my life, I have had an intense spiritual experience","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_17","Integer","","Recommended","5 point scale: I believe that there is a heaven","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_18","Integer","","Recommended","5 point scale: I believe the human spirit is immortal","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_19","Integer","","Recommended","5 point scale: I believe prayer has value","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_5pt_20","Integer","","Recommended","5 point scale: I believe there is a God","0::4;-9","0= Strongly disagree; 1= Disagree; 2= Neither agree nor disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_1","Integer","","Recommended","4 point scale: I am a spiritual person","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_2","Integer","","Recommended","4 point scale: I believe I have a spirit or soul that can survive my death","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_3","Integer","","Recommended","4 point scale: I believe in a personal God","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_4","Integer","","Recommended","4 point scale: I believe meditation has value","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_5","Integer","","Recommended","4 point scale: I believe God is an all pervading presence","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_6","Integer","","Recommended","4 point scale: I believe what happens after I die is determined by how I have lived my life","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_7","Integer","","Recommended","4 point scale: I believe there are forces for evil in the Universe","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_8","Integer","","Recommended","4 point scale: Although I cannot always understand, I believe everything happens for a reason","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_9","Integer","","Recommended","4 point scale: I believe human physical contact can be a spiritual experience","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_10","Integer","","Recommended","4 point scale: I feel most at one with the world when surrounded by nature","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_11","Integer","","Recommended","4 point scale: I believe in life after death","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_12","Integer","","Recommended","4 point scale: I am a religious person","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_13","Integer","","Recommended","4 point scale: Religious ceremonies are important to me","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_14","Integer","","Recommended","4 point scale: I believe life is planned out for me","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_15","Integer","","Recommended","4 point scale: I believe God is a life force","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_16","Integer","","Recommended","4 point scale: At least once in my life, I have had an intense spiritual experience","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_17","Integer","","Recommended","4 point scale: I believe that there is a heaven","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_18","Integer","","Recommended","4 point scale: I believe the human spirit is immortal","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_19","Integer","","Recommended","4 point scale: I believe prayer has value","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
"bavs_4pt_20","Integer","","Recommended","4 point scale: I believe there is a God","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9= Missing",""
