"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"biis_hisp1","Integer","","Recommended","I find it easy to harmonize Hispanic and American cultures.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp2","Integer","","Recommended","I rarely feel conflicted about being bicultural.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp3","Integer","","Recommended","I find it easy to balance both Hispanic and American cultures.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp4","Integer","","Recommended","I do not feel trapped between the Hispanic and American cultures.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp5","Integer","","Recommended","I feel torn between Hispanic and American cultures.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp6","Integer","","Recommended","Being bicultural means having two cultural forces pulling on me at the same time.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp7","Integer","","Recommended","I feel that my Hispanic and American cultures are incompatible.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp8","Integer","","Recommended","I feel conflicted between the American and Hispanic ways of doing things.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp9","Integer","","Recommended","I feel like someone moving between two cultures.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp10","Integer","","Recommended","I feel caught between the Hispanic and American cultures.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp11","Integer","","Recommended","I cannot ignore the Hispanic or American side of me.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp12","Integer","","Recommended","I feel Hispanic and American at the same time.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp13","Integer","","Recommended","I relate better to a combined Hispanic-American culture than to Hispanic or American culture alone.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp14","Integer","","Recommended","I feel Hispanic-American.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp15","Integer","","Recommended","I feel part of a combined culture.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp16","Integer","","Recommended","I do not blend my Hispanic and American cultures.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"biis_hisp17","Integer","","Recommended","I keep Hispanic and American cultures separate.","1::7","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Somewhat agree; 6= Agree; 7= Strongly agree",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version, Other Informant Form",""
