"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"bipqu_01","Integer","","Recommended","I often do things without thinking them through","0;1","0 = False; 1 = True",""
"bipqu_02","Integer","","Recommended","I often become depressed or anxious 'out of the blue.'","0;1","0 = False; 1 = True",""
"bipqu_03","Integer","","Recommended","People often leave me.","0;1","0 = False; 1 = True",""
"bipqu_04","Integer","","Recommended","I am rarely disappointed by my friends.","0;1","0 = False; 1 = True",""
"bipqu_05","Integer","","Recommended","I feel inferior to other people.","0;1","0 = False; 1 = True",""
"bipqu_06","Integer","","Recommended","I have threatened to hurt myself in the past.","0;1","0 = False; 1 = True",""
"bipqu_07","Integer","","Recommended","I do not believe that I have the skills to do anything with my life.","0;1","0 = False; 1 = True",""
"bipqu_08","Integer","","Recommended","I rarely get angry at other people.","0;1","0 = False; 1 = True",""
"bipqu_09","Integer","","Recommended","Sometimes I feel like I am not real.","0;1","0 = False; 1 = True",""
"bipqu_10","Integer","","Recommended","I will not have sex with someone unless I have known them for quite some time.","0;1","0 = False; 1 = True",""
"bipqu_11","Integer","","Recommended","I sometimes feel anxious or irritable and become sad a few hours later.","0;1","0 = False; 1 = True",""
"bipqu_12","Integer","","Recommended","When people close to me die or leave me, I feel abandoned.","0;1","0 = False; 1 = True",""
"bipqu_13","Integer","","Recommended","I often exaggerate the potential of friendships only to find out later than they will not work out.","0;1","0 = False; 1 = True",""
"bipqu_14","Integer","","Recommended","If I were more like other people I would feel better about myself.","0;1","0 = False; 1 = True",""
"bipqu_15","Integer","","Recommended","I have deliberately tried to hurt myself without trying to kill myself.","0;1","0 = False; 1 = True",""
"bipqu_16","Integer","","Recommended","In general, my life is pretty boring.","0;1","0 = False; 1 = True",""
"bipqu_17","Integer","","Recommended","I frequently get into physical fights.","0;1","0 = False; 1 = True",""
"bipqu_18","Integer","","Recommended","People are sometimes out to get me.","0;1","0 = False; 1 = True",""
"bipqu_19","Integer","","Recommended","My friends have told me that my mood changes very quickly.","0;1","0 = False; 1 = True",""
"bipqu_20","Integer","","Recommended","I am afraid to spend time alone.","0;1","0 = False; 1 = True",""
"bipqu_21","Integer","","Recommended","People who seem trustworthy often disappoint me.","0;1","0 = False; 1 = True",""
"bipqu_22","Integer","","Recommended","I have made a suicide attempt in the past.","0;1","0 = False; 1 = True",""
"bipqu_23","Integer","","Recommended","I often feel like I have nothing to offer others.","0;1","0 = False; 1 = True",""
"bipqu_24","Integer","","Recommended","I have trouble controlling my temper.","0;1","0 = False; 1 = True",""
"bipqu_25","Integer","","Recommended","I can read other people's minds.","0;1","0 = False; 1 = True",""
"bipqu_26","Integer","","Recommended","I have tried 'hard' street drugs (e.g., cocaine, heroin).","0;1","0 = False; 1 = True",""
"bipqu_27","Integer","","Recommended","My mood frequently alternates throughout the day between happiness, anger, anxiety, and depression.","0;1","0 = False; 1 = True",""
"bipqu_28","Integer","","Recommended","When my friends leave, I am confident I will see them again.","0;1","0 = False; 1 = True",""
"bipqu_29","Integer","","Recommended","My friends often disappoint me.","0;1","0 = False; 1 = True",""
"bipqu_30","Integer","","Recommended","I have cut myself on purpose.","0;1","0 = False; 1 = True",""
"bipqu_31","Integer","","Recommended","I often feel lonely and deserted.","0;1","0 = False; 1 = True",""
"bipqu_32","Integer","","Recommended","I have no difficulty controlling my temper.","0;1","0 = False; 1 = True",""
"bipqu_33","Integer","","Recommended","I sometimes see or hear things that other people cannot see or hear.","0;1","0 = False; 1 = True",""
"bipqu_34","Integer","","Recommended","It is not unusual for me to have sex on the first date.","0;1","0 = False; 1 = True",""
"bipqu_35","Integer","","Recommended","I sometimes feel very sad, but this feeling can change quickly.","0;1","0 = False; 1 = True",""
"bipqu_36","Integer","","Recommended","People often let me down.","0;1","0 = False; 1 = True",""
"bipqu_37","Integer","","Recommended","I wish I could be more like some of my friends.","0;1","0 = False; 1 = True",""
"bipqu_38","Integer","","Recommended","I used to try to hurt myself to get attention.","0;1","0 = False; 1 = True",""
"bipqu_39","Integer","","Recommended","I am often different with different people in different situations so that sometimes I am not sure who I am.","0;1","0 = False; 1 = True",""
"bipqu_40","Integer","","Recommended","I easily become irritated by others.","0;1","0 = False; 1 = True",""
"bipqu_41","Integer","","Recommended","Sometimes I can actually hear what other people are thinking.","0;1","0 = False; 1 = True",""
"bipqu_42","Integer","","Recommended","I get high on drugs whenever I feel like it.","0;1","0 = False; 1 = True",""
"bipqu_43","Integer","","Recommended","I rarely feel sad or anxious.","0;1","0 = False; 1 = True",""
"bipqu_44","Integer","","Recommended","No one loves me.","0;1","0 = False; 1 = True",""
"bipqu_45","Integer","","Recommended","When I trust people, they rarely disappoint me.","0;1","0 = False; 1 = True",""
"bipqu_46","Integer","","Recommended","I feel that people would not like me if they really knew me well.","0;1","0 = False; 1 = True",""
"bipqu_47","Integer","","Recommended","I get angry easily.","0;1","0 = False; 1 = True",""
"bipqu_48","Integer","","Recommended","It is impossible to read others' minds.","0;1","0 = False; 1 = True",""
"bipqu_49","Integer","","Recommended","I sometimes feel very happy but this feeling can change quickly.","0;1","0 = False; 1 = True",""
"bipqu_50","Integer","","Recommended","I find it difficult to depend on others because they will not be there when I need them","0;1","0 = False; 1 = True",""
"bipqu_51","Integer","","Recommended","The relationships with people I care about have lots of ups and downs.","0;1","0 = False; 1 = True",""
"bipqu_52","Integer","","Recommended","I feel comfortable acting like myself.","0;1","0 = False; 1 = True",""
"bipqu_53","Integer","","Recommended","I have never made an attempt to hurt myself.","0;1","0 = False; 1 = True",""
"bipqu_54","Integer","","Recommended","I rarely feel lonely.","0;1","0 = False; 1 = True",""
"bipqu_55","Integer","","Recommended","I often find that the littlest things make me angry.","0;1","0 = False; 1 = True",""
"bipqu_56","Integer","","Recommended","Sometimes I can't tell between what is real and what I have imagined.","0;1","0 = False; 1 = True",""
"bipqu_57","Integer","","Recommended","When I drink, I drink too much.","0;1","0 = False; 1 = True",""
"bipqu_58","Integer","","Recommended","I consider myself to be a moody person.","0;1","0 = False; 1 = True",""
"bipqu_59","Integer","","Recommended","I have difficulty developing close relationships because people often abandon me.","0;1","0 = False; 1 = True",""
"bipqu_60","Integer","","Recommended","My friends are always there when I need them.","0;1","0 = False; 1 = True",""
"basc_s44","Integer","","Recommended","I wish I were someone else","0;1","0=False; 1=True",""
"bipqu_62","Integer","","Recommended","I feel like my life is not interesting.","0;1","0 = False; 1 = True",""
"bipqu_63","Integer","","Recommended","When I am angry, I often hit objects and break things.","0;1","0 = False; 1 = True",""
"bipqu_64","Integer","","Recommended","I often receive speeding tickets.","0;1","0 = False; 1 = True",""
"bipqu_65","Integer","","Recommended","I often feel like I am on an emotional 'roller-coaster.'","0;1","0 = False; 1 = True",""
"bipqu_66","Integer","","Recommended","I feel like my family has deserted me.","0;1","0 = False; 1 = True",""
"bipqu_67","Integer","","Recommended","I am very comfortable with who I am.","0;1","0 = False; 1 = True",""
"bipqu_68","Integer","","Recommended","I often do things impulsively.","0;1","0 = False; 1 = True",""
"bipqu_69","Integer","","Recommended","My life is without purpose.","0;1","0 = False; 1 = True",""
"bipqu_70","Integer","","Recommended","I am not sure what I want to do in the future.","0;1","0 = False; 1 = True",""
"bipqu_71","Integer","","Recommended","At times I eat so much food that I am in pain or have to force myself to throw up.","0;1","0 = False; 1 = True",""
"bipqu_72","Integer","","Recommended","People tell me that I am a moody person.","0;1","0 = False; 1 = True",""
"bipqu_73","Integer","","Recommended","The people I love often leave me.","0;1","0 = False; 1 = True",""
"bipqu_74","Integer","","Recommended","In social situations, I often feel that others will see through me and realize that I don't have much to offer.","0;1","0 = False; 1 = True",""
"bipqu_75","Integer","","Recommended","I have been in the hospital for trying to harm myself.","0;1","0 = False; 1 = True",""
"bipqu_76","Integer","","Recommended","I often feel empty inside.","0;1","0 = False; 1 = True",""
"bipqu_77","Integer","","Recommended","Others often make me angry.","0;1","0 = False; 1 = True",""
"bipqu_78","Integer","","Recommended","I often become frantic when I think that someone I care about will leave me.","0;1","0 = False; 1 = True",""
"bipqu_79","Integer","","Recommended","I am often confused about my long-term goals.","0;1","0 = False; 1 = True",""
"bipqu_80","Integer","","Recommended","Others say I'm quick tempered.","0;1","0 = False; 1 = True",""
"apsd_imp_total","Integer","","Recommended","Impulsivity total","","",""
"bipqu_82","Integer","","Recommended","Affective Instability total","","",""
"bipqu_83","Integer","","Recommended","Abandonment total","","",""
"bipqu_84","Integer","","Recommended","Relationship problems total","","",""
"bipqu_85","Integer","","Recommended","Self image problems total","","",""
"bipqu_86","Integer","","Recommended","Suicide/Self-Mutilation total","","",""
"bipqu_87","Integer","","Recommended","Emptiness total","","",""
"cads_angertot","Integer","","Recommended","Anger Total","","",""
"bipqu_89","Integer","","Recommended","Quasi-Psychoticism States total","","",""
"bipqu_90","Integer","","Recommended","Impulsivity mean","","",""
"bipqu_91","Integer","","Recommended","Affective Instability mean","","",""
"bipqu_92","Integer","","Recommended","Abandonment mean","","",""
"bipqu_93","Integer","","Recommended","Relationship problems mean","","",""
"bipqu_94","Integer","","Recommended","Self image problems mean","","",""
"bipqu_95","Integer","","Recommended","Suicide/Self-Mutilation mean","","",""
"bipqu_96","Integer","","Recommended","Emptiness mean","","",""
"bipqu_97","Integer","","Recommended","Intense Anger mean","","",""
"bipqu_98","Integer","","Recommended","Quasi-Psychoticism States mean","","",""
"bipqu_99","Integer","","Recommended","Sum Score Borderline Personality Questionnaire Subscale","","",""
"bpfsc_8","Integer","","Recommended","I get into trouble because I do things without thinking.","1 :: 5","1=Not true at all; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Always true",""
"bpfsc_9","Integer","","Recommended","I worry that people I care about will leave and not come back. ","1 :: 5","1=Not true at all; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Always true",""
"bpfsc_10","Integer","","Recommended","How I feel about myself changes a lot.","1 :: 5","1=Not true at all; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Always true",""
"bpfsc_11","Integer","","Recommended","Lots of times, my friends and I are really mean to each other. ","1 :: 5","1=Not true at all; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Always true",""
"bpfsc_1","Integer","","Recommended","I feel very lonely","1 :: 5","1=Not true at all; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Always true",""
"bpfsc_2","Integer","","Recommended","I want to let some people know how much they?ve hurt me.","1 :: 5","1=Not true at all; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Always true",""
"bpfsc_3","Integer","","Recommended","My feelings are very strong. For instance, when I get mad, I get really really mad. When I get happy, I get really really happy.","1 :: 5","1=Not true at all; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Always true",""
