"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"preg_dxdrug","String","10","Recommended","Used prescription medications during pregnancy?","Yes; No; NK","NK = Not known",""
"birth_weight_lbs","Float","","Recommended","Birth weight pounds","","",""
"birth_weight_oz","Float","","Recommended","Birth weight ounces","","",""
"info_gest","String","50","Recommended","No. Weeks Gestation (G.A.)","","",""
"rev_earrecuotitis","String","50","Recommended","Recurrent Otitis Media","Yes; No; NK; NS","NK= Not known; NS = Not sure",""
"rev_mouthcleptpalate","Integer","","Recommended","49. Cleft Palate","0;1","0=No; 1=Yes",""
"rev_immunomedallergy","String","50","Recommended","Medication Allergies","Yes;No;NK;NA","NK = Not known; NA=Not Applicable",""
"othmem_selfinj","String","50","Recommended","Self-injuring behavior","Yes;No; NK","NK = Not known",""
"mhx001ba","Integer","","Recommended","History of: Allergies - Other","1::3;9","1=No; 2=Yes; 3=Yes, Inactive;9=not evaluated",""
"mhx001b","String","250","Recommended","Allergies. Other (Specify:)","","",""
"site","String","101","Recommended","Site","","Study Site",""
"daysrz","Integer","","Recommended","days since randomization","","",""
"mhpbirth","Integer","","Recommended","Other condition premature birth","1;2","1=Yes 2=No",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14",""
"fh07","Integer","","Recommended","7. Subject adopted","0;1;9","",""
"presmed_alcohol","String","50","Recommended","In this pregnancy, did the birth mother do any of the following activities - Drink alcohol","Yes;No;999","999 = Don't Know",""
"presmed_smoke","String","50","Recommended","In this pregnancy, did the birth mother do any of the following activities - Smoke cigarettes or other tobacco products","Yes;No;999","999=NA/missing",""
"ca639","Integer","","Recommended","Past psychosis - Suicidal behavior: Suicidal gestures or attempts","0;1","0=No; 1=Yes",""
"child_ethnic","String","55","Recommended","Child's Ethnicity","1. Hispanic;2. Non-Hispanic; 3. Refused","",""
"ch_race","String","55","Recommended","Child's/study subject  Race specify","","",""
"scrn08","Integer","","Recommended","Indicate primary clinical diagnosis","1::7","1 = Schizophrenia; 2 = Schizophreniform disorder; 3 = Schizoaffective disorder; 4 = Bipolar disorder; 5 = Major depression; 6 = Psychosis NOS; 7 = Other",""
"hh_income","Integer","","Recommended","Household income range of adult subject","1::6; 9","1 = Less than $20,000; 2 = $20,000 to $39,999; 3 = $40,000 to $59,999; 4 = $60,000 to $79,999; 5 = $80,000 to $99,999; 6 = $100,000 or more; 9 = Unknown",""
"demo1","Integer","","Recommended","Adolescent's usual living arrangement (Not where the adolescent is just visiting)","1::10;12","1=In parental family home (include joint custody); 2=In home of other relative; 3=In home of unrelated friend; 4=College or boarding school dormitory; 5=Shared apartment or residence with friends or roommates; 6=In own home/apartment/residence; 7=Shelter/street/homeless/transient; 8=Jail; 9=Hospital/residential treatment center; 10=Halfway house/group home/supervised living arrangement; 12=Other",""
"num_in_house_adults","Integer","","Recommended","Number of Individuals in Household Adults","","",""
"num_in_house_kids","Integer","","Recommended","Number of Individuals in Household Children","","",""
"iq_test","String","10","Recommended","This individual has had an IQ test","TRUE;FALSE;UNKNOWN; REFUSED","",""
"mc_23","String","10","Recommended","Being placed in a special school for students with problems with behaviors or feelings","Yes; No","School services",""
"grade2","Integer","","Recommended","School placement - Current grade","0::15","0=kindergarten",""
"repeated","Integer","","Recommended","Has the child EVER repeated a grade?","1;2","1=No; 2=Yes",""
"primary_dx","Integer","","Recommended","Primary psychiatric diagnosis","1::15 ;98;99","1 = Schizophrenia, Unspecified type; 2 = Schizophrenia, Disorganized type; 3 = Schizophrenia, Paranoid type; 4 = Schizophrenia, Residual type; 5 = Schizophrenia, Undifferentiated type; 6 = Schizophreniform disorder; 7 = Schizoaffective disorder; 8 = Dysthymia/Persistent Depressive Disorder; 9 = Major Depressive Disorder; 10 = Bipolar Disorder; 11 =",""
"scda17","Integer","","Recommended","How many times have you (or subject if informant) been hospitalized for psychiatric reasons? (Best estimate)","0::300","",""
"fhe_q26","Integer","","Recommended","Respondent ever in jail,arrested,convicted","0;1;9","0= No; 1= Yes; 9= Do not know",""
"ca213","Integer","","Recommended","Current condition - Suicide attempts number","","",""
"child_medallergy_cmt","String","255","Recommended","Specific medication items the Child is allergic to","","",""
"iec002b","Integer","","Recommended","Current (i.e., within the last 3 months) treatment with any psychotropic medications (as specified in protocol)","0;1;-9","0=No; 1=Yes; -9=Unknown",""
"aotmed","Integer","","Recommended","took any non-psychotropic medication","0;1","0=no; 1=yes",""
"fs_v1_q46d_any_st_drugs_preg","String","2","Recommended","Full Screener (Visit 1): Q46d any maternal street drug use during pregnancy","Y;N;NA","Y = Yes; N = No; NA = Not available",""
"presmed_antipsych","String","50","Recommended","In this pregnancy, did the birth mother take any of the following prescription medications - Mood stabilizers or anti-psychotics (e.g., Carbatrol, Tegretol, Depakote (Valproic acid), Haldol, Lamictal, Lithium, Mellaril, Neurontin, etc.)","Yes;No;999","999=NA/missing",""
"presmed_other","String","50","Recommended","In this pregnancy, did the birth mother take any of the following prescription medications - Other","Yes;No;999","999=NA/missing",""
"ldnb_cordarndneck","String","50","Recommended","Was the babys umbilical cord wrapped around its neck","No;Yes;Don't Know","",""
"demosam_025","Integer","","Recommended","I was born by C-Section","0;1;-999; 9","1=Yes; 0=No; -999=NA/Missing Data; 9=DK",""
"forceps_vacuum","String","3","Recommended","were forceps or a vacuum used to aid delivery","yes;no;999","",""
"ex_iiie_del_breech_malpresent","String","2","Recommended","""Screening and Exclusion Form (0:0 to 4:5 y:m) Question IIIE Breech or malpresentation during delivery of the Child of Interest (COI) (not exclusionary with planned c-section) (Y=Yes, N=No, NA=Not Available)""","Y;N;NA","Y = Yes; N = No; NA = Not available",""
"medprob_cardiodis","String","50","Recommended","If Yes, Was the abnormality Congenital heart disease","Yes;No;999","999=NA/missing",""
"neo_seizure","String","50","Recommended","Did seizures occur after delivery?","Yes; No;999","",""
"seizuretype","Integer","","Recommended","""If Yes, What type of seizures does the Child have?""","1;2;3;4;5;6","1 = Febrile; 2 = Myoclonic; 3 = Grand mal; 4 = Complex partial; 5 = Petit mal; 6 = Other",""
"hydrocephalus","Integer","","Recommended","Hydrocephalus (water in brain)","1;2;99;-999","1= Yes ; 2= No ; 99= D/K ; -999= Missing",""
"preg_trauma","String","50","Recommended","Did mother experience trauma during pregnancy?","Yes; No; 99; -999","-999=missing; 99=DK",""
"fhxcancer","String","5","Recommended","Family medical History: cancer","Yes;No","",""
"seizure_familyhx","Integer","","Recommended","Seizures: Anyone in family had symptoms","0;1;-7;-8;-9","0 = No; 1 = Yes; -7 = Don't know; -8 = Refused to answer; -9 = Does not apply",""
"fhxother","String","5","Recommended","Family medical History: other","Yes;No","",""
"fhi_df_adhd_any","Integer","","Recommended","Family History: ADHD Any","0;1","0=No; 1= Yes",""
"fhi_df_panc_any","Integer","","Recommended","Family History: Panic or Anxiety Disorder Any","0;1","0=No; 1= Yes",""
"scid18","Integer","","Recommended","Have you ever been prescribed an antipsychotic medication?","0;1; 999","0 = No; 1 = Yes; 999 = Legitimately Skipped",""
"rand_num","Integer","","Recommended","Randomization Number","0::2","",""
"bg_npsych","String","2","Recommended","Has subject ever received a Neuropsychological Evaluation?","Y; N","Y = Yes; N = No",""
"bg_schtype","Integer","","Recommended","Type of Schooling/Classroom Setting","1::9","1 = Regular; 2 = Resource or Speech/Language; 3 = EMH; 4 = Cross Categorical; 5 = BEH; 6 = Home School; 7 = Autism; 8 = Dropout with GED; 9 = Dropout with No GED",""
"bg_speceep","String","2","Recommended","Was the subject ever in special academic classes or needed special tutoring in an Early Education Program?","Y; N","Y = Yes; N = No",""
"bg_specld","String","2","Recommended","Was the subject ever in special academic classes or needed special tutoring for a Learning Disability?","Y; N","Y = Yes; N = No",""
"bg_specadhd","String","2","Recommended","Was the subject ever in special academic classes or needed special tutoring for ADHD?","Y; N","Y = Yes; N = No",""
"bg_specag","String","2","Recommended","Was the subject ever in special Academically Gifted classes?","Y; N","Y = Yes; N = No",""
"bg_specaut","String","2","Recommended","Was the subject ever in special academic classes or needed special tutoring for Autism?","Y; N","Y = Yes; N = No",""
"bg_sxfree","String","2","Recommended","Have there been symptom-free periods?","Y; N; U","Y = Yes; N = No; U = Unknown",""
"bg_sxfreen","Integer","","Recommended","Number of symptom-free periods","0::10","Y = Yes; N = No; U = Unknown",""
"bg_sxfreedur","String","50","Recommended","Duration of symptom-free periods","","1 DAYS to 2.5 YRS",""
"bg_hurtself","String","2","Recommended","Has subject been seriously hurt in the last 3 months?","Y; N","Y = Yes; N = No",""
"bg_hurtother","String","2","Recommended","Has subject seriously hurt someone else in the last 3 months?","Y; N","Y = Yes; N = No",""
"bg_siggagr","String","2","Recommended","Were there significant problems with aggression?","Y; N","Y = Yes; N = No",""
"bg_serthrt","String","2","Recommended","Were there serious physical threats?","Y; N","Y = Yes; N = No",""
"bg_threats","Integer","","Recommended","Has the subject ever been arrested for Threats?","0; 1","0 = No; 1 = Yes",""
"bg_assault","Integer","","Recommended","Has the subject ever been arrested for Assault?","0; 1","0 = No; 1 = Yes",""
"bg_runaway","Integer","","Recommended","Has the subject ever been arrested for Running Away/Truancy?","0; 1","0 = No; 1 = Yes",""
"bg_arson","Integer","","Recommended","Has the subject ever been arrested for Arson?","0; 1","0 = No; 1 = Yes",""
"bg_theft","Integer","","Recommended","Has the subject ever been arrested for Theft?","0; 1","0 = No; 1 = Yes",""
"bg_drugs","Integer","","Recommended","Has the subject ever been arrested for Drug Possession/Use?","0; 1","0 = No; 1 = Yes",""
"bg_probation","Integer","","Recommended","Has the subject ever been arrested for Probation Violation?","0; 1","0 = No; 1 = Yes",""
"bg_vandal","Integer","","Recommended","Has the subject ever been arrested for Vandalism?","0; 1","0 = No; 1 = Yes",""
"bg_trespass","Integer","","Recommended","Has the subject ever been arrested for Trespassing?","0; 1","0 = No; 1 = Yes",""
"bg_otharr","Integer","","Recommended","Has the subject ever been arrested for any Other crime other than threats, assault, truancy, arson, theft, drugs, probation violation, vandalism, or trespassing?","0; 1","0 = No; 1 = Yes",""
"bg_legalprob","String","2","Recommended","Has the subject had any legal problems in the last 3 months?","Y; N","Y = Yes; N = No",""
"bg_ninjurs","Integer","","Recommended","How many self-injurious behaviors?","0::100","",""
"bg_priinjoth","String","2","Recommended","Have there been serious threats, injury, or attempted injury to other persons?","Y; N","Y = Yes; N = No",""
"bg_ninjoth","Integer","","Recommended","If serious threats, injury, or attempted injury to other persons, how many?","0::20","",""
"bg_alchuse","String","2","Recommended","If subject has used alcohol before, was the use more than ""just experimental""?","Y; N","Y = Yes; N = No",""
"bg_alchabs","String","2","Recommended","If subject has used alcohol before, is the subject committed to abstinence?","Y; N; T","Y = Yes; N = No; T = Treatment",""
