"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"beadsj_mean_crt","Float","","Recommended","Mean choice reaction time","0::100000","",""
"beadsj_mean_ert","Float","","Recommended","Mean estimate reaction time (in ms)","0::100000","",""
"beadsj_mean_dtd100","Float","","Recommended","Mean draws to decision 100 probability majority bead color","0::8","",""
"beadsj_mean_dtd90","Float","","Recommended","Mean draws to decision 90 probability majority bead color","0::8","",""
"beadsj_mean_dtd75","Float","","Recommended","Mean draws to decision 75 probability majority bead color","0::8","",""
"beadsj_mean_dtd60","Float","","Recommended","Mean draws to decision 60 probability majority bead color","0::8","",""
"beadsj_sd_dtd100","Float","","Recommended","Standard deviation draws to decision 100 probability majority bead color","0::8","",""
"beadsj_sd_dtd90","Float","","Recommended","Standard deviation draws to decision 90 probability majority bead color","0::8","",""
"beadsj_sd_dtd75","Float","","Recommended","Standard deviation draws to decision 75 probability majority bead color","0::8","",""
"beadsj_sd_dtd60","Float","","Recommended","Standard deviation draws to decision 60 probability majority bead color","0::8","",""
"beadsj_mean_e100","Float","","Recommended","Mean probability estimate 100 probability majority bead color","0::1","",""
"beadsj_mean_e90","Float","","Recommended","Mean probability estimate 90 probability majority bead color","0::1","",""
"beadsj_mean_e75","Float","","Recommended","Mean probability estimate 75 probability majority bead color","0::1","",""
"beadsj_mean_e60","Float","","Recommended","Mean probability estimate 60 probability majority bead color","0::1","",""
"beadsj_sd_e100","Float","","Recommended","Standard deviation probability estimate 100 probability majority bead color","0::1","",""
"beadsj_sd_e90","Float","","Recommended","Standard deviation probability estimate 90 probability majority bead color","0::1","",""
"beadsj_sd_e75","Float","","Recommended","Standard deviation probability estimate 75 probability majority bead color","0::1","",""
"beadsj_sd_e60","Float","","Recommended","Standard deviation probability estimate 60 probability majority bead color","0::1","",""
"data_file1","File","255","Recommended","Data file 1","","",""
"taskdescription","String","50","Recommended","Longer description of the task.","","",""
